player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Aaron Holiday,1628988,2025-04-13,HOU vs. DEN,L,9.0,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0,2,0,0,0,2,6,3,DEN,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-04-11,HOU @ LAL,L,24.0,4,7,0.571,2,5,0.4,1,1,1.0,0,2,2,4,0,1,2,1,11,-16,LAL,AWAY,Aaron Holiday
Aaron Holiday,1628988,2025-04-09,HOU @ LAC,L,20.0,6,13,0.462,4,6,0.667,0,0,0.0,1,1,2,4,0,0,0,1,16,9,LAC,AWAY,Aaron Holiday
Aaron Holiday,1628988,2025-04-06,HOU @ GSW,W,11.0,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,1,0,0,1,1,3,-2,GSW,AWAY,Aaron Holiday
Aaron Holiday,1628988,2025-04-04,HOU vs. OKC,W,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-04-02,HOU vs. UTA,W,13.0,2,6,0.333,2,6,0.333,0,0,0.0,0,2,2,2,1,0,1,1,6,16,UTA,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-03-30,HOU @ PHX,W,21.0,4,7,0.571,3,6,0.5,0,0,0.0,0,2,2,1,0,1,0,0,11,19,PHX,AWAY,Aaron Holiday
Aaron Holiday,1628988,2025-03-27,HOU @ UTA,W,12.0,1,4,0.25,0,3,0.0,0,0,0.0,0,0,0,1,1,0,0,1,2,6,UTA,AWAY,Aaron Holiday
Aaron Holiday,1628988,2025-03-25,HOU vs. ATL,W,10.0,2,3,0.667,2,3,0.667,0,0,0.0,1,0,1,1,0,1,1,1,6,10,ATL,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-03-19,HOU @ ORL,W,4.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,1,0,0,-11,ORL,AWAY,Aaron Holiday
Aaron Holiday,1628988,2025-03-17,HOU vs. PHI,W,14.0,2,3,0.667,2,3,0.667,2,2,1.0,1,0,1,1,0,0,0,0,8,-5,PHI,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-03-15,HOU vs. CHI,W,12.0,1,3,0.333,1,3,0.333,1,2,0.5,0,1,1,0,0,0,0,0,4,5,CHI,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-03-14,HOU vs. DAL,W,16.0,5,9,0.556,3,5,0.6,0,0,0.0,0,3,3,4,0,0,0,3,13,10,DAL,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-03-12,HOU vs. PHX,W,13.0,2,6,0.333,2,5,0.4,0,0,0.0,0,1,1,0,0,1,0,1,6,-11,PHX,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-03-10,HOU vs. ORL,W,16.0,1,3,0.333,1,2,0.5,2,4,0.5,0,1,1,4,0,0,2,3,5,-3,ORL,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-03-08,HOU vs. NOP,W,24.0,7,14,0.5,4,9,0.444,2,2,1.0,0,4,4,2,0,0,2,0,20,23,NOP,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-03-04,HOU @ IND,L,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,IND,AWAY,Aaron Holiday
Aaron Holiday,1628988,2025-03-03,HOU @ OKC,L,19.0,5,8,0.625,4,6,0.667,0,0,0.0,0,1,1,2,0,0,5,1,14,-4,OKC,AWAY,Aaron Holiday
Aaron Holiday,1628988,2025-03-01,HOU vs. SAC,L,9.0,2,2,1.0,2,2,1.0,1,1,1.0,0,1,1,0,0,0,0,0,7,-2,SAC,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-02-26,HOU vs. SAS,W,16.0,1,4,0.25,0,3,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-2,SAS,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-02-25,HOU vs. MIL,W,11.0,0,2,0.0,0,1,0.0,0,1,0.0,2,0,2,0,1,1,0,0,0,9,MIL,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-02-22,HOU @ UTA,L,20.0,2,5,0.4,1,3,0.333,0,0,0.0,0,3,3,3,1,1,2,2,5,-5,UTA,AWAY,Aaron Holiday
Aaron Holiday,1628988,2025-02-21,HOU vs. MIN,W,18.0,2,6,0.333,2,3,0.667,4,5,0.8,0,1,1,1,0,0,0,1,10,-7,MIN,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-02-13,HOU vs. GSW,L,37.0,10,20,0.5,2,9,0.222,3,3,1.0,2,6,8,4,1,0,1,5,25,-7,GSW,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-02-09,HOU vs. TOR,W,27.0,2,8,0.25,1,6,0.167,1,1,1.0,0,4,4,3,1,0,2,2,6,1,TOR,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-02-08,HOU @ DAL,L,3.0,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-2,DAL,AWAY,Aaron Holiday
Aaron Holiday,1628988,2025-02-04,HOU @ BKN,L,14.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,3,0,0,0,1,0,-4,BKN,AWAY,Aaron Holiday
Aaron Holiday,1628988,2025-02-03,HOU @ NYK,L,17.0,6,10,0.6,3,7,0.429,0,0,0.0,0,2,2,0,0,0,1,5,15,4,NYK,AWAY,Aaron Holiday
Aaron Holiday,1628988,2025-02-01,HOU vs. BKN,L,13.0,1,6,0.167,1,6,0.167,0,0,0.0,0,0,0,1,0,0,0,2,3,-12,BKN,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-01-28,HOU @ ATL,W,17.0,2,4,0.5,2,3,0.667,2,2,1.0,0,1,1,4,0,1,1,0,8,-5,ATL,AWAY,Aaron Holiday
Aaron Holiday,1628988,2025-01-27,HOU @ BOS,W,15.0,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,1,4,5,-9,BOS,AWAY,Aaron Holiday
Aaron Holiday,1628988,2025-01-20,HOU vs. DET,L,15.0,0,2,0.0,0,2,0.0,0,0,0.0,0,3,3,0,1,1,0,1,0,3,DET,HOME,Aaron Holiday
Aaron Holiday,1628988,2025-01-18,HOU @ POR,W,15.0,4,9,0.444,2,5,0.4,0,0,0.0,0,0,0,1,2,0,1,0,10,18,POR,AWAY,Aaron Holiday
