player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Andre Jackson Jr.,1641748,2025-04-13,MIL vs. DET,W,36.0,4,6,0.667,1,1,1.0,0,0,0.0,1,2,3,4,0,0,5,3,9,-4,DET,HOME,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-04-10,MIL vs. NOP,W,7.0,3,3,1.0,0,0,0.0,0,2,0.0,0,0,0,0,0,1,0,1,6,1,NOP,HOME,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-04-06,MIL @ NOP,W,6.0,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,0,0,0,-7,NOP,AWAY,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-04-05,MIL @ MIA,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-2,MIA,AWAY,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-04-03,MIL @ PHI,W,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-2,PHI,AWAY,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-03-30,MIL vs. ATL,L,11.0,0,2,0.0,0,1,0.0,1,2,0.5,2,1,3,1,1,0,0,0,1,7,ATL,HOME,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-03-28,MIL vs. NYK,L,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,NYK,HOME,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-03-20,MIL @ LAL,W,7.0,1,1,1.0,0,0,0.0,1,2,0.5,1,1,2,1,2,0,0,0,3,4,LAL,AWAY,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-03-16,MIL vs. OKC,L,5.0,1,2,0.5,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,2,2,2,OKC,HOME,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-03-15,MIL vs. IND,W,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,IND,HOME,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-03-13,MIL vs. LAL,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1,LAL,HOME,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-03-09,MIL vs. CLE,L,3.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,1,0,7,CLE,HOME,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-03-05,MIL vs. DAL,W,9.0,3,7,0.429,2,3,0.667,0,0,0.0,0,1,1,0,1,0,1,0,8,-5,DAL,HOME,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-02-25,MIL @ HOU,L,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-02-23,MIL vs. MIA,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,5,MIA,HOME,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-02-21,MIL @ WAS,W,3.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,WAS,AWAY,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-02-12,MIL @ MIN,W,19.0,4,6,0.667,1,1,1.0,0,0,0.0,2,1,3,1,0,0,1,3,9,1,MIN,AWAY,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-02-10,MIL vs. GSW,L,13.0,2,5,0.4,0,1,0.0,0,0,0.0,0,1,1,1,1,0,0,1,4,6,GSW,HOME,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-02-09,MIL vs. PHI,W,16.0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,1,0,-8,PHI,HOME,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-02-07,MIL @ ATL,L,16.0,0,1,0.0,0,1,0.0,0,0,0.0,2,2,4,2,0,0,0,0,0,5,ATL,AWAY,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-02-05,MIL @ CHA,W,16.0,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,7,CHA,AWAY,Andre Jackson Jr
Andre Jackson Jr.,1641748,2025-02-03,MIL @ OKC,L,23.0,4,8,0.5,1,2,0.5,1,2,0.5,3,1,4,2,2,1,1,1,10,-34,OKC,AWAY,Andre Jackson Jr
