player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Bam Adebayo,1628389,2025-04-11,MIA @ NOP,W,22.0,8,12,0.667,4,6,0.667,3,4,0.75,3,9,12,4,2,0,0,1,23,46,NOP,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-04-09,MIA @ CHI,L,35.0,6,15,0.4,2,3,0.667,4,6,0.667,0,6,6,3,1,0,1,1,18,0,CHI,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-04-05,MIA vs. MIL,L,43.0,11,25,0.44,3,7,0.429,6,6,1.0,2,10,12,5,2,1,2,1,31,-11,MIL,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-04-03,MIA vs. MEM,L,34.0,11,26,0.423,2,4,0.5,2,2,1.0,3,4,7,5,1,2,2,3,26,-5,MEM,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-04-02,MIA @ BOS,W,31.0,9,15,0.6,2,3,0.667,1,1,1.0,0,5,5,6,0,0,0,2,21,13,BOS,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-03-31,MIA @ WAS,W,31.0,11,19,0.579,2,5,0.4,4,7,0.571,3,9,12,5,1,1,1,1,28,14,WAS,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-03-29,MIA @ PHI,W,28.0,5,14,0.357,2,2,1.0,4,5,0.8,2,5,7,5,0,0,1,1,16,23,PHI,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-03-27,MIA vs. ATL,W,38.0,4,9,0.444,1,2,0.5,3,4,0.75,0,10,10,4,3,0,3,0,12,22,ATL,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-03-25,MIA vs. GSW,W,34.0,9,18,0.5,2,3,0.667,7,9,0.778,1,7,8,1,1,1,3,1,27,23,GSW,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-03-23,MIA vs. CHA,W,32.0,4,10,0.4,1,3,0.333,2,2,1.0,3,1,4,2,2,0,2,3,11,1,CHA,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-03-21,MIA vs. HOU,L,38.0,6,13,0.462,2,4,0.5,2,3,0.667,1,5,6,6,0,0,2,2,16,-10,HOU,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-03-19,MIA vs. DET,L,37.0,12,24,0.5,2,5,0.4,4,4,1.0,3,6,9,8,1,1,2,3,30,-2,DET,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-03-17,MIA @ NYK,L,34.0,5,12,0.417,0,1,0.0,2,2,1.0,2,5,7,4,1,2,4,2,12,-5,NYK,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-03-15,MIA @ MEM,L,30.0,7,15,0.467,2,4,0.5,2,2,1.0,2,4,6,0,1,2,3,1,18,-29,MEM,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-03-14,MIA vs. BOS,L,33.0,3,7,0.429,0,1,0.0,3,3,1.0,3,6,9,2,0,1,2,2,9,-13,BOS,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-03-12,MIA vs. LAC,L,35.0,2,7,0.286,0,1,0.0,2,2,1.0,1,6,7,7,5,0,1,3,6,-14,LAC,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-03-10,MIA vs. CHA,L,38.0,8,16,0.5,2,4,0.5,5,7,0.714,4,10,14,8,1,0,1,1,23,7,CHA,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-03-08,MIA vs. CHI,L,38.0,8,17,0.471,1,4,0.25,5,6,0.833,1,5,6,2,2,0,2,1,22,-4,CHI,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-03-07,MIA vs. MIN,L,43.0,11,21,0.524,1,5,0.2,6,7,0.857,1,12,13,4,1,0,2,3,29,-2,MIN,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-03-05,MIA @ CLE,L,38.0,11,18,0.611,3,5,0.6,9,9,1.0,2,10,12,5,2,0,2,1,34,-1,CLE,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-03-03,MIA vs. WAS,W,31.0,7,16,0.438,0,2,0.0,5,6,0.833,3,12,15,5,2,1,2,1,19,11,WAS,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-03-02,MIA vs. NYK,L,42.0,12,16,0.75,0,2,0.0,6,8,0.75,2,5,7,4,1,0,3,4,30,-1,NYK,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-02-28,MIA vs. IND,W,31.0,8,14,0.571,2,4,0.5,0,0,0.0,2,5,7,7,2,0,0,1,18,-2,IND,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-02-26,MIA vs. ATL,W,35.0,9,12,0.75,1,2,0.5,1,2,0.5,1,8,9,3,0,1,2,4,20,16,ATL,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-02-24,MIA @ ATL,L,37.0,5,13,0.385,0,2,0.0,4,4,1.0,3,2,5,1,2,0,4,1,14,-15,ATL,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-02-23,MIA @ MIL,L,35.0,10,16,0.625,2,2,1.0,2,3,0.667,2,5,7,1,1,0,0,4,24,-16,MIL,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-02-21,MIA @ TOR,W,37.0,8,13,0.615,0,1,0.0,3,4,0.75,3,9,12,1,0,0,0,4,19,3,TOR,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-02-12,MIA @ OKC,L,35.0,11,19,0.579,3,4,0.75,2,2,1.0,2,13,15,4,1,1,3,3,27,-3,OKC,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-02-10,MIA vs. BOS,L,34.0,6,17,0.353,1,5,0.2,9,10,0.9,6,6,12,4,0,0,0,0,22,-5,BOS,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-02-07,MIA @ BKN,L,37.0,7,14,0.5,1,3,0.333,3,4,0.75,1,7,8,1,0,2,1,4,18,-14,BKN,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-02-05,MIA @ PHI,W,34.0,8,16,0.5,1,3,0.333,1,2,0.5,8,5,13,4,0,0,7,3,18,5,PHI,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-02-04,MIA @ CHI,L,35.0,10,17,0.588,1,4,0.25,2,5,0.4,2,6,8,4,0,0,3,1,23,-9,CHI,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-02-01,MIA @ SAS,W,38.0,13,21,0.619,2,5,0.4,2,2,1.0,3,9,12,9,2,3,3,1,30,5,SAS,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-01-29,MIA vs. CLE,L,38.0,7,13,0.538,2,4,0.5,5,6,0.833,1,8,9,3,0,1,4,1,21,-16,CLE,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-01-27,MIA vs. ORL,W,44.0,10,15,0.667,0,0,0.0,6,8,0.75,1,9,10,9,1,0,3,4,26,19,ORL,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-01-25,MIA @ BKN,W,37.0,6,13,0.462,1,1,1.0,4,4,1.0,5,11,16,4,0,1,4,4,17,13,BKN,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-01-23,MIA @ MIL,L,29.0,5,12,0.417,0,2,0.0,1,2,0.5,6,8,14,3,0,0,1,3,11,-20,MIL,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-01-21,MIA vs. POR,L,22.0,5,10,0.5,0,2,0.0,2,3,0.667,3,7,10,0,0,0,1,3,12,-22,POR,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-01-19,MIA vs. SAS,W,25.0,3,9,0.333,0,2,0.0,0,0,0.0,3,8,11,5,1,1,3,2,6,19,SAS,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-01-17,MIA vs. DEN,L,33.0,7,15,0.467,0,2,0.0,2,2,1.0,3,8,11,4,0,0,1,2,16,-10,DEN,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-01-15,MIA @ LAL,L,31.0,3,7,0.429,1,3,0.333,3,4,0.75,0,4,4,5,1,0,3,3,10,-10,LAL,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-01-11,MIA @ POR,W,30.0,6,13,0.462,1,2,0.5,0,0,0.0,3,8,11,6,1,0,1,3,13,7,POR,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-01-09,MIA @ UTA,W,29.0,6,13,0.462,1,2,0.5,2,4,0.5,2,5,7,3,3,2,1,1,15,0,UTA,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-01-07,MIA @ GSW,W,30.0,9,14,0.643,1,1,1.0,0,1,0.0,3,6,9,5,2,1,1,1,19,18,GSW,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-01-06,MIA @ SAC,L,45.0,6,19,0.316,1,5,0.2,5,6,0.833,2,10,12,2,4,1,2,2,18,-3,SAC,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-01-04,MIA vs. UTA,L,26.0,0,6,0.0,0,1,0.0,4,6,0.667,1,7,8,2,1,1,3,1,4,-24,UTA,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-01-02,MIA vs. IND,L,25.0,8,12,0.667,0,1,0.0,4,6,0.667,3,5,8,2,1,0,1,0,20,-13,IND,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-01-01,MIA vs. NOP,W,31.0,9,14,0.643,0,2,0.0,5,5,1.0,1,8,9,10,2,0,4,3,23,6,NOP,HOME,Bam Adebayo
Bam Adebayo,1628389,2024-12-29,MIA @ HOU,W,34.0,4,12,0.333,0,1,0.0,4,6,0.667,2,8,10,1,3,0,2,5,12,-1,HOU,AWAY,Bam Adebayo
Bam Adebayo,1628389,2024-12-28,MIA @ ATL,L,37.0,8,17,0.471,0,2,0.0,1,1,1.0,3,7,10,2,1,2,2,3,17,-1,ATL,AWAY,Bam Adebayo
Bam Adebayo,1628389,2024-12-26,MIA @ ORL,W,35.0,2,10,0.2,0,1,0.0,0,0,0.0,3,6,9,7,0,5,4,4,4,-3,ORL,AWAY,Bam Adebayo
Bam Adebayo,1628389,2024-12-23,MIA vs. BKN,W,31.0,8,12,0.667,0,2,0.0,7,8,0.875,0,7,7,7,1,0,2,1,23,8,BKN,HOME,Bam Adebayo
Bam Adebayo,1628389,2024-12-21,MIA @ ORL,L,34.0,8,15,0.533,0,4,0.0,8,12,0.667,1,5,6,0,2,0,4,2,24,-35,ORL,AWAY,Bam Adebayo
Bam Adebayo,1628389,2024-12-20,MIA vs. OKC,L,36.0,7,11,0.636,0,1,0.0,3,6,0.5,3,7,10,1,1,1,6,2,17,5,OKC,HOME,Bam Adebayo
Bam Adebayo,1628389,2024-12-16,MIA @ DET,L,41.0,6,12,0.5,1,3,0.333,2,2,1.0,1,7,8,3,1,0,1,1,15,-10,DET,AWAY,Bam Adebayo
Bam Adebayo,1628389,2024-12-12,MIA vs. TOR,W,35.0,8,17,0.471,1,3,0.333,4,6,0.667,3,13,16,5,0,1,1,2,21,7,TOR,HOME,Bam Adebayo
Bam Adebayo,1628389,2024-12-08,MIA vs. CLE,W,36.0,7,14,0.5,2,4,0.5,0,0,0.0,1,12,13,6,0,1,1,2,16,20,CLE,HOME,Bam Adebayo
Bam Adebayo,1628389,2024-12-07,MIA vs. PHX,W,34.0,9,16,0.563,1,4,0.25,6,8,0.75,4,8,12,8,1,0,4,3,25,22,PHX,HOME,Bam Adebayo
Bam Adebayo,1628389,2024-12-04,MIA vs. LAL,W,25.0,6,8,0.75,0,1,0.0,2,3,0.667,0,10,10,7,1,1,2,1,14,22,LAL,HOME,Bam Adebayo
Bam Adebayo,1628389,2024-12-02,MIA @ BOS,L,33.0,6,18,0.333,1,4,0.25,2,2,1.0,2,6,8,5,1,0,3,1,15,-17,BOS,AWAY,Bam Adebayo
Bam Adebayo,1628389,2024-12-01,MIA @ TOR,L,39.0,5,13,0.385,1,2,0.5,2,2,1.0,4,16,20,7,1,0,5,3,13,15,TOR,AWAY,Bam Adebayo
