player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Brandon Boston Jr.,1630527,2025-02-08,NOP @ SAC,L,15.0,3,8,0.375,3,5,0.6,2,4,0.5,1,1,2,0,2,1,2,3,11,-10,SAC,AWAY,Brandon Boston Jr
Brandon Boston Jr.,1630527,2025-01-31,NOP vs. BOS,L,30.0,5,11,0.455,0,3,0.0,0,0,0.0,0,5,5,2,0,0,2,3,10,-7,BOS,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2025-01-29,NOP vs. DAL,L,21.0,5,11,0.455,1,2,0.5,1,2,0.5,0,1,1,0,4,0,0,1,12,-12,DAL,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2025-01-15,NOP vs. DAL,W,15.0,4,8,0.5,1,2,0.5,0,0,0.0,0,3,3,1,0,0,0,1,9,-5,DAL,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2025-01-14,NOP @ CHI,W,9.0,2,5,0.4,1,2,0.5,2,2,1.0,0,0,0,0,0,0,0,0,7,-5,CHI,AWAY,Brandon Boston Jr
Brandon Boston Jr.,1630527,2025-01-12,NOP @ BOS,L,8.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-8,BOS,AWAY,Brandon Boston Jr
Brandon Boston Jr.,1630527,2025-01-10,NOP @ PHI,W,23.0,3,7,0.429,2,3,0.667,3,4,0.75,1,1,2,0,0,0,0,3,11,14,PHI,AWAY,Brandon Boston Jr
Brandon Boston Jr.,1630527,2025-01-08,NOP vs. POR,L,21.0,3,12,0.25,0,4,0.0,0,2,0.0,4,0,4,0,1,0,3,2,6,-11,POR,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2025-01-07,NOP vs. MIN,L,25.0,1,6,0.167,1,3,0.333,2,2,1.0,1,3,4,2,1,0,1,1,5,-12,MIN,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2025-01-05,NOP @ WAS,W,19.0,1,7,0.143,1,4,0.25,2,2,1.0,1,3,4,1,0,0,1,0,5,-7,WAS,AWAY,Brandon Boston Jr
Brandon Boston Jr.,1630527,2025-01-03,NOP vs. WAS,W,26.0,5,7,0.714,1,2,0.5,2,2,1.0,1,3,4,3,0,1,1,4,13,9,WAS,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2025-01-01,NOP @ MIA,L,20.0,5,7,0.714,0,1,0.0,4,4,1.0,1,3,4,1,2,0,0,1,14,11,MIA,AWAY,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-12-30,NOP vs. LAC,L,13.0,1,3,0.333,1,3,0.333,0,0,0.0,0,1,1,0,0,0,0,3,3,-5,LAC,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-12-27,NOP vs. MEM,L,11.0,3,4,0.75,1,1,1.0,0,0,0.0,0,0,0,0,1,0,0,0,7,13,MEM,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-12-26,NOP vs. HOU,L,19.0,7,14,0.5,1,3,0.333,2,3,0.667,1,5,6,1,4,0,2,3,17,11,HOU,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-12-22,NOP vs. DEN,L,15.0,3,5,0.6,0,1,0.0,2,2,1.0,0,1,1,0,0,0,1,1,8,-6,DEN,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-12-21,NOP vs. NYK,L,17.0,2,6,0.333,1,2,0.5,2,4,0.5,0,2,2,1,0,1,2,2,7,-5,NYK,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-12-19,NOP @ HOU,L,21.0,3,9,0.333,1,2,0.5,0,0,0.0,0,3,3,3,3,0,1,0,7,1,HOU,AWAY,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-12-15,NOP @ IND,L,31.0,7,15,0.467,3,4,0.75,3,5,0.6,1,1,2,1,1,0,1,3,20,-8,IND,AWAY,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-12-12,NOP vs. SAC,L,26.0,3,9,0.333,1,4,0.25,2,2,1.0,1,3,4,2,1,1,1,2,9,2,SAC,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-12-08,NOP @ SAS,L,28.0,7,12,0.583,3,5,0.6,0,0,0.0,0,3,3,1,1,0,1,1,17,5,SAS,AWAY,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-12-07,NOP vs. OKC,L,22.0,5,10,0.5,1,4,0.25,0,0,0.0,0,2,2,1,1,0,1,4,11,-6,OKC,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-12-05,NOP vs. PHX,W,17.0,5,7,0.714,1,3,0.333,0,1,0.0,0,2,2,2,1,1,1,1,11,15,PHX,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-12-02,NOP @ ATL,L,29.0,7,15,0.467,3,7,0.429,2,2,1.0,0,4,4,0,1,0,2,1,19,-1,ATL,AWAY,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-12-01,NOP @ NYK,L,19.0,3,8,0.375,1,3,0.333,6,6,1.0,0,3,3,2,2,0,0,1,13,-8,NYK,AWAY,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-11-29,NOP @ MEM,L,29.0,3,10,0.3,0,4,0.0,2,2,1.0,0,2,2,3,4,0,2,1,8,4,MEM,AWAY,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-11-27,NOP vs. TOR,L,21.0,2,4,0.5,0,1,0.0,0,0,0.0,0,3,3,3,2,0,1,4,4,-19,TOR,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-11-25,NOP @ IND,L,26.0,3,6,0.5,2,4,0.5,1,2,0.5,0,2,2,3,1,0,2,1,9,-12,IND,AWAY,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-11-22,NOP vs. GSW,L,35.0,6,13,0.462,1,6,0.167,3,4,0.75,3,2,5,7,2,1,2,4,16,-3,GSW,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-11-20,NOP @ CLE,L,34.0,5,18,0.278,0,5,0.0,4,6,0.667,1,2,3,5,1,0,4,3,14,-19,CLE,AWAY,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-11-19,NOP @ DAL,L,30.0,4,11,0.364,2,5,0.4,0,0,0.0,0,2,2,3,2,0,1,0,10,-12,DAL,AWAY,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-11-16,NOP vs. LAL,L,36.0,4,12,0.333,2,6,0.333,2,2,1.0,1,7,8,5,1,0,3,3,12,3,LAL,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-11-15,NOP vs. DEN,W,38.0,7,13,0.538,3,7,0.429,2,2,1.0,0,4,4,4,1,0,2,2,19,-1,DEN,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-11-13,NOP @ OKC,L,31.0,3,10,0.3,0,2,0.0,2,2,1.0,4,6,10,4,2,1,6,3,8,-17,OKC,AWAY,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-11-11,NOP vs. BKN,L,35.0,3,13,0.231,1,4,0.25,0,0,0.0,1,6,7,10,3,0,1,3,7,-1,BKN,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-11-08,NOP @ ORL,L,38.0,10,17,0.588,2,4,0.5,4,4,1.0,0,6,6,3,2,0,0,0,26,-19,ORL,AWAY,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-11-06,NOP vs. CLE,L,38.0,4,11,0.364,2,5,0.4,4,4,1.0,2,0,2,5,0,1,0,1,14,-3,CLE,HOME,Brandon Boston Jr
Brandon Boston Jr.,1630527,2024-11-04,NOP vs. POR,L,37.0,9,15,0.6,2,6,0.333,0,0,0.0,0,3,3,4,2,1,2,3,20,-5,POR,HOME,Brandon Boston Jr
