player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Brandon Clarke,1629634,2025-03-19,MEM @ POR,L,5.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,POR,AWAY,Brandon Clarke
Brandon Clarke,1629634,2025-03-17,MEM @ SAC,L,25.0,6,8,0.75,0,0,0.0,3,3,1.0,6,2,8,3,1,1,3,0,15,4,SAC,AWAY,Brandon Clarke
Brandon Clarke,1629634,2025-03-15,MEM vs. MIA,W,14.0,6,7,0.857,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,1,12,17,MIA,HOME,Brandon Clarke
Brandon Clarke,1629634,2025-03-14,MEM vs. CLE,L,19.0,5,7,0.714,0,0,0.0,3,5,0.6,1,4,5,1,1,0,1,3,13,-6,CLE,HOME,Brandon Clarke
Brandon Clarke,1629634,2025-03-12,MEM vs. UTA,W,19.0,4,7,0.571,0,0,0.0,0,0,0.0,2,2,4,1,3,0,0,4,8,5,UTA,HOME,Brandon Clarke
Brandon Clarke,1629634,2025-03-09,MEM @ NOP,W,17.0,1,4,0.25,0,0,0.0,0,0,0.0,2,3,5,0,1,1,1,3,2,2,NOP,AWAY,Brandon Clarke
Brandon Clarke,1629634,2025-03-07,MEM @ DAL,W,26.0,6,10,0.6,0,0,0.0,5,6,0.833,2,6,8,2,0,4,0,2,17,7,DAL,AWAY,Brandon Clarke
Brandon Clarke,1629634,2025-03-05,MEM vs. OKC,L,27.0,5,7,0.714,0,0,0.0,3,3,1.0,3,8,11,2,1,0,1,2,13,-9,OKC,HOME,Brandon Clarke
Brandon Clarke,1629634,2025-03-03,MEM vs. ATL,L,21.0,5,7,0.714,0,0,0.0,1,2,0.5,4,3,7,1,0,1,0,2,11,-6,ATL,HOME,Brandon Clarke
Brandon Clarke,1629634,2025-02-28,MEM vs. NYK,L,17.0,5,5,1.0,0,0,0.0,1,1,1.0,4,3,7,2,0,0,1,2,11,-7,NYK,HOME,Brandon Clarke
Brandon Clarke,1629634,2025-02-25,MEM vs. PHX,W,21.0,6,10,0.6,0,0,0.0,2,3,0.667,3,2,5,2,0,1,0,3,14,5,PHX,HOME,Brandon Clarke
Brandon Clarke,1629634,2025-02-23,MEM @ CLE,L,16.0,3,6,0.5,0,0,0.0,0,0,0.0,1,1,2,1,0,1,0,1,6,-2,CLE,AWAY,Brandon Clarke
Brandon Clarke,1629634,2025-02-21,MEM @ ORL,W,27.0,6,10,0.6,0,1,0.0,1,2,0.5,4,7,11,2,1,0,1,2,13,14,ORL,AWAY,Brandon Clarke
Brandon Clarke,1629634,2025-02-20,MEM @ IND,L,10.0,2,3,0.667,0,0,0.0,0,1,0.0,0,0,0,1,1,0,2,0,4,-22,IND,AWAY,Brandon Clarke
Brandon Clarke,1629634,2025-02-12,MEM @ LAC,L,19.0,2,6,0.333,0,0,0.0,0,0,0.0,1,1,2,0,0,0,2,3,4,9,LAC,AWAY,Brandon Clarke
Brandon Clarke,1629634,2025-02-11,MEM @ PHX,W,19.0,7,11,0.636,0,0,0.0,0,0,0.0,5,2,7,2,1,0,0,1,14,-1,PHX,AWAY,Brandon Clarke
Brandon Clarke,1629634,2025-02-08,MEM vs. OKC,L,22.0,1,3,0.333,0,0,0.0,3,4,0.75,3,4,7,1,0,1,1,1,5,-23,OKC,HOME,Brandon Clarke
Brandon Clarke,1629634,2025-02-05,MEM @ TOR,W,19.0,5,6,0.833,0,0,0.0,3,4,0.75,2,3,5,0,1,1,0,2,13,-4,TOR,AWAY,Brandon Clarke
