player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Buddy Hield,1627741,2025-04-13,GSW vs. LAC,L,16.0,3,7,0.429,2,6,0.333,0,0,0.0,0,1,1,0,0,0,0,2,8,-6,LAC,HOME,Buddy Hield
Buddy Hield,1627741,2025-04-11,GSW @ POR,W,23.0,6,14,0.429,4,10,0.4,0,0,0.0,1,3,4,0,0,1,0,2,16,13,POR,AWAY,Buddy Hield
Buddy Hield,1627741,2025-04-09,GSW vs. SAS,L,26.0,4,13,0.308,4,10,0.4,0,0,0.0,1,3,4,1,0,0,0,4,12,-1,SAS,HOME,Buddy Hield
Buddy Hield,1627741,2025-04-08,GSW @ PHX,W,21.0,3,8,0.375,1,6,0.167,0,0,0.0,1,3,4,1,0,0,0,1,7,9,PHX,AWAY,Buddy Hield
Buddy Hield,1627741,2025-04-06,GSW vs. HOU,L,25.0,7,14,0.5,6,11,0.545,0,0,0.0,0,2,2,2,1,0,1,1,20,1,HOU,HOME,Buddy Hield
Buddy Hield,1627741,2025-04-04,GSW vs. DEN,W,17.0,2,6,0.333,1,3,0.333,0,0,0.0,2,0,2,0,0,1,1,1,5,-3,DEN,HOME,Buddy Hield
Buddy Hield,1627741,2025-04-03,GSW @ LAL,W,13.0,0,3,0.0,0,3,0.0,0,0,0.0,1,2,3,0,1,0,1,1,0,7,LAL,AWAY,Buddy Hield
Buddy Hield,1627741,2025-04-01,GSW @ MEM,W,20.0,2,7,0.286,2,7,0.286,2,2,1.0,1,2,3,0,1,0,1,1,8,6,MEM,AWAY,Buddy Hield
Buddy Hield,1627741,2025-03-30,GSW @ SAS,W,25.0,8,12,0.667,3,6,0.5,0,0,0.0,1,4,5,4,3,0,0,1,19,31,SAS,AWAY,Buddy Hield
Buddy Hield,1627741,2025-03-28,GSW @ NOP,W,23.0,4,8,0.5,2,6,0.333,1,1,1.0,1,2,3,3,1,0,1,2,11,9,NOP,AWAY,Buddy Hield
Buddy Hield,1627741,2025-03-25,GSW @ MIA,L,26.0,3,8,0.375,2,5,0.4,2,2,1.0,0,3,3,0,0,0,1,2,10,-5,MIA,AWAY,Buddy Hield
Buddy Hield,1627741,2025-03-22,GSW @ ATL,L,17.0,1,2,0.5,1,1,1.0,2,2,1.0,1,1,2,1,1,0,0,1,5,-8,ATL,AWAY,Buddy Hield
Buddy Hield,1627741,2025-03-20,GSW vs. TOR,W,19.0,1,4,0.25,1,3,0.333,5,5,1.0,2,3,5,4,1,0,2,2,8,7,TOR,HOME,Buddy Hield
Buddy Hield,1627741,2025-03-18,GSW vs. MIL,W,24.0,5,7,0.714,4,6,0.667,1,1,1.0,0,6,6,0,1,0,2,2,15,11,MIL,HOME,Buddy Hield
Buddy Hield,1627741,2025-03-17,GSW vs. DEN,L,21.0,1,4,0.25,0,3,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,0,DEN,HOME,Buddy Hield
Buddy Hield,1627741,2025-03-15,GSW vs. NYK,W,15.0,1,7,0.143,1,7,0.143,0,0,0.0,0,2,2,0,1,0,1,0,3,-5,NYK,HOME,Buddy Hield
Buddy Hield,1627741,2025-03-13,GSW vs. SAC,W,20.0,6,10,0.6,4,6,0.667,0,1,0.0,0,4,4,5,1,0,0,0,16,17,SAC,HOME,Buddy Hield
Buddy Hield,1627741,2025-03-10,GSW vs. POR,W,25.0,7,10,0.7,6,9,0.667,0,0,0.0,2,0,2,7,2,1,3,2,20,16,POR,HOME,Buddy Hield
Buddy Hield,1627741,2025-03-08,GSW vs. DET,W,19.0,3,7,0.429,1,5,0.2,1,2,0.5,1,3,4,2,1,1,1,0,8,2,DET,HOME,Buddy Hield
Buddy Hield,1627741,2025-03-06,GSW @ BKN,W,23.0,0,8,0.0,0,5,0.0,0,0,0.0,0,1,1,1,0,0,2,0,0,-11,BKN,AWAY,Buddy Hield
Buddy Hield,1627741,2025-03-04,GSW @ NYK,W,23.0,6,13,0.462,3,10,0.3,0,0,0.0,1,5,6,0,0,1,2,1,15,-4,NYK,AWAY,Buddy Hield
Buddy Hield,1627741,2025-03-03,GSW @ CHA,W,31.0,8,14,0.571,5,9,0.556,1,1,1.0,0,5,5,2,1,0,1,2,22,9,CHA,AWAY,Buddy Hield
Buddy Hield,1627741,2025-03-01,GSW @ PHI,L,17.0,3,9,0.333,0,6,0.0,0,0,0.0,2,0,2,3,1,0,3,0,6,3,PHI,AWAY,Buddy Hield
Buddy Hield,1627741,2025-02-27,GSW @ ORL,W,18.0,1,5,0.2,1,3,0.333,0,0,0.0,1,0,1,2,1,1,0,0,3,13,ORL,AWAY,Buddy Hield
Buddy Hield,1627741,2025-02-25,GSW vs. CHA,W,20.0,6,11,0.545,4,9,0.444,0,1,0.0,1,1,2,1,2,0,2,0,16,17,CHA,HOME,Buddy Hield
Buddy Hield,1627741,2025-02-23,GSW vs. DAL,W,18.0,1,4,0.25,1,3,0.333,0,0,0.0,0,2,2,2,0,1,0,1,3,19,DAL,HOME,Buddy Hield
Buddy Hield,1627741,2025-02-21,GSW @ SAC,W,26.0,8,11,0.727,5,8,0.625,1,1,1.0,0,3,3,2,1,0,0,3,22,8,SAC,AWAY,Buddy Hield
Buddy Hield,1627741,2025-02-13,GSW @ HOU,W,14.0,1,5,0.2,0,4,0.0,0,0,0.0,0,1,1,0,1,1,0,0,2,3,HOU,AWAY,Buddy Hield
Buddy Hield,1627741,2025-02-12,GSW @ DAL,L,29.0,1,9,0.111,1,6,0.167,0,0,0.0,0,3,3,0,0,0,0,2,3,-21,DAL,AWAY,Buddy Hield
Buddy Hield,1627741,2025-02-10,GSW @ MIL,W,30.0,7,15,0.467,2,8,0.25,0,0,0.0,1,6,7,1,2,0,3,4,16,11,MIL,AWAY,Buddy Hield
