player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Cameron Payne,1626166,2025-04-13,NYK @ BKN,W,34.0,6,13,0.462,3,7,0.429,6,6,1.0,0,2,2,7,1,1,2,3,21,17,BKN,AWAY,Cameron Payne
Cameron Payne,1626166,2025-04-11,NYK vs. CLE,L,12.0,0,5,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,0,CLE,HOME,Cameron Payne
Cameron Payne,1626166,2025-04-10,NYK @ DET,L,15.0,3,8,0.375,1,2,0.5,0,0,0.0,0,2,2,2,1,0,1,2,7,6,DET,AWAY,Cameron Payne
Cameron Payne,1626166,2025-04-08,NYK vs. BOS,L,14.0,3,7,0.429,1,3,0.333,0,0,0.0,0,0,0,2,0,0,2,3,7,0,BOS,HOME,Cameron Payne
Cameron Payne,1626166,2025-04-06,NYK vs. PHX,W,14.0,1,4,0.25,0,2,0.0,0,0,0.0,0,1,1,6,0,0,0,1,2,5,PHX,HOME,Cameron Payne
Cameron Payne,1626166,2025-04-05,NYK @ ATL,W,21.0,1,5,0.2,1,3,0.333,0,0,0.0,1,2,3,5,0,0,0,2,3,-7,ATL,AWAY,Cameron Payne
Cameron Payne,1626166,2025-03-26,NYK vs. LAC,L,18.0,6,9,0.667,3,6,0.5,0,0,0.0,0,2,2,0,0,0,1,0,15,2,LAC,HOME,Cameron Payne
Cameron Payne,1626166,2025-03-25,NYK vs. DAL,W,30.0,1,3,0.333,0,2,0.0,0,0,0.0,0,3,3,5,2,0,2,3,2,19,DAL,HOME,Cameron Payne
Cameron Payne,1626166,2025-03-22,NYK vs. WAS,W,30.0,4,12,0.333,3,8,0.375,2,2,1.0,1,3,4,7,1,0,1,1,13,14,WAS,HOME,Cameron Payne
Cameron Payne,1626166,2025-03-20,NYK @ CHA,L,16.0,2,8,0.25,1,4,0.25,0,0,0.0,0,3,3,3,0,0,0,1,5,-9,CHA,AWAY,Cameron Payne
Cameron Payne,1626166,2025-03-19,NYK @ SAS,L,17.0,4,9,0.444,3,6,0.5,0,0,0.0,0,0,0,4,0,1,0,2,11,-3,SAS,AWAY,Cameron Payne
Cameron Payne,1626166,2025-03-17,NYK vs. MIA,W,19.0,3,8,0.375,1,1,1.0,0,0,0.0,1,1,2,5,0,0,3,1,7,12,MIA,HOME,Cameron Payne
Cameron Payne,1626166,2025-03-15,NYK @ GSW,L,10.0,0,4,0.0,0,4,0.0,0,0,0.0,0,1,1,1,0,1,0,1,0,-6,GSW,AWAY,Cameron Payne
Cameron Payne,1626166,2025-03-12,NYK @ POR,W,15.0,3,6,0.5,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,6,3,POR,AWAY,Cameron Payne
Cameron Payne,1626166,2025-03-10,NYK @ SAC,W,14.0,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0,3,0,0,2,4,6,0,SAC,AWAY,Cameron Payne
Cameron Payne,1626166,2025-03-07,NYK @ LAC,L,14.0,2,7,0.286,1,3,0.333,0,0,0.0,0,2,2,3,0,1,2,0,5,0,LAC,AWAY,Cameron Payne
Cameron Payne,1626166,2025-03-06,NYK @ LAL,L,10.0,1,6,0.167,1,6,0.167,0,0,0.0,0,2,2,1,0,0,1,0,3,8,LAL,AWAY,Cameron Payne
Cameron Payne,1626166,2025-03-04,NYK vs. GSW,L,11.0,2,6,0.333,1,3,0.333,0,0,0.0,0,1,1,4,2,0,0,2,5,3,GSW,HOME,Cameron Payne
Cameron Payne,1626166,2025-03-02,NYK @ MIA,W,10.0,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,3,1,0,0,1,5,-5,MIA,AWAY,Cameron Payne
Cameron Payne,1626166,2025-02-28,NYK @ MEM,W,12.0,1,5,0.2,1,4,0.25,0,0,0.0,0,2,2,3,2,0,1,1,3,6,MEM,AWAY,Cameron Payne
Cameron Payne,1626166,2025-02-26,NYK vs. PHI,W,11.0,2,5,0.4,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,0,4,4,PHI,HOME,Cameron Payne
Cameron Payne,1626166,2025-02-23,NYK @ BOS,L,10.0,3,6,0.5,1,3,0.333,0,0,0.0,0,1,1,0,0,0,0,2,7,-4,BOS,AWAY,Cameron Payne
Cameron Payne,1626166,2025-02-21,NYK @ CLE,L,16.0,1,7,0.143,1,3,0.333,2,2,1.0,0,0,0,4,0,0,0,0,5,-17,CLE,AWAY,Cameron Payne
Cameron Payne,1626166,2025-02-20,NYK vs. CHI,W,17.0,1,5,0.2,1,3,0.333,0,0,0.0,0,2,2,5,0,0,1,3,3,2,CHI,HOME,Cameron Payne
Cameron Payne,1626166,2025-02-12,NYK vs. ATL,W,15.0,3,7,0.429,0,3,0.0,4,5,0.8,0,3,3,4,0,0,1,2,10,5,ATL,HOME,Cameron Payne
