player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Caris LeVert,1627747,2025-04-11,ATL @ PHI,W,30.0,12,15,0.8,4,5,0.8,3,5,0.6,2,2,4,4,1,1,0,4,31,13,PHI,AWAY,Caris Levert
Caris LeVert,1627747,2025-04-10,ATL @ BKN,W,20.0,1,7,0.143,0,4,0.0,2,4,0.5,0,3,3,5,1,0,1,1,4,2,BKN,AWAY,Caris Levert
Caris LeVert,1627747,2025-04-08,ATL @ ORL,L,30.0,4,11,0.364,2,6,0.333,3,3,1.0,1,5,6,0,0,0,2,3,13,-11,ORL,AWAY,Caris Levert
Caris LeVert,1627747,2025-04-06,ATL vs. UTA,W,28.0,7,14,0.5,3,5,0.6,4,5,0.8,1,4,5,6,1,0,2,1,21,6,UTA,HOME,Caris Levert
Caris LeVert,1627747,2025-04-05,ATL vs. NYK,L,20.0,6,11,0.545,1,4,0.25,1,1,1.0,1,3,4,3,3,1,0,0,14,-13,NYK,HOME,Caris Levert
Caris LeVert,1627747,2025-04-02,ATL @ DAL,L,24.0,4,10,0.4,1,4,0.25,5,6,0.833,1,3,4,5,0,0,2,1,14,0,DAL,AWAY,Caris Levert
Caris LeVert,1627747,2025-04-01,ATL vs. POR,L,26.0,3,10,0.3,0,3,0.0,4,6,0.667,1,1,2,0,1,1,3,4,10,1,POR,HOME,Caris Levert
Caris LeVert,1627747,2025-03-30,ATL @ MIL,W,23.0,4,9,0.444,1,6,0.167,0,0,0.0,0,3,3,1,0,2,0,2,9,8,MIL,AWAY,Caris Levert
Caris LeVert,1627747,2025-03-27,ATL @ MIA,L,28.0,6,12,0.5,2,6,0.333,3,4,0.75,1,4,5,3,1,0,1,1,17,6,MIA,AWAY,Caris Levert
Caris LeVert,1627747,2025-03-25,ATL @ HOU,L,20.0,2,9,0.222,1,5,0.2,0,0,0.0,1,0,1,0,1,0,0,0,5,-7,HOU,AWAY,Caris Levert
Caris LeVert,1627747,2025-03-23,ATL vs. PHI,W,28.0,3,11,0.273,1,5,0.2,0,1,0.0,1,2,3,7,1,1,1,2,7,10,PHI,HOME,Caris Levert
Caris LeVert,1627747,2025-03-22,ATL vs. GSW,W,24.0,6,11,0.545,1,5,0.2,1,3,0.333,0,2,2,6,0,0,1,4,14,8,GSW,HOME,Caris Levert
Caris LeVert,1627747,2025-03-14,ATL vs. LAC,L,21.0,4,9,0.444,2,4,0.5,2,2,1.0,0,4,4,2,2,1,0,2,12,-12,LAC,HOME,Caris Levert
Caris LeVert,1627747,2025-03-12,ATL vs. CHA,W,26.0,5,9,0.556,4,8,0.5,1,1,1.0,0,4,4,2,1,0,2,1,15,12,CHA,HOME,Caris Levert
Caris LeVert,1627747,2025-03-08,ATL vs. IND,W,33.0,10,17,0.588,4,7,0.571,2,2,1.0,0,3,3,1,0,2,1,1,26,8,IND,HOME,Caris Levert
Caris LeVert,1627747,2025-03-06,ATL vs. IND,W,27.0,4,11,0.364,0,4,0.0,0,2,0.0,0,2,2,4,0,1,0,1,8,-8,IND,HOME,Caris Levert
Caris LeVert,1627747,2025-03-04,ATL vs. MIL,L,29.0,8,13,0.615,2,4,0.5,3,3,1.0,0,3,3,4,1,0,0,1,21,5,MIL,HOME,Caris Levert
Caris LeVert,1627747,2025-03-03,ATL @ MEM,W,32.0,11,19,0.579,3,8,0.375,0,0,0.0,2,1,3,5,3,1,2,2,25,13,MEM,AWAY,Caris Levert
Caris LeVert,1627747,2025-02-28,ATL vs. OKC,L,27.0,9,16,0.563,3,9,0.333,2,2,1.0,0,3,3,3,2,0,3,1,23,-5,OKC,HOME,Caris Levert
Caris LeVert,1627747,2025-02-26,ATL @ MIA,L,32.0,6,12,0.5,3,8,0.375,2,2,1.0,0,2,2,2,2,0,1,1,17,-9,MIA,AWAY,Caris Levert
Caris LeVert,1627747,2025-02-24,ATL vs. MIA,W,28.0,5,12,0.417,1,4,0.25,4,4,1.0,2,2,4,2,1,0,1,2,15,5,MIA,HOME,Caris Levert
Caris LeVert,1627747,2025-02-23,ATL vs. DET,L,23.0,3,10,0.3,1,4,0.25,0,0,0.0,0,1,1,1,0,0,0,1,7,-13,DET,HOME,Caris Levert
Caris LeVert,1627747,2025-02-20,ATL vs. ORL,L,28.0,6,13,0.462,0,3,0.0,1,4,0.25,0,4,4,0,2,0,0,4,13,-8,ORL,HOME,Caris Levert
Caris LeVert,1627747,2025-02-12,ATL @ NYK,L,35.0,8,13,0.615,2,4,0.5,2,4,0.5,5,5,10,7,0,3,1,4,20,10,NYK,AWAY,Caris Levert
Caris LeVert,1627747,2025-02-10,ATL @ ORL,W,32.0,6,11,0.545,3,7,0.429,3,4,0.75,0,8,8,2,0,0,0,2,18,6,ORL,AWAY,Caris Levert
Caris LeVert,1627747,2025-02-08,ATL @ WAS,W,15.0,2,6,0.333,1,4,0.25,4,4,1.0,0,3,3,0,0,0,1,5,9,-7,WAS,AWAY,Caris Levert
Caris LeVert,1627747,2025-02-05,CLE @ DET,W,21.0,0,8,0.0,0,3,0.0,0,0,0.0,0,2,2,0,1,0,2,2,0,-5,DET,AWAY,Caris Levert
Caris LeVert,1627747,2025-02-04,CLE vs. BOS,L,17.0,0,5,0.0,0,3,0.0,0,0,0.0,2,1,3,3,0,0,2,0,0,-23,BOS,HOME,Caris Levert
Caris LeVert,1627747,2025-02-02,CLE vs. DAL,W,23.0,4,8,0.5,2,4,0.5,0,0,0.0,0,0,0,5,1,0,0,1,10,26,DAL,HOME,Caris Levert
Caris LeVert,1627747,2025-01-18,CLE @ MIN,W,25.0,1,6,0.167,0,3,0.0,0,0,0.0,1,3,4,3,0,0,1,2,2,-5,MIN,AWAY,Caris Levert
Caris LeVert,1627747,2025-01-16,CLE @ OKC,L,20.0,3,5,0.6,0,1,0.0,3,5,0.6,0,3,3,3,0,1,3,0,9,-27,OKC,AWAY,Caris Levert
Caris LeVert,1627747,2025-01-14,CLE @ IND,W,27.0,1,6,0.167,1,4,0.25,4,4,1.0,4,1,5,7,2,2,3,0,7,9,IND,AWAY,Caris Levert
Caris LeVert,1627747,2025-01-12,CLE vs. IND,L,22.0,0,3,0.0,0,2,0.0,2,2,1.0,0,4,4,2,0,1,1,2,2,-19,IND,HOME,Caris Levert
