player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Chris Boucher,1628449,2025-02-26,TOR @ IND,L,19.0,0,3,0.0,0,2,0.0,0,0,0.0,0,4,4,0,0,1,0,0,0,-2,IND,AWAY,Chris Boucher
Chris Boucher,1628449,2025-02-25,TOR vs. BOS,L,14.0,4,6,0.667,0,2,0.0,0,0,0.0,2,0,2,0,1,0,1,0,8,7,BOS,HOME,Chris Boucher
Chris Boucher,1628449,2025-02-23,TOR vs. PHX,W,20.0,9,12,0.75,4,5,0.8,1,3,0.333,3,7,10,2,0,0,0,1,23,17,PHX,HOME,Chris Boucher
Chris Boucher,1628449,2025-02-21,TOR vs. MIA,L,14.0,0,5,0.0,0,3,0.0,4,4,1.0,5,0,5,3,0,0,0,1,4,6,MIA,HOME,Chris Boucher
Chris Boucher,1628449,2025-02-11,TOR @ PHI,W,15.0,0,6,0.0,0,3,0.0,0,0,0.0,3,5,8,1,0,0,1,1,0,-7,PHI,AWAY,Chris Boucher
Chris Boucher,1628449,2025-02-09,TOR @ HOU,L,18.0,2,7,0.286,0,3,0.0,0,0,0.0,2,5,7,2,0,0,0,2,4,1,HOU,AWAY,Chris Boucher
Chris Boucher,1628449,2025-02-07,TOR @ OKC,L,15.0,4,9,0.444,3,7,0.429,0,0,0.0,1,1,2,0,0,0,0,3,11,-9,OKC,AWAY,Chris Boucher
Chris Boucher,1628449,2025-02-02,TOR vs. LAC,W,16.0,3,5,0.6,2,4,0.5,1,2,0.5,1,3,4,0,0,1,1,2,9,-7,LAC,HOME,Chris Boucher
Chris Boucher,1628449,2025-01-29,TOR @ WAS,W,15.0,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,0,0,0,2,4,3,0,WAS,AWAY,Chris Boucher
Chris Boucher,1628449,2025-01-27,TOR vs. NOP,W,18.0,5,10,0.5,4,9,0.444,0,0,0.0,1,3,4,0,1,0,0,0,14,18,NOP,HOME,Chris Boucher
Chris Boucher,1628449,2025-01-25,TOR @ ATL,W,21.0,7,10,0.7,3,4,0.75,6,6,1.0,0,5,5,0,0,1,0,0,23,21,ATL,AWAY,Chris Boucher
Chris Boucher,1628449,2025-01-23,TOR @ ATL,W,18.0,7,10,0.7,2,4,0.5,1,2,0.5,1,1,2,0,1,0,1,2,17,-11,ATL,AWAY,Chris Boucher
Chris Boucher,1628449,2025-01-21,TOR vs. ORL,W,12.0,1,4,0.25,0,3,0.0,0,0,0.0,0,2,2,1,0,0,0,3,2,17,ORL,HOME,Chris Boucher
Chris Boucher,1628449,2025-01-17,TOR @ MIL,L,15.0,3,4,0.75,0,1,0.0,0,0,0.0,2,4,6,0,0,0,0,1,6,-4,MIL,AWAY,Chris Boucher
Chris Boucher,1628449,2025-01-15,TOR vs. BOS,W,17.0,2,7,0.286,1,4,0.25,0,0,0.0,1,8,9,0,0,0,1,2,5,13,BOS,HOME,Chris Boucher
Chris Boucher,1628449,2025-01-13,TOR vs. GSW,W,22.0,7,9,0.778,3,5,0.6,1,2,0.5,4,3,7,2,0,1,0,1,18,1,GSW,HOME,Chris Boucher
Chris Boucher,1628449,2025-01-11,TOR @ DET,L,20.0,5,6,0.833,4,5,0.8,0,0,0.0,1,2,3,1,0,0,0,1,14,4,DET,AWAY,Chris Boucher
Chris Boucher,1628449,2025-01-09,TOR @ CLE,L,27.0,9,14,0.643,5,8,0.625,0,0,0.0,3,9,12,0,1,1,0,1,23,10,CLE,AWAY,Chris Boucher
Chris Boucher,1628449,2025-01-08,TOR @ NYK,L,4.0,4,4,1.0,2,2,1.0,0,0,0.0,0,0,0,0,1,0,0,0,10,11,NYK,AWAY,Chris Boucher
Chris Boucher,1628449,2025-01-01,TOR vs. BKN,W,5.0,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,0,3,-7,BKN,HOME,Chris Boucher
Chris Boucher,1628449,2024-12-31,TOR @ BOS,L,14.0,2,7,0.286,1,4,0.25,2,2,1.0,0,2,2,1,1,0,0,1,7,-23,BOS,AWAY,Chris Boucher
Chris Boucher,1628449,2024-12-29,TOR vs. ATL,L,12.0,1,3,0.333,1,2,0.5,6,6,1.0,0,2,2,0,1,0,1,1,9,1,ATL,HOME,Chris Boucher
Chris Boucher,1628449,2024-12-26,TOR @ MEM,L,21.0,6,12,0.5,2,5,0.4,1,1,1.0,3,2,5,0,0,0,1,3,15,-9,MEM,AWAY,Chris Boucher
Chris Boucher,1628449,2024-12-23,TOR @ NYK,L,19.0,5,6,0.833,4,5,0.8,2,2,1.0,1,2,3,1,3,1,0,1,16,5,NYK,AWAY,Chris Boucher
Chris Boucher,1628449,2024-12-22,TOR vs. HOU,L,19.0,6,11,0.545,2,5,0.4,1,1,1.0,1,0,1,4,1,0,4,2,15,0,HOU,HOME,Chris Boucher
Chris Boucher,1628449,2024-12-19,TOR vs. BKN,L,19.0,1,5,0.2,1,5,0.2,0,0,0.0,2,1,3,1,1,1,0,3,3,3,BKN,HOME,Chris Boucher
Chris Boucher,1628449,2024-12-16,TOR vs. CHI,L,21.0,4,8,0.5,0,2,0.0,3,5,0.6,3,7,10,0,0,1,0,4,11,-9,CHI,HOME,Chris Boucher
Chris Boucher,1628449,2024-12-05,TOR vs. OKC,L,17.0,3,13,0.231,0,3,0.0,4,4,1.0,4,2,6,0,0,0,2,1,10,-24,OKC,HOME,Chris Boucher
Chris Boucher,1628449,2024-12-03,TOR vs. IND,W,14.0,2,6,0.333,1,4,0.25,1,2,0.5,0,2,2,2,0,0,1,1,6,-6,IND,HOME,Chris Boucher
Chris Boucher,1628449,2024-12-01,TOR vs. MIA,W,16.0,3,7,0.429,0,4,0.0,2,2,1.0,0,2,2,0,1,2,0,2,8,17,MIA,HOME,Chris Boucher
Chris Boucher,1628449,2024-11-29,TOR @ MIA,L,13.0,1,5,0.2,1,3,0.333,0,0,0.0,1,5,6,2,0,0,2,2,3,-12,MIA,AWAY,Chris Boucher
Chris Boucher,1628449,2024-11-27,TOR @ NOP,W,12.0,0,4,0.0,0,3,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-3,NOP,AWAY,Chris Boucher
Chris Boucher,1628449,2024-11-25,TOR @ DET,L,22.0,4,9,0.444,1,4,0.25,1,1,1.0,4,3,7,0,1,1,0,0,10,11,DET,AWAY,Chris Boucher
Chris Boucher,1628449,2024-11-24,TOR @ CLE,L,14.0,3,7,0.429,0,3,0.0,4,4,1.0,1,2,3,0,2,0,0,3,10,4,CLE,AWAY,Chris Boucher
Chris Boucher,1628449,2024-11-21,TOR vs. MIN,W,26.0,7,13,0.538,3,8,0.375,5,8,0.625,0,4,4,0,2,1,1,4,22,11,MIN,HOME,Chris Boucher
Chris Boucher,1628449,2024-11-18,TOR vs. IND,W,18.0,2,4,0.5,0,2,0.0,0,0,0.0,1,6,7,0,0,3,0,0,4,-10,IND,HOME,Chris Boucher
Chris Boucher,1628449,2024-11-16,TOR @ BOS,L,20.0,5,6,0.833,2,3,0.667,3,3,1.0,4,1,5,0,0,0,1,1,15,0,BOS,AWAY,Chris Boucher
Chris Boucher,1628449,2024-11-15,TOR vs. DET,L,14.0,1,5,0.2,0,2,0.0,0,0,0.0,1,6,7,1,0,2,2,0,2,-10,DET,HOME,Chris Boucher
Chris Boucher,1628449,2024-11-12,TOR @ MIL,L,20.0,5,12,0.417,2,5,0.4,0,0,0.0,2,3,5,0,0,0,1,0,12,-11,MIL,AWAY,Chris Boucher
Chris Boucher,1628449,2024-11-10,TOR @ LAL,L,20.0,6,9,0.667,2,4,0.5,4,5,0.8,2,3,5,3,1,0,1,0,18,-7,LAL,AWAY,Chris Boucher
Chris Boucher,1628449,2024-11-09,TOR @ LAC,L,24.0,6,12,0.5,0,4,0.0,2,3,0.667,3,3,6,0,1,0,0,2,14,0,LAC,AWAY,Chris Boucher
Chris Boucher,1628449,2024-11-06,TOR @ SAC,L,25.0,7,11,0.636,3,6,0.5,0,0,0.0,1,3,4,0,0,0,0,1,17,-1,SAC,AWAY,Chris Boucher
Chris Boucher,1628449,2024-11-04,TOR @ DEN,L,14.0,1,3,0.333,0,1,0.0,0,0,0.0,1,3,4,1,1,1,2,1,2,-2,DEN,AWAY,Chris Boucher
Chris Boucher,1628449,2024-11-02,TOR vs. SAC,W,25.0,9,13,0.692,4,6,0.667,2,3,0.667,0,5,5,1,0,0,0,1,24,13,SAC,HOME,Chris Boucher
Chris Boucher,1628449,2024-11-01,TOR vs. LAL,L,14.0,3,6,0.5,0,3,0.0,3,4,0.75,0,2,2,1,0,0,0,3,9,-13,LAL,HOME,Chris Boucher
Chris Boucher,1628449,2024-10-30,TOR @ CHA,L,17.0,6,10,0.6,1,4,0.25,0,0,0.0,1,3,4,1,0,1,1,1,13,4,CHA,AWAY,Chris Boucher
Chris Boucher,1628449,2024-10-28,TOR vs. DEN,L,14.0,2,6,0.333,0,2,0.0,0,0,0.0,1,2,3,0,0,1,0,2,4,3,DEN,HOME,Chris Boucher
Chris Boucher,1628449,2024-10-26,TOR @ MIN,L,16.0,2,8,0.25,0,4,0.0,0,2,0.0,1,8,9,0,0,0,0,2,4,6,MIN,AWAY,Chris Boucher
Chris Boucher,1628449,2024-10-25,TOR vs. PHI,W,19.0,0,5,0.0,0,4,0.0,4,4,1.0,0,3,3,1,2,4,1,0,4,5,PHI,HOME,Chris Boucher
Chris Boucher,1628449,2024-10-23,TOR vs. CLE,L,20.0,5,9,0.556,4,5,0.8,4,6,0.667,1,1,2,1,1,1,1,1,18,-17,CLE,HOME,Chris Boucher
