player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Chris Duarte,1630537,2025-02-02,CHI @ DET,L,1.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,4,DET,AWAY,Chris Duarte
Chris Duarte,1630537,2025-01-15,CHI vs. ATL,L,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2,ATL,HOME,Chris Duarte
Chris Duarte,1630537,2025-01-10,CHI vs. WAS,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,WAS,HOME,Chris Duarte
Chris Duarte,1630537,2025-01-08,CHI @ IND,L,14.0,2,5,0.4,1,2,0.5,0,0,0.0,1,2,3,3,0,0,0,2,5,-8,IND,AWAY,Chris Duarte
Chris Duarte,1630537,2024-12-23,CHI vs. MIL,L,4.0,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,2,1,MIL,HOME,Chris Duarte
Chris Duarte,1630537,2024-12-05,CHI @ SAS,W,4.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,1,SAS,AWAY,Chris Duarte
Chris Duarte,1630537,2024-12-02,CHI vs. BKN,W,4.0,0,1,0.0,0,1,0.0,0,0,0.0,1,3,4,1,0,0,1,1,0,2,BKN,HOME,Chris Duarte
Chris Duarte,1630537,2024-11-27,CHI @ ORL,L,4.0,2,3,0.667,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,1,5,8,ORL,AWAY,Chris Duarte
Chris Duarte,1630537,2024-11-26,CHI @ WAS,W,2.0,0,2,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,-5,WAS,AWAY,Chris Duarte
Chris Duarte,1630537,2024-11-23,CHI vs. MEM,L,5.0,1,1,1.0,1,1,1.0,0,0,0.0,1,1,2,0,0,0,0,0,3,9,MEM,HOME,Chris Duarte
Chris Duarte,1630537,2024-11-20,CHI @ MIL,L,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Chris Duarte
Chris Duarte,1630537,2024-11-17,CHI vs. HOU,L,12.0,2,4,0.5,0,2,0.0,2,2,1.0,1,1,2,0,0,0,0,1,6,-6,HOU,HOME,Chris Duarte
Chris Duarte,1630537,2024-11-15,CHI @ CLE,L,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-3,CLE,AWAY,Chris Duarte
Chris Duarte,1630537,2024-11-07,CHI vs. MIN,L,2.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,MIN,HOME,Chris Duarte
Chris Duarte,1630537,2024-11-06,CHI @ DAL,L,8.0,1,2,0.5,1,2,0.5,4,6,0.667,0,2,2,1,0,0,0,0,7,5,DAL,AWAY,Chris Duarte
Chris Duarte,1630537,2024-10-26,CHI vs. OKC,L,4.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,3,1,OKC,HOME,Chris Duarte
Chris Duarte,1630537,2024-10-23,CHI @ NOP,L,2.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,3,NOP,AWAY,Chris Duarte
