player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Chris Livingston,1641753,2025-04-13,MIL vs. DET,W,18.0,2,3,0.667,0,0,0.0,2,2,1.0,1,5,6,2,0,0,1,2,6,-7,DET,HOME,Chris Livingston
Chris Livingston,1641753,2025-04-10,MIL vs. NOP,W,6.0,0,1,0.0,0,1,0.0,2,2,1.0,0,3,3,1,0,0,0,1,2,2,NOP,HOME,Chris Livingston
Chris Livingston,1641753,2025-04-03,MIL @ PHI,W,1.0,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-2,PHI,AWAY,Chris Livingston
Chris Livingston,1641753,2025-03-30,MIL vs. ATL,L,2.0,0,2,0.0,0,1,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,-2,ATL,HOME,Chris Livingston
Chris Livingston,1641753,2025-03-20,MIL @ LAL,W,4.0,1,1,1.0,0,0,0.0,2,2,1.0,1,0,1,0,0,0,0,0,4,-2,LAL,AWAY,Chris Livingston
Chris Livingston,1641753,2025-03-16,MIL vs. OKC,L,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,OKC,HOME,Chris Livingston
Chris Livingston,1641753,2025-03-13,MIL vs. LAL,W,2.0,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1,LAL,HOME,Chris Livingston
Chris Livingston,1641753,2025-03-09,MIL vs. CLE,L,3.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,7,CLE,HOME,Chris Livingston
Chris Livingston,1641753,2025-03-05,MIL vs. DAL,W,9.0,0,1,0.0,0,1,0.0,1,2,0.5,1,2,3,1,0,0,0,1,1,-5,DAL,HOME,Chris Livingston
Chris Livingston,1641753,2025-02-05,MIL @ CHA,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6,CHA,AWAY,Chris Livingston
Chris Livingston,1641753,2025-02-03,MIL @ OKC,L,26.0,4,10,0.4,0,4,0.0,2,4,0.5,1,5,6,0,2,0,2,2,10,-8,OKC,AWAY,Chris Livingston
Chris Livingston,1641753,2025-01-31,MIL @ SAS,L,4.0,0,1,0.0,0,0,0.0,2,2,1.0,3,0,3,0,1,0,0,0,2,-7,SAS,AWAY,Chris Livingston
Chris Livingston,1641753,2025-01-28,MIL @ POR,L,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,POR,AWAY,Chris Livingston
Chris Livingston,1641753,2025-01-23,MIL vs. MIA,W,4.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,0,3,MIA,HOME,Chris Livingston
Chris Livingston,1641753,2025-01-19,MIL vs. PHI,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1,PHI,HOME,Chris Livingston
Chris Livingston,1641753,2025-01-17,MIL vs. TOR,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,TOR,HOME,Chris Livingston
Chris Livingston,1641753,2025-01-15,MIL vs. ORL,W,6.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,1,0,0,ORL,HOME,Chris Livingston
Chris Livingston,1641753,2025-01-14,MIL vs. SAC,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-6,SAC,HOME,Chris Livingston
Chris Livingston,1641753,2024-12-03,MIL @ DET,W,4.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,0,0,3,DET,AWAY,Chris Livingston
Chris Livingston,1641753,2024-11-22,MIL vs. IND,W,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,2,IND,HOME,Chris Livingston
Chris Livingston,1641753,2024-11-12,MIL vs. TOR,W,2.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,TOR,HOME,Chris Livingston
