player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Chris Paul,101108,2025-04-13,SAS vs. TOR,W,34.0,5,13,0.385,2,6,0.333,3,4,0.75,1,6,7,6,4,0,1,2,15,6,TOR,HOME,Chris Paul
Chris Paul,101108,2025-04-11,SAS @ PHX,L,14.0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,2,1,1,0,-8,PHX,AWAY,Chris Paul
Chris Paul,101108,2025-04-09,SAS @ GSW,W,29.0,4,6,0.667,3,5,0.6,1,1,1.0,1,4,5,4,1,0,3,3,12,-9,GSW,AWAY,Chris Paul
Chris Paul,101108,2025-04-08,SAS @ LAC,L,25.0,4,10,0.4,1,4,0.25,0,0,0.0,0,2,2,3,0,0,3,2,9,-12,LAC,AWAY,Chris Paul
Chris Paul,101108,2025-04-06,SAS @ POR,L,29.0,3,6,0.5,0,2,0.0,2,3,0.667,0,3,3,9,1,0,2,5,8,-4,POR,AWAY,Chris Paul
Chris Paul,101108,2025-04-04,SAS vs. CLE,L,30.0,4,10,0.4,1,5,0.2,0,0,0.0,1,3,4,8,0,1,1,1,9,15,CLE,HOME,Chris Paul
Chris Paul,101108,2025-04-02,SAS @ DEN,W,32.0,7,15,0.467,3,7,0.429,0,0,0.0,0,5,5,8,1,2,3,3,17,6,DEN,AWAY,Chris Paul
Chris Paul,101108,2025-04-01,SAS vs. ORL,L,28.0,4,7,0.571,1,4,0.25,1,1,1.0,1,4,5,7,3,1,2,1,10,-2,ORL,HOME,Chris Paul
Chris Paul,101108,2025-03-30,SAS vs. GSW,L,18.0,2,3,0.667,2,3,0.667,0,0,0.0,0,1,1,4,1,0,3,2,6,-24,GSW,HOME,Chris Paul
Chris Paul,101108,2025-03-29,SAS vs. BOS,L,35.0,5,8,0.625,2,5,0.4,0,0,0.0,0,5,5,5,0,0,1,2,12,-4,BOS,HOME,Chris Paul
Chris Paul,101108,2025-03-27,SAS @ CLE,L,33.0,2,10,0.2,1,4,0.25,0,0,0.0,0,4,4,5,2,0,1,2,5,4,CLE,AWAY,Chris Paul
Chris Paul,101108,2025-03-25,SAS @ DET,L,21.0,1,4,0.25,1,4,0.25,0,0,0.0,0,1,1,3,2,1,2,3,3,-6,DET,AWAY,Chris Paul
Chris Paul,101108,2025-03-23,SAS @ TOR,W,22.0,1,4,0.25,0,3,0.0,0,0,0.0,0,1,1,6,2,0,0,1,2,21,TOR,AWAY,Chris Paul
Chris Paul,101108,2025-03-21,SAS vs. PHI,W,26.0,6,7,0.857,6,7,0.857,0,0,0.0,0,4,4,3,0,1,3,2,18,-3,PHI,HOME,Chris Paul
Chris Paul,101108,2025-03-19,SAS vs. NYK,W,31.0,5,8,0.625,2,4,0.5,0,0,0.0,1,5,6,9,0,1,4,4,12,-3,NYK,HOME,Chris Paul
Chris Paul,101108,2025-03-17,SAS @ LAL,L,22.0,3,7,0.429,2,3,0.667,1,1,1.0,1,5,6,8,0,0,2,0,9,-12,LAL,AWAY,Chris Paul
Chris Paul,101108,2025-03-15,SAS vs. NOP,W,22.0,2,5,0.4,0,3,0.0,0,0,0.0,0,3,3,6,1,0,0,0,4,-16,NOP,HOME,Chris Paul
Chris Paul,101108,2025-03-14,SAS vs. CHA,L,18.0,1,3,0.333,1,1,1.0,0,0,0.0,0,1,1,3,0,0,2,2,3,-18,CHA,HOME,Chris Paul
Chris Paul,101108,2025-03-12,SAS vs. DAL,W,25.0,3,6,0.5,3,6,0.5,0,0,0.0,0,2,2,9,2,0,4,2,9,14,DAL,HOME,Chris Paul
