player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Cole Swider,1631306,2025-04-09,TOR vs. CHA,W,26.0,3,8,0.375,2,5,0.4,0,0,0.0,1,2,3,2,0,1,1,1,8,29,CHA,HOME,Cole Swider
Cole Swider,1631306,2025-04-06,TOR @ BKN,W,24.0,4,7,0.571,4,6,0.667,0,0,0.0,1,7,8,0,1,0,3,1,12,9,BKN,AWAY,Cole Swider
Cole Swider,1631306,2025-04-04,TOR vs. DET,L,15.0,4,8,0.5,2,4,0.5,0,0,0.0,1,4,5,0,0,0,0,0,10,2,DET,HOME,Cole Swider
Cole Swider,1631306,2025-04-03,TOR vs. POR,L,14.0,0,8,0.0,0,6,0.0,0,0,0.0,0,0,0,0,1,0,0,3,0,-16,POR,HOME,Cole Swider
Cole Swider,1631306,2025-04-01,TOR @ CHI,L,21.0,3,8,0.375,3,8,0.375,0,0,0.0,1,1,2,0,1,0,0,0,9,-7,CHI,AWAY,Cole Swider
Cole Swider,1631306,2025-03-30,TOR @ PHI,W,18.0,3,7,0.429,2,5,0.4,0,0,0.0,1,3,4,0,0,0,0,2,8,7,PHI,AWAY,Cole Swider
Cole Swider,1631306,2025-03-28,TOR vs. CHA,W,19.0,2,5,0.4,1,4,0.25,0,0,0.0,0,0,0,0,0,1,0,2,5,7,CHA,HOME,Cole Swider
Cole Swider,1631306,2025-03-26,TOR @ BKN,W,20.0,3,7,0.429,1,4,0.25,0,1,0.0,0,3,3,0,1,0,0,2,7,13,BKN,AWAY,Cole Swider
Cole Swider,1631306,2024-11-27,DET @ MEM,L,9.0,0,4,0.0,0,4,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,4,MEM,AWAY,Cole Swider
Cole Swider,1631306,2024-11-23,DET @ ORL,L,4.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,6,ORL,AWAY,Cole Swider
