player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
DaQuan Jeffries,1629610,2025-04-13,CHA @ BOS,L,28.0,4,12,0.333,3,8,0.375,0,1,0.0,1,3,4,0,1,0,1,1,11,-10,BOS,AWAY,Daquan Jeffries
DaQuan Jeffries,1629610,2025-04-11,CHA @ BOS,L,31.0,3,6,0.5,1,3,0.333,0,0,0.0,0,1,1,1,0,2,0,0,7,-25,BOS,AWAY,Daquan Jeffries
DaQuan Jeffries,1629610,2025-04-09,CHA @ TOR,L,24.0,3,6,0.5,1,3,0.333,0,0,0.0,1,5,6,1,0,0,2,1,7,-18,TOR,AWAY,Daquan Jeffries
DaQuan Jeffries,1629610,2025-04-08,CHA vs. MEM,L,34.0,2,8,0.25,0,6,0.0,0,0,0.0,2,3,5,2,1,0,0,2,4,-30,MEM,HOME,Daquan Jeffries
DaQuan Jeffries,1629610,2025-04-06,CHA vs. CHI,L,19.0,0,0,0.0,0,0,0.0,4,4,1.0,2,0,2,2,0,0,0,2,4,-21,CHI,HOME,Daquan Jeffries
DaQuan Jeffries,1629610,2025-04-04,CHA vs. SAC,L,32.0,3,7,0.429,1,4,0.25,1,2,0.5,0,4,4,1,0,0,0,2,8,-1,SAC,HOME,Daquan Jeffries
DaQuan Jeffries,1629610,2025-04-02,CHA @ IND,L,24.0,3,7,0.429,2,4,0.5,0,0,0.0,0,2,2,1,0,0,3,3,8,-10,IND,AWAY,Daquan Jeffries
DaQuan Jeffries,1629610,2025-03-31,CHA vs. UTA,W,18.0,4,7,0.571,2,5,0.4,0,0,0.0,0,4,4,1,0,1,0,1,10,-4,UTA,HOME,Daquan Jeffries
DaQuan Jeffries,1629610,2025-03-30,CHA @ NOP,L,30.0,2,9,0.222,1,4,0.25,0,0,0.0,1,2,3,2,3,0,2,1,5,-5,NOP,AWAY,Daquan Jeffries
DaQuan Jeffries,1629610,2025-03-28,CHA @ TOR,L,26.0,6,9,0.667,3,5,0.6,0,0,0.0,1,4,5,2,2,1,2,3,15,-7,TOR,AWAY,Daquan Jeffries
DaQuan Jeffries,1629610,2025-03-25,CHA vs. ORL,L,21.0,3,11,0.273,1,3,0.333,0,0,0.0,0,1,1,2,0,0,1,5,7,1,ORL,HOME,Daquan Jeffries
DaQuan Jeffries,1629610,2025-03-23,CHA @ MIA,L,23.0,3,6,0.5,1,1,1.0,0,0,0.0,0,3,3,0,0,1,0,2,7,-6,MIA,AWAY,Daquan Jeffries
DaQuan Jeffries,1629610,2025-03-21,CHA @ OKC,L,24.0,3,10,0.3,3,6,0.5,2,2,1.0,0,0,0,1,0,1,1,1,11,-10,OKC,AWAY,Daquan Jeffries
DaQuan Jeffries,1629610,2025-03-20,CHA vs. NYK,W,33.0,4,7,0.571,3,5,0.6,3,4,0.75,0,4,4,0,1,0,1,4,14,8,NYK,HOME,Daquan Jeffries
DaQuan Jeffries,1629610,2025-03-18,CHA vs. ATL,L,32.0,8,12,0.667,3,5,0.6,0,0,0.0,3,2,5,1,0,2,2,4,19,-32,ATL,HOME,Daquan Jeffries
DaQuan Jeffries,1629610,2025-03-16,CHA @ LAC,L,36.0,2,11,0.182,1,6,0.167,0,0,0.0,1,4,5,3,0,2,0,0,5,-35,LAC,AWAY,Daquan Jeffries
DaQuan Jeffries,1629610,2025-03-14,CHA @ SAS,W,33.0,5,9,0.556,3,7,0.429,0,0,0.0,0,1,1,1,1,0,1,4,13,4,SAS,AWAY,Daquan Jeffries
DaQuan Jeffries,1629610,2025-03-12,CHA @ ATL,L,32.0,8,15,0.533,4,9,0.444,0,0,0.0,0,0,0,1,0,2,2,6,20,-8,ATL,AWAY,Daquan Jeffries
DaQuan Jeffries,1629610,2025-03-10,CHA @ MIA,W,34.0,2,7,0.286,2,7,0.286,2,2,1.0,1,2,3,1,1,2,0,4,8,22,MIA,AWAY,Daquan Jeffries
DaQuan Jeffries,1629610,2025-03-08,CHA vs. BKN,W,21.0,1,5,0.2,1,3,0.333,0,0,0.0,0,0,0,1,0,0,0,0,3,-2,BKN,HOME,Daquan Jeffries
DaQuan Jeffries,1629610,2025-03-07,CHA vs. CLE,L,22.0,2,3,0.667,1,1,1.0,1,2,0.5,0,2,2,1,1,1,0,2,6,1,CLE,HOME,Daquan Jeffries
DaQuan Jeffries,1629610,2025-03-05,CHA vs. MIN,L,27.0,3,5,0.6,0,1,0.0,0,0,0.0,2,0,2,2,1,0,1,2,6,-22,MIN,HOME,Daquan Jeffries
DaQuan Jeffries,1629610,2025-03-03,CHA vs. GSW,L,16.0,0,5,0.0,0,2,0.0,0,0,0.0,2,3,5,0,0,0,0,2,0,0,GSW,HOME,Daquan Jeffries
DaQuan Jeffries,1629610,2025-03-01,CHA vs. WAS,L,11.0,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,1,0,0,1,2,2,-13,WAS,HOME,Daquan Jeffries
DaQuan Jeffries,1629610,2025-02-27,CHA @ DAL,L,17.0,2,8,0.25,0,3,0.0,2,2,1.0,2,6,8,0,0,0,1,1,6,3,DAL,AWAY,Daquan Jeffries
