player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Daniel Theis,1628464,2025-01-29,NOP vs. DAL,L,18.0,0,3,0.0,0,1,0.0,2,2,1.0,1,4,5,1,1,2,0,3,2,-16,DAL,HOME,Daniel Theis
Daniel Theis,1628464,2025-01-27,NOP @ TOR,L,14.0,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,2,0,0,1,2,0,2,TOR,AWAY,Daniel Theis
Daniel Theis,1628464,2025-01-25,NOP @ CHA,L,11.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,2,1,0,0,3,0,-2,CHA,AWAY,Daniel Theis
Daniel Theis,1628464,2025-01-24,NOP @ MEM,L,16.0,2,3,0.667,0,0,0.0,0,0,0.0,2,2,4,2,1,0,0,0,4,10,MEM,AWAY,Daniel Theis
Daniel Theis,1628464,2025-01-20,NOP vs. UTA,W,37.0,2,4,0.5,0,1,0.0,0,0,0.0,3,5,8,6,0,0,3,5,4,-10,UTA,HOME,Daniel Theis
Daniel Theis,1628464,2025-01-17,NOP vs. UTA,W,28.0,6,9,0.667,2,2,1.0,4,5,0.8,5,3,8,3,1,0,1,4,18,15,UTA,HOME,Daniel Theis
Daniel Theis,1628464,2025-01-15,NOP vs. DAL,W,19.0,1,4,0.25,0,0,0.0,0,0,0.0,2,3,5,1,1,1,1,3,2,-8,DAL,HOME,Daniel Theis
Daniel Theis,1628464,2025-01-14,NOP @ CHI,W,25.0,1,4,0.25,0,2,0.0,2,4,0.5,1,6,7,3,1,0,2,2,4,10,CHI,AWAY,Daniel Theis
Daniel Theis,1628464,2025-01-12,NOP @ BOS,L,22.0,2,3,0.667,0,1,0.0,2,2,1.0,0,6,6,0,0,0,0,1,6,-8,BOS,AWAY,Daniel Theis
Daniel Theis,1628464,2025-01-10,NOP @ PHI,W,18.0,6,9,0.667,0,2,0.0,0,0,0.0,1,3,4,0,1,1,0,1,12,16,PHI,AWAY,Daniel Theis
