player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
DeAndre Jordan,201599,2025-04-13,DEN @ HOU,W,11.0,2,3,0.667,0,0,0.0,0,0,0.0,2,3,5,0,0,0,0,0,4,-9,HOU,AWAY,Deandre Jordan
DeAndre Jordan,201599,2025-04-11,DEN vs. MEM,W,7.0,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,1,2,-3,MEM,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-04-09,DEN @ SAC,W,10.0,2,3,0.667,0,0,0.0,2,4,0.5,3,2,5,0,0,3,0,1,6,-1,SAC,AWAY,Deandre Jordan
DeAndre Jordan,201599,2025-04-06,DEN vs. IND,L,9.0,0,2,0.0,0,0,0.0,0,2,0.0,2,3,5,2,0,1,0,1,0,-6,IND,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-04-02,DEN vs. SAS,L,36.0,2,4,0.5,0,0,0.0,6,12,0.5,4,13,17,1,1,1,0,4,10,0,SAS,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-04-01,DEN vs. MIN,L,5.0,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,1,0,0,2,2,2,-3,MIN,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-03-28,DEN vs. UTA,W,12.0,5,5,1.0,0,0,0.0,1,1,1.0,0,1,1,1,0,2,0,1,11,10,UTA,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-03-26,DEN vs. MIL,W,3.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,-5,MIL,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-03-24,DEN vs. CHI,L,31.0,4,6,0.667,0,0,0.0,2,5,0.4,6,11,17,7,1,0,3,3,10,2,CHI,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-03-23,DEN @ HOU,W,38.0,5,7,0.714,0,0,0.0,1,3,0.333,3,12,15,4,1,0,1,5,11,5,HOU,AWAY,Deandre Jordan
DeAndre Jordan,201599,2025-03-02,DEN @ BOS,L,9.0,0,1,0.0,0,0,0.0,1,2,0.5,2,1,3,0,0,0,0,0,1,-7,BOS,AWAY,Deandre Jordan
DeAndre Jordan,201599,2025-02-28,DEN @ DET,W,10.0,2,3,0.667,0,0,0.0,0,2,0.0,2,4,6,0,0,0,1,1,4,-9,DET,AWAY,Deandre Jordan
DeAndre Jordan,201599,2025-02-27,DEN @ MIL,L,10.0,1,1,1.0,0,0,0.0,0,0,0.0,1,4,5,0,0,0,0,1,2,-1,MIL,AWAY,Deandre Jordan
DeAndre Jordan,201599,2025-02-24,DEN @ IND,W,9.0,0,1,0.0,0,0,0.0,1,2,0.5,3,2,5,0,1,1,3,1,1,-8,IND,AWAY,Deandre Jordan
DeAndre Jordan,201599,2025-02-22,DEN vs. LAL,L,4.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,-1,LAL,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-02-20,DEN vs. CHA,W,11.0,2,2,1.0,0,0,0.0,0,0,0.0,2,5,7,0,0,0,1,1,4,0,CHA,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-02-12,DEN vs. POR,W,12.0,0,1,0.0,0,0,0.0,0,0,0.0,1,4,5,2,0,1,1,3,0,5,POR,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-02-10,DEN vs. POR,W,13.0,2,2,1.0,0,0,0.0,1,2,0.5,0,2,2,2,1,0,0,2,5,7,POR,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-02-08,DEN @ PHX,W,17.0,2,5,0.4,0,0,0.0,0,0,0.0,4,7,11,1,0,1,0,2,4,2,PHX,AWAY,Deandre Jordan
DeAndre Jordan,201599,2025-02-06,DEN vs. ORL,W,12.0,4,4,1.0,0,0,0.0,0,0,0.0,3,4,7,1,0,0,3,1,8,11,ORL,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-02-05,DEN vs. NOP,W,10.0,1,1,1.0,0,0,0.0,0,0,0.0,0,4,4,2,0,0,0,0,2,-3,NOP,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-02-03,DEN vs. NOP,W,12.0,2,3,0.667,0,0,0.0,0,0,0.0,2,1,3,0,0,1,0,0,4,1,NOP,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-01-29,DEN @ NYK,L,8.0,1,2,0.5,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,1,2,0,NYK,AWAY,Deandre Jordan
DeAndre Jordan,201599,2025-01-25,DEN @ MIN,L,6.0,2,2,1.0,0,0,0.0,0,0,0.0,4,2,6,0,0,0,0,1,4,2,MIN,AWAY,Deandre Jordan
DeAndre Jordan,201599,2025-01-23,DEN vs. SAC,W,11.0,1,1,1.0,0,0,0.0,0,0,0.0,1,4,5,0,0,0,1,1,2,-2,SAC,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-01-21,DEN vs. PHI,W,13.0,1,1,1.0,0,0,0.0,2,2,1.0,1,5,6,1,0,1,1,3,4,7,PHI,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-01-19,DEN @ ORL,W,16.0,2,6,0.333,0,0,0.0,0,0,0.0,2,5,7,0,0,0,3,4,4,-5,ORL,AWAY,Deandre Jordan
DeAndre Jordan,201599,2025-01-17,DEN @ MIA,W,15.0,3,3,1.0,0,0,0.0,0,0,0.0,2,0,2,1,0,0,0,0,6,15,MIA,AWAY,Deandre Jordan
DeAndre Jordan,201599,2025-01-15,DEN vs. HOU,L,23.0,0,0,0.0,0,0,0.0,0,0,0.0,1,7,8,0,1,3,1,2,0,-19,HOU,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-01-14,DEN @ DAL,W,16.0,3,4,0.75,0,0,0.0,2,4,0.5,3,3,6,2,0,1,2,0,8,0,DAL,AWAY,Deandre Jordan
DeAndre Jordan,201599,2025-01-12,DEN @ DAL,W,9.0,3,3,1.0,0,0,0.0,0,1,0.0,2,3,5,0,0,1,0,0,6,13,DAL,AWAY,Deandre Jordan
DeAndre Jordan,201599,2025-01-10,DEN vs. BKN,W,10.0,1,3,0.333,0,0,0.0,0,2,0.0,1,3,4,0,1,0,0,2,2,-14,BKN,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-01-08,DEN vs. LAC,W,23.0,5,6,0.833,0,0,0.0,2,3,0.667,2,7,9,2,2,0,0,2,12,17,LAC,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-01-07,DEN vs. BOS,L,20.0,0,1,0.0,0,0,0.0,1,2,0.5,2,3,5,1,0,0,1,2,1,1,BOS,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-01-04,DEN @ SAS,W,10.0,1,4,0.25,0,0,0.0,1,2,0.5,3,3,6,0,0,0,1,2,3,4,SAS,AWAY,Deandre Jordan
DeAndre Jordan,201599,2025-01-03,DEN vs. SAS,L,4.0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-8,SAS,HOME,Deandre Jordan
DeAndre Jordan,201599,2025-01-01,DEN vs. ATL,W,15.0,4,4,1.0,0,0,0.0,0,0,0.0,0,7,7,3,1,1,1,1,8,-6,ATL,HOME,Deandre Jordan
DeAndre Jordan,201599,2024-12-30,DEN @ UTA,W,10.0,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,2,-9,UTA,AWAY,Deandre Jordan
DeAndre Jordan,201599,2024-12-28,DEN vs. DET,W,11.0,2,2,1.0,0,0,0.0,2,4,0.5,0,3,3,0,0,1,1,0,6,-12,DET,HOME,Deandre Jordan
DeAndre Jordan,201599,2024-12-27,DEN vs. CLE,L,11.0,2,4,0.5,0,0,0.0,0,1,0.0,3,4,7,1,0,2,0,3,4,-1,CLE,HOME,Deandre Jordan
DeAndre Jordan,201599,2024-12-25,DEN @ PHX,L,10.0,2,2,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,4,-7,PHX,AWAY,Deandre Jordan
DeAndre Jordan,201599,2024-12-23,DEN vs. PHX,W,14.0,2,2,1.0,0,0,0.0,0,0,0.0,1,4,5,1,1,1,1,1,4,8,PHX,HOME,Deandre Jordan
DeAndre Jordan,201599,2024-12-22,DEN @ NOP,W,10.0,2,3,0.667,0,0,0.0,0,0,0.0,0,4,4,0,0,0,0,1,4,-3,NOP,AWAY,Deandre Jordan
DeAndre Jordan,201599,2024-12-19,DEN @ POR,L,11.0,1,2,0.5,0,0,0.0,0,0,0.0,2,5,7,0,0,1,0,2,2,3,POR,AWAY,Deandre Jordan
DeAndre Jordan,201599,2024-12-16,DEN @ SAC,W,10.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,3,1,1,1,2,0,-3,SAC,AWAY,Deandre Jordan
DeAndre Jordan,201599,2024-12-13,DEN vs. LAC,W,14.0,2,2,1.0,0,0,0.0,0,0,0.0,1,8,9,2,1,1,0,1,4,8,LAC,HOME,Deandre Jordan
DeAndre Jordan,201599,2024-12-08,DEN @ ATL,W,10.0,2,2,1.0,0,0,0.0,0,0,0.0,0,4,4,2,0,0,1,0,4,0,ATL,AWAY,Deandre Jordan
