player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Domantas Sabonis,1627734,2025-04-13,SAC vs. PHX,W,24.0,8,10,0.8,4,4,1.0,0,0,0.0,4,8,12,6,3,0,2,0,20,8,PHX,HOME,Domantas Sabonis
Domantas Sabonis,1627734,2025-04-11,SAC vs. LAC,L,39.0,8,15,0.533,1,2,0.5,2,2,1.0,3,13,16,5,1,0,4,2,19,-5,LAC,HOME,Domantas Sabonis
Domantas Sabonis,1627734,2025-04-09,SAC vs. DEN,L,39.0,6,10,0.6,0,1,0.0,1,1,1.0,4,8,12,2,0,1,0,5,13,-3,DEN,HOME,Domantas Sabonis
Domantas Sabonis,1627734,2025-04-07,SAC @ DET,W,35.0,7,11,0.636,0,0,0.0,5,5,1.0,4,11,15,10,0,1,2,4,19,6,DET,AWAY,Domantas Sabonis
Domantas Sabonis,1627734,2025-04-06,SAC @ CLE,W,40.0,11,15,0.733,1,2,0.5,4,4,1.0,3,6,9,7,2,0,7,3,27,2,CLE,AWAY,Domantas Sabonis
Domantas Sabonis,1627734,2025-04-04,SAC @ CHA,W,27.0,9,16,0.563,0,1,0.0,6,7,0.857,7,4,11,7,0,0,0,3,24,10,CHA,AWAY,Domantas Sabonis
Domantas Sabonis,1627734,2025-04-02,SAC @ WAS,L,35.0,8,15,0.533,1,3,0.333,1,1,1.0,6,10,16,7,1,0,4,4,18,-5,WAS,AWAY,Domantas Sabonis
Domantas Sabonis,1627734,2025-03-31,SAC @ IND,L,40.0,11,19,0.579,0,0,0.0,3,6,0.5,4,12,16,0,1,0,1,4,25,-6,IND,AWAY,Domantas Sabonis
Domantas Sabonis,1627734,2025-03-29,SAC @ ORL,L,29.0,4,12,0.333,0,1,0.0,6,8,0.75,3,10,13,4,1,0,2,3,14,-22,ORL,AWAY,Domantas Sabonis
Domantas Sabonis,1627734,2025-03-27,SAC vs. POR,W,35.0,9,11,0.818,1,2,0.5,3,4,0.75,3,16,19,6,1,0,6,2,22,14,POR,HOME,Domantas Sabonis
Domantas Sabonis,1627734,2025-03-25,SAC vs. OKC,L,38.0,3,12,0.25,0,4,0.0,2,4,0.5,1,11,12,7,1,1,3,2,8,-10,OKC,HOME,Domantas Sabonis
Domantas Sabonis,1627734,2025-03-24,SAC vs. BOS,L,32.0,6,10,0.6,0,2,0.0,4,5,0.8,2,15,17,1,0,0,1,4,16,-15,BOS,HOME,Domantas Sabonis
Domantas Sabonis,1627734,2025-03-17,SAC vs. MEM,W,12.0,3,4,0.75,0,0,0.0,0,1,0.0,1,0,1,4,0,0,1,0,6,3,MEM,HOME,Domantas Sabonis
Domantas Sabonis,1627734,2025-03-14,SAC @ PHX,L,30.0,4,11,0.364,0,2,0.0,4,4,1.0,1,10,11,12,3,1,2,2,12,-8,PHX,AWAY,Domantas Sabonis
Domantas Sabonis,1627734,2025-03-01,SAC @ HOU,W,1.0,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,1,HOU,AWAY,Domantas Sabonis
Domantas Sabonis,1627734,2025-02-26,SAC @ UTA,W,34.0,5,12,0.417,0,4,0.0,2,2,1.0,0,9,9,5,1,1,3,3,12,3,UTA,AWAY,Domantas Sabonis
Domantas Sabonis,1627734,2025-02-24,SAC vs. CHA,W,27.0,3,7,0.429,0,2,0.0,1,2,0.5,2,8,10,7,0,0,4,2,7,9,CHA,HOME,Domantas Sabonis
