player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Dorian Finney-Smith,1627827,2025-04-11,LAL vs. HOU,W,30.0,6,9,0.667,6,8,0.75,0,0,0.0,0,0,0,0,3,0,0,1,18,16,HOU,HOME,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-04-09,LAL @ DAL,W,33.0,2,8,0.25,1,6,0.167,0,0,0.0,4,1,5,5,1,0,0,0,5,29,DAL,AWAY,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-04-08,LAL @ OKC,L,32.0,4,8,0.5,4,8,0.5,0,0,0.0,0,2,2,2,0,1,0,1,12,-13,OKC,AWAY,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-04-06,LAL @ OKC,W,30.0,4,5,0.8,4,5,0.8,2,2,1.0,0,7,7,2,0,0,1,2,14,28,OKC,AWAY,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-04-04,LAL vs. NOP,W,32.0,2,4,0.5,1,3,0.333,0,0,0.0,0,2,2,2,0,0,1,2,5,3,NOP,HOME,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-04-03,LAL vs. GSW,L,29.0,1,6,0.167,0,5,0.0,0,0,0.0,1,0,1,1,0,1,1,4,2,-14,GSW,HOME,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-03-31,LAL vs. HOU,W,32.0,6,13,0.462,6,11,0.545,2,2,1.0,1,5,6,3,2,3,1,2,20,16,HOU,HOME,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-03-29,LAL @ MEM,W,35.0,4,9,0.444,3,7,0.429,0,0,0.0,0,5,5,1,0,0,1,2,11,15,MEM,AWAY,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-03-27,LAL @ CHI,L,30.0,1,5,0.2,1,5,0.2,0,0,0.0,0,4,4,2,1,0,3,1,3,-10,CHI,AWAY,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-03-26,LAL @ IND,W,31.0,4,7,0.571,3,5,0.6,0,0,0.0,0,3,3,1,2,1,2,4,11,-1,IND,AWAY,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-03-24,LAL @ ORL,L,35.0,5,7,0.714,4,6,0.667,0,0,0.0,3,4,7,0,2,0,0,0,14,-6,ORL,AWAY,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-03-22,LAL vs. CHI,L,21.0,1,4,0.25,0,3,0.0,0,0,0.0,0,2,2,1,1,1,2,5,2,-19,CHI,HOME,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-03-19,LAL vs. DEN,W,30.0,5,7,0.714,3,4,0.75,1,2,0.5,1,3,4,4,1,0,0,1,14,26,DEN,HOME,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-03-17,LAL vs. SAS,W,28.0,5,12,0.417,4,8,0.5,1,2,0.5,2,1,3,1,0,0,0,1,15,13,SAS,HOME,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-03-16,LAL vs. PHX,W,36.0,3,7,0.429,2,6,0.333,2,4,0.5,1,5,6,3,1,1,0,1,10,16,PHX,HOME,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-03-13,LAL @ MIL,L,30.0,2,8,0.25,1,5,0.2,0,0,0.0,1,0,1,0,0,0,1,5,5,-16,MIL,AWAY,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-03-08,LAL @ BOS,L,36.0,3,8,0.375,2,7,0.286,0,0,0.0,0,4,4,0,1,0,0,5,8,-10,BOS,AWAY,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-03-06,LAL vs. NYK,W,38.0,1,5,0.2,0,3,0.0,0,0,0.0,4,1,5,0,1,0,2,1,2,12,NYK,HOME,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-03-04,LAL vs. NOP,W,30.0,3,10,0.3,2,7,0.286,0,0,0.0,4,1,5,0,0,0,2,1,8,5,NOP,HOME,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-03-02,LAL vs. LAC,W,37.0,4,9,0.444,2,5,0.4,1,2,0.5,1,3,4,0,1,0,0,0,11,24,LAC,HOME,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-02-28,LAL vs. LAC,W,31.0,3,6,0.5,1,3,0.333,0,0,0.0,2,3,5,3,1,0,1,0,7,-9,LAC,HOME,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-02-27,LAL vs. MIN,W,31.0,1,4,0.25,1,4,0.25,0,0,0.0,1,0,1,1,1,0,0,4,3,1,MIN,HOME,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-02-25,LAL vs. DAL,W,28.0,1,6,0.167,0,3,0.0,0,0,0.0,4,4,8,2,2,1,1,0,2,-1,DAL,HOME,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-02-22,LAL @ DEN,W,27.0,1,5,0.2,1,4,0.25,0,0,0.0,1,3,4,0,2,0,1,2,3,21,DEN,AWAY,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-02-20,LAL @ POR,W,33.0,4,7,0.571,2,5,0.4,0,0,0.0,1,5,6,0,2,1,2,1,10,20,POR,AWAY,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-02-19,LAL vs. CHA,L,28.0,4,7,0.571,4,6,0.667,0,0,0.0,4,1,5,3,0,0,1,1,12,1,CHA,HOME,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-02-10,LAL vs. UTA,W,26.0,1,4,0.25,0,3,0.0,2,2,1.0,0,4,4,1,2,0,0,2,4,13,UTA,HOME,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-02-08,LAL vs. IND,W,35.0,3,8,0.375,1,5,0.2,0,0,0.0,0,3,3,6,0,1,3,0,7,11,IND,HOME,Dorian Finney-Smith
Dorian Finney-Smith,1627827,2025-02-06,LAL vs. GSW,W,33.0,3,6,0.5,1,4,0.25,0,0,0.0,0,1,1,3,2,0,2,2,7,8,GSW,HOME,Dorian Finney-Smith
