player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Drew Eubanks,1629234,2025-04-11,LAC @ SAC,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,2,0,-4,SAC,AWAY,Drew Eubanks
Drew Eubanks,1629234,2025-04-09,LAC vs. HOU,W,13.0,1,5,0.2,0,0,0.0,2,2,1.0,3,2,5,0,0,1,0,1,4,-1,HOU,HOME,Drew Eubanks
Drew Eubanks,1629234,2025-04-08,LAC vs. SAS,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,0,0,-1,SAS,HOME,Drew Eubanks
Drew Eubanks,1629234,2025-04-05,LAC vs. DAL,W,7.0,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,4,0,DAL,HOME,Drew Eubanks
Drew Eubanks,1629234,2025-04-04,LAC vs. DAL,W,18.0,6,7,0.857,0,0,0.0,0,0,0.0,1,6,7,2,1,1,1,2,12,17,DAL,HOME,Drew Eubanks
Drew Eubanks,1629234,2025-04-02,LAC vs. NOP,W,3.0,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-2,NOP,HOME,Drew Eubanks
Drew Eubanks,1629234,2025-03-31,LAC @ ORL,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-3,ORL,AWAY,Drew Eubanks
Drew Eubanks,1629234,2025-03-28,LAC @ BKN,W,9.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,5,0,0,1,1,1,0,3,BKN,AWAY,Drew Eubanks
Drew Eubanks,1629234,2025-03-26,LAC @ NYK,W,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,NYK,AWAY,Drew Eubanks
Drew Eubanks,1629234,2025-03-23,LAC vs. OKC,L,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,Drew Eubanks
Drew Eubanks,1629234,2025-03-21,LAC vs. MEM,W,3.0,0,0,0.0,0,0,0.0,1,2,0.5,0,2,2,0,0,0,0,0,1,3,MEM,HOME,Drew Eubanks
Drew Eubanks,1629234,2025-03-16,LAC vs. CHA,W,12.0,2,3,0.667,0,0,0.0,3,4,0.75,4,5,9,1,0,1,1,1,7,2,CHA,HOME,Drew Eubanks
Drew Eubanks,1629234,2025-03-14,LAC @ ATL,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4,ATL,AWAY,Drew Eubanks
Drew Eubanks,1629234,2025-03-12,LAC @ MIA,W,9.0,3,3,1.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,2,6,8,MIA,AWAY,Drew Eubanks
Drew Eubanks,1629234,2025-03-07,LAC vs. NYK,W,4.0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,2,0,-1,NYK,HOME,Drew Eubanks
Drew Eubanks,1629234,2025-03-05,LAC vs. DET,W,13.0,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,2,-10,DET,HOME,Drew Eubanks
Drew Eubanks,1629234,2025-03-04,LAC @ PHX,L,11.0,1,4,0.25,0,0,0.0,5,6,0.833,2,2,4,0,0,1,0,0,7,-24,PHX,AWAY,Drew Eubanks
Drew Eubanks,1629234,2025-03-02,LAC @ LAL,L,12.0,2,4,0.5,0,0,0.0,0,0,0.0,2,3,5,2,1,0,0,0,4,13,LAL,AWAY,Drew Eubanks
