player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Immanuel Quickley,1630193,2025-04-09,TOR vs. CHA,W,14.0,3,6,0.5,2,5,0.4,0,0,0.0,1,1,2,1,0,0,0,1,8,6,CHA,HOME,Immanuel Quickley
Immanuel Quickley,1630193,2025-04-04,TOR vs. DET,L,29.0,5,16,0.313,2,8,0.25,2,2,1.0,1,7,8,8,1,0,2,0,14,-7,DET,HOME,Immanuel Quickley
Immanuel Quickley,1630193,2025-04-01,TOR @ CHI,L,24.0,7,14,0.5,3,7,0.429,0,0,0.0,0,1,1,9,1,0,1,2,17,-6,CHI,AWAY,Immanuel Quickley
Immanuel Quickley,1630193,2025-03-28,TOR vs. CHA,W,27.0,6,15,0.4,5,8,0.625,2,2,1.0,0,1,1,9,1,0,1,2,19,9,CHA,HOME,Immanuel Quickley
Immanuel Quickley,1630193,2025-03-24,TOR @ WAS,W,26.0,5,16,0.313,3,9,0.333,8,8,1.0,2,2,4,7,1,1,2,1,21,10,WAS,AWAY,Immanuel Quickley
Immanuel Quickley,1630193,2025-03-20,TOR @ GSW,L,31.0,8,17,0.471,3,7,0.429,2,3,0.667,1,3,4,8,3,0,5,3,21,-2,GSW,AWAY,Immanuel Quickley
Immanuel Quickley,1630193,2025-03-17,TOR @ PHX,L,30.0,5,14,0.357,2,7,0.286,3,4,0.75,0,7,7,7,1,0,1,2,15,-21,PHX,AWAY,Immanuel Quickley
Immanuel Quickley,1630193,2025-03-14,TOR @ UTA,W,25.0,6,13,0.462,2,8,0.25,6,6,1.0,1,4,5,5,1,0,2,2,20,14,UTA,AWAY,Immanuel Quickley
Immanuel Quickley,1630193,2025-03-10,TOR vs. WAS,W,28.0,5,12,0.417,3,9,0.333,2,4,0.5,1,5,6,6,0,0,1,1,15,-2,WAS,HOME,Immanuel Quickley
Immanuel Quickley,1630193,2025-03-07,TOR vs. UTA,W,29.0,10,20,0.5,6,13,0.462,8,8,1.0,2,3,5,5,3,0,1,0,34,21,UTA,HOME,Immanuel Quickley
Immanuel Quickley,1630193,2025-03-04,TOR @ ORL,W,26.0,4,9,0.444,2,4,0.5,5,7,0.714,0,4,4,4,0,0,3,2,15,2,ORL,AWAY,Immanuel Quickley
Immanuel Quickley,1630193,2025-03-02,TOR @ ORL,W,33.0,8,19,0.421,2,7,0.286,6,6,1.0,1,1,2,4,0,0,1,3,24,2,ORL,AWAY,Immanuel Quickley
Immanuel Quickley,1630193,2025-02-28,TOR @ CHI,L,32.0,6,16,0.375,4,11,0.364,7,8,0.875,0,5,5,5,0,0,2,6,23,9,CHI,AWAY,Immanuel Quickley
Immanuel Quickley,1630193,2025-02-26,TOR @ IND,L,30.0,8,15,0.533,1,4,0.25,1,3,0.333,0,2,2,6,0,0,0,1,18,-11,IND,AWAY,Immanuel Quickley
Immanuel Quickley,1630193,2025-02-25,TOR vs. BOS,L,33.0,4,13,0.308,0,6,0.0,2,3,0.667,0,6,6,7,0,0,2,4,10,-3,BOS,HOME,Immanuel Quickley
