player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Isaac Okoro,1630171,2025-04-11,CLE @ NYK,W,27.0,6,9,0.667,3,3,1.0,0,0,0.0,2,3,5,1,1,0,0,4,15,9,NYK,AWAY,Isaac Okoro
Isaac Okoro,1630171,2025-04-10,CLE @ IND,L,31.0,5,11,0.455,2,6,0.333,1,1,1.0,0,2,2,2,0,0,0,4,13,-1,IND,AWAY,Isaac Okoro
Isaac Okoro,1630171,2025-04-08,CLE vs. CHI,W,20.0,1,5,0.2,0,2,0.0,0,0,0.0,1,4,5,0,0,0,0,1,2,2,CHI,HOME,Isaac Okoro
Isaac Okoro,1630171,2025-04-06,CLE vs. SAC,L,18.0,3,3,1.0,1,1,1.0,0,0,0.0,2,0,2,1,2,0,1,1,7,20,SAC,HOME,Isaac Okoro
Isaac Okoro,1630171,2025-04-04,CLE @ SAS,W,20.0,3,6,0.5,0,2,0.0,0,0,0.0,1,3,4,0,0,0,0,1,6,6,SAS,AWAY,Isaac Okoro
Isaac Okoro,1630171,2025-04-02,CLE vs. NYK,W,23.0,5,10,0.5,1,6,0.167,0,0,0.0,2,4,6,2,2,0,1,0,11,13,NYK,HOME,Isaac Okoro
Isaac Okoro,1630171,2025-03-30,CLE vs. LAC,W,11.0,4,5,0.8,3,4,0.75,0,0,0.0,0,0,0,0,0,0,0,1,11,-10,LAC,HOME,Isaac Okoro
Isaac Okoro,1630171,2025-03-28,CLE @ DET,L,25.0,1,2,0.5,0,1,0.0,5,8,0.625,1,2,3,0,0,0,0,4,7,-9,DET,AWAY,Isaac Okoro
Isaac Okoro,1630171,2025-03-27,CLE vs. SAS,W,19.0,4,7,0.571,1,2,0.5,0,0,0.0,0,4,4,1,0,0,0,1,9,10,SAS,HOME,Isaac Okoro
Isaac Okoro,1630171,2025-03-25,CLE @ POR,W,17.0,1,3,0.333,0,2,0.0,0,0,0.0,2,2,4,3,1,0,0,1,2,7,POR,AWAY,Isaac Okoro
Isaac Okoro,1630171,2025-03-23,CLE @ UTA,W,20.0,1,4,0.25,0,2,0.0,4,4,1.0,0,0,0,0,1,0,0,2,6,8,UTA,AWAY,Isaac Okoro
Isaac Okoro,1630171,2025-03-21,CLE @ PHX,L,14.0,3,6,0.5,2,5,0.4,2,2,1.0,1,0,1,1,0,0,0,1,10,5,PHX,AWAY,Isaac Okoro
Isaac Okoro,1630171,2025-03-19,CLE @ SAC,L,16.0,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,0,1,1,1,1,5,-6,SAC,AWAY,Isaac Okoro
Isaac Okoro,1630171,2025-03-18,CLE @ LAC,L,12.0,1,4,0.25,1,3,0.333,0,0,0.0,0,0,0,2,1,0,2,2,3,7,LAC,AWAY,Isaac Okoro
Isaac Okoro,1630171,2025-03-16,CLE vs. ORL,L,8.0,1,2,0.5,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,1,2,-13,ORL,HOME,Isaac Okoro
Isaac Okoro,1630171,2025-03-14,CLE @ MEM,W,21.0,3,4,0.75,1,2,0.5,0,0,0.0,1,2,3,2,0,0,2,2,7,7,MEM,AWAY,Isaac Okoro
Isaac Okoro,1630171,2025-03-11,CLE vs. BKN,W,33.0,3,10,0.3,0,5,0.0,0,2,0.0,3,2,5,0,2,0,1,4,6,7,BKN,HOME,Isaac Okoro
