player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
JT Thor,1630550,2025-04-11,WAS @ CHI,L,24.0,1,4,0.25,0,1,0.0,1,2,0.5,1,3,4,0,1,0,1,1,3,-10,CHI,AWAY,Jt Thor
JT Thor,1630550,2025-04-09,WAS vs. PHI,L,4.0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,PHI,HOME,Jt Thor
JT Thor,1630550,2025-04-08,WAS @ IND,L,25.0,2,6,0.333,0,2,0.0,3,4,0.75,3,3,6,0,0,3,0,0,7,-30,IND,AWAY,Jt Thor
JT Thor,1630550,2025-04-06,WAS @ BOS,L,22.0,1,3,0.333,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,1,3,-6,BOS,AWAY,Jt Thor
JT Thor,1630550,2025-04-02,WAS vs. SAC,W,26.0,1,2,0.5,1,2,0.5,0,0,0.0,1,6,7,1,1,0,2,2,3,-2,SAC,HOME,Jt Thor
JT Thor,1630550,2025-03-29,WAS vs. BKN,L,23.0,2,6,0.333,0,0,0.0,1,2,0.5,3,3,6,0,1,0,0,2,5,0,BKN,HOME,Jt Thor
JT Thor,1630550,2025-03-26,WAS @ PHI,W,20.0,2,4,0.5,0,1,0.0,0,2,0.0,2,2,4,1,0,1,0,0,4,-7,PHI,AWAY,Jt Thor
JT Thor,1630550,2025-03-24,WAS vs. TOR,L,16.0,2,5,0.4,0,2,0.0,1,2,0.5,1,2,3,0,0,1,0,2,5,-11,TOR,HOME,Jt Thor
JT Thor,1630550,2025-03-21,WAS vs. ORL,L,7.0,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,2,15,ORL,HOME,Jt Thor
JT Thor,1630550,2025-03-19,WAS @ UTA,L,30.0,3,8,0.375,0,3,0.0,2,2,1.0,2,1,3,3,3,0,0,2,8,-20,UTA,AWAY,Jt Thor
JT Thor,1630550,2025-03-10,WAS @ TOR,L,8.0,1,3,0.333,1,2,0.5,0,0,0.0,3,2,5,0,0,0,0,1,3,4,TOR,AWAY,Jt Thor
JT Thor,1630550,2025-01-30,CLE vs. ATL,W,4.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,ATL,HOME,Jt Thor
JT Thor,1630550,2025-01-20,CLE vs. PHX,W,6.0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,2,2,0,-6,PHX,HOME,Jt Thor
JT Thor,1630550,2025-01-05,CLE vs. CHA,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-9,CHA,HOME,Jt Thor
JT Thor,1630550,2025-01-03,CLE @ DAL,W,4.0,1,2,0.5,0,0,0.0,1,2,0.5,2,0,2,0,0,0,1,0,3,-7,DAL,AWAY,Jt Thor
JT Thor,1630550,2024-12-30,CLE @ GSW,W,4.0,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-4,GSW,AWAY,Jt Thor
JT Thor,1630550,2024-12-16,CLE @ BKN,W,5.0,0,1,0.0,0,0,0.0,4,4,1.0,1,0,1,0,0,1,0,2,4,-8,BKN,AWAY,Jt Thor
JT Thor,1630550,2024-12-08,CLE @ MIA,L,2.0,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,5,5,MIA,AWAY,Jt Thor
JT Thor,1630550,2024-11-20,CLE vs. NOP,W,13.0,4,4,1.0,2,2,1.0,2,2,1.0,0,2,2,0,2,1,2,2,12,-3,NOP,HOME,Jt Thor
JT Thor,1630550,2024-11-17,CLE vs. CHA,W,2.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,2,1,CHA,HOME,Jt Thor
