player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Ja Morant,1629630,2025-04-11,MEM @ DEN,L,34.0,8,21,0.381,2,8,0.25,3,5,0.6,1,1,2,6,1,0,3,2,21,-13,DEN,AWAY,Ja Morant
Ja Morant,1629630,2025-04-10,MEM vs. MIN,L,36.0,13,27,0.481,5,13,0.385,5,7,0.714,1,0,1,6,1,0,5,3,36,-3,MIN,HOME,Ja Morant
Ja Morant,1629630,2025-04-08,MEM @ CHA,W,27.0,10,21,0.476,4,10,0.4,4,4,1.0,3,2,5,8,0,1,0,1,28,31,CHA,AWAY,Ja Morant
Ja Morant,1629630,2025-04-03,MEM @ MIA,W,32.0,11,22,0.5,3,7,0.429,5,6,0.833,2,3,5,3,1,0,4,4,30,3,MIA,AWAY,Ja Morant
Ja Morant,1629630,2025-04-01,MEM vs. GSW,L,33.0,14,22,0.636,5,8,0.625,3,3,1.0,0,3,3,6,2,0,6,4,36,-11,GSW,HOME,Ja Morant
Ja Morant,1629630,2025-03-31,MEM vs. BOS,L,35.0,10,20,0.5,2,7,0.286,4,6,0.667,1,5,6,5,2,0,2,1,26,-6,BOS,HOME,Ja Morant
Ja Morant,1629630,2025-03-29,MEM vs. LAL,L,31.0,9,23,0.391,1,5,0.2,3,5,0.6,1,7,8,10,1,0,4,3,22,0,LAL,HOME,Ja Morant
Ja Morant,1629630,2025-03-14,MEM vs. CLE,L,35.0,17,22,0.773,1,4,0.25,9,10,0.9,0,8,8,7,1,0,2,3,44,-6,CLE,HOME,Ja Morant
Ja Morant,1629630,2025-03-12,MEM vs. UTA,W,31.0,8,17,0.471,4,7,0.571,8,11,0.727,0,1,1,7,1,0,2,0,28,3,UTA,HOME,Ja Morant
Ja Morant,1629630,2025-03-10,MEM vs. PHX,W,34.0,9,13,0.692,1,5,0.2,10,10,1.0,1,3,4,12,1,0,5,3,29,15,PHX,HOME,Ja Morant
Ja Morant,1629630,2025-03-09,MEM @ NOP,W,37.0,11,23,0.478,3,9,0.333,7,11,0.636,1,3,4,6,3,0,1,3,32,11,NOP,AWAY,Ja Morant
Ja Morant,1629630,2025-03-07,MEM @ DAL,W,35.0,13,29,0.448,1,5,0.2,4,5,0.8,1,3,4,8,1,0,3,3,31,16,DAL,AWAY,Ja Morant
Ja Morant,1629630,2025-03-05,MEM vs. OKC,L,32.0,8,22,0.364,2,9,0.222,6,6,1.0,0,3,3,6,1,0,5,5,24,-21,OKC,HOME,Ja Morant
Ja Morant,1629630,2025-02-28,MEM vs. NYK,L,31.0,9,22,0.409,0,6,0.0,7,7,1.0,0,4,4,7,1,0,4,3,25,8,NYK,HOME,Ja Morant
Ja Morant,1629630,2025-02-25,MEM vs. PHX,W,37.0,7,25,0.28,1,12,0.083,14,14,1.0,0,4,4,8,2,0,5,5,29,6,PHX,HOME,Ja Morant
Ja Morant,1629630,2025-02-23,MEM @ CLE,L,34.0,6,13,0.462,2,4,0.5,7,7,1.0,0,2,2,10,0,0,1,5,21,-5,CLE,AWAY,Ja Morant
Ja Morant,1629630,2025-02-21,MEM @ ORL,W,33.0,10,24,0.417,1,7,0.143,2,2,1.0,1,3,4,5,1,0,7,3,23,1,ORL,AWAY,Ja Morant
Ja Morant,1629630,2025-02-20,MEM @ IND,L,30.0,4,15,0.267,0,3,0.0,4,5,0.8,0,0,0,6,0,0,5,3,12,-11,IND,AWAY,Ja Morant
Ja Morant,1629630,2025-02-11,MEM @ PHX,W,33.0,8,19,0.421,0,5,0.0,10,12,0.833,1,6,7,6,1,0,2,1,26,14,PHX,AWAY,Ja Morant
Ja Morant,1629630,2025-02-08,MEM vs. OKC,L,36.0,6,19,0.316,2,4,0.5,2,4,0.5,1,4,5,7,0,2,1,2,16,-12,OKC,HOME,Ja Morant
Ja Morant,1629630,2025-02-05,MEM @ TOR,W,25.0,9,14,0.643,3,7,0.429,5,6,0.833,0,5,5,4,2,0,5,4,26,16,TOR,AWAY,Ja Morant
Ja Morant,1629630,2025-02-03,MEM vs. SAS,W,29.0,9,18,0.5,4,6,0.667,3,3,1.0,1,2,3,11,3,0,4,1,25,9,SAS,HOME,Ja Morant
Ja Morant,1629630,2025-01-27,MEM @ NYK,L,27.0,5,13,0.385,0,1,0.0,0,0,0.0,1,4,5,2,0,0,4,0,10,-41,NYK,AWAY,Ja Morant
Ja Morant,1629630,2025-01-25,MEM vs. UTA,W,26.0,4,9,0.444,2,6,0.333,1,2,0.5,1,0,1,7,1,0,4,4,11,24,UTA,HOME,Ja Morant
Ja Morant,1629630,2025-01-22,MEM vs. CHA,W,32.0,5,9,0.556,2,5,0.4,4,4,1.0,0,4,4,13,3,1,5,2,16,4,CHA,HOME,Ja Morant
Ja Morant,1629630,2025-01-20,MEM vs. MIN,W,30.0,5,16,0.313,0,4,0.0,9,13,0.692,0,4,4,7,1,0,2,2,19,15,MIN,HOME,Ja Morant
Ja Morant,1629630,2025-01-15,MEM @ SAS,W,31.0,9,13,0.692,1,2,0.5,2,2,1.0,0,4,4,12,2,0,2,3,21,22,SAS,AWAY,Ja Morant
Ja Morant,1629630,2025-01-13,MEM @ HOU,L,37.0,11,24,0.458,4,11,0.364,3,6,0.5,0,3,3,4,4,0,7,2,29,11,HOU,AWAY,Ja Morant
Ja Morant,1629630,2025-01-11,MEM @ MIN,W,30.0,5,19,0.263,0,4,0.0,2,2,1.0,2,3,5,4,1,0,5,4,12,1,MIN,AWAY,Ja Morant
Ja Morant,1629630,2025-01-09,MEM vs. HOU,L,29.0,9,22,0.409,1,5,0.2,8,11,0.727,1,2,3,3,1,0,4,2,27,-7,HOU,HOME,Ja Morant
Ja Morant,1629630,2024-12-27,MEM @ NOP,W,25.0,8,11,0.727,3,4,0.75,6,7,0.857,0,2,2,7,1,0,3,2,25,21,NOP,AWAY,Ja Morant
Ja Morant,1629630,2024-12-26,MEM vs. TOR,W,24.0,5,10,0.5,1,3,0.333,4,4,1.0,0,2,2,9,0,0,3,0,15,28,TOR,HOME,Ja Morant
Ja Morant,1629630,2024-12-23,MEM vs. LAC,L,29.0,7,20,0.35,2,8,0.25,7,8,0.875,0,6,6,4,1,1,7,0,23,-12,LAC,HOME,Ja Morant
Ja Morant,1629630,2024-12-19,MEM vs. GSW,W,17.0,4,9,0.444,1,5,0.2,0,0,0.0,1,2,3,3,2,2,1,1,9,24,GSW,HOME,Ja Morant
Ja Morant,1629630,2024-12-15,MEM @ LAL,L,31.0,6,21,0.286,2,7,0.286,6,8,0.75,2,5,7,6,3,0,7,3,20,-8,LAL,AWAY,Ja Morant
Ja Morant,1629630,2024-12-13,MEM vs. BKN,W,32.0,10,19,0.526,3,6,0.5,5,8,0.625,2,5,7,10,1,0,3,2,28,25,BKN,HOME,Ja Morant
Ja Morant,1629630,2024-12-07,MEM @ BOS,W,34.0,11,20,0.55,4,6,0.667,6,7,0.857,1,8,9,9,2,0,3,3,32,2,BOS,AWAY,Ja Morant
Ja Morant,1629630,2024-12-05,MEM vs. SAC,W,28.0,2,13,0.154,0,6,0.0,4,4,1.0,2,1,3,7,0,1,2,2,8,-32,SAC,HOME,Ja Morant
Ja Morant,1629630,2024-12-03,MEM @ DAL,L,31.0,11,22,0.5,3,6,0.5,6,7,0.857,0,2,2,4,3,0,6,1,31,-8,DAL,AWAY,Ja Morant
Ja Morant,1629630,2024-12-01,MEM vs. IND,W,27.0,6,13,0.462,2,7,0.286,5,6,0.833,0,2,2,8,1,1,0,2,19,13,IND,HOME,Ja Morant
Ja Morant,1629630,2024-11-29,MEM vs. NOP,W,29.0,10,18,0.556,0,4,0.0,7,7,1.0,0,3,3,7,3,0,5,1,27,7,NOP,HOME,Ja Morant
Ja Morant,1629630,2024-11-25,MEM vs. POR,W,23.0,6,12,0.5,2,3,0.667,8,10,0.8,1,1,2,11,0,1,2,1,22,22,POR,HOME,Ja Morant
Ja Morant,1629630,2024-11-06,MEM vs. LAL,W,24.0,7,17,0.412,2,3,0.667,4,5,0.8,0,4,4,5,1,1,5,2,20,8,LAL,HOME,Ja Morant
Ja Morant,1629630,2024-11-04,MEM @ BKN,L,33.0,10,22,0.455,1,3,0.333,4,4,1.0,1,4,5,9,0,0,3,0,25,2,BKN,AWAY,Ja Morant
Ja Morant,1629630,2024-11-02,MEM @ PHI,W,31.0,6,13,0.462,0,2,0.0,6,8,0.75,0,6,6,12,2,0,6,1,18,21,PHI,AWAY,Ja Morant
Ja Morant,1629630,2024-10-31,MEM vs. MIL,W,29.0,9,16,0.563,2,5,0.4,6,7,0.857,1,9,10,14,1,0,3,0,26,29,MIL,HOME,Ja Morant
Ja Morant,1629630,2024-10-30,MEM vs. BKN,L,29.0,5,16,0.313,1,6,0.167,3,4,0.75,2,6,8,11,0,0,5,3,14,4,BKN,HOME,Ja Morant
