player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Jaden McDaniels,1630183,2025-04-13,MIN vs. UTA,W,25.0,4,7,0.571,0,1,0.0,0,2,0.0,2,0,2,0,3,2,4,4,8,-1,UTA,HOME,Jaden Mcdaniels
Jaden McDaniels,1630183,2025-04-11,MIN vs. BKN,W,28.0,5,12,0.417,0,3,0.0,1,1,1.0,0,3,3,2,0,1,2,0,11,11,BKN,HOME,Jaden Mcdaniels
Jaden McDaniels,1630183,2025-04-10,MIN @ MEM,W,30.0,4,7,0.571,2,4,0.5,0,0,0.0,1,4,5,1,1,0,2,3,10,10,MEM,AWAY,Jaden Mcdaniels
Jaden McDaniels,1630183,2025-04-08,MIN @ MIL,L,30.0,6,12,0.5,0,3,0.0,1,1,1.0,1,4,5,3,0,1,1,1,13,-3,MIL,AWAY,Jaden Mcdaniels
Jaden McDaniels,1630183,2025-04-05,MIN @ PHI,W,26.0,0,6,0.0,0,2,0.0,2,2,1.0,1,2,3,1,0,1,1,2,2,-18,PHI,AWAY,Jaden Mcdaniels
Jaden McDaniels,1630183,2025-04-03,MIN @ BKN,W,33.0,3,6,0.5,0,2,0.0,2,2,1.0,1,3,4,2,1,2,1,0,8,8,BKN,AWAY,Jaden Mcdaniels
Jaden McDaniels,1630183,2025-04-01,MIN @ DEN,W,44.0,5,17,0.294,0,4,0.0,2,2,1.0,4,2,6,0,0,0,2,5,12,-6,DEN,AWAY,Jaden Mcdaniels
Jaden McDaniels,1630183,2025-03-30,MIN vs. DET,W,30.0,1,6,0.167,0,2,0.0,0,2,0.0,1,8,9,3,1,2,0,3,2,15,DET,HOME,Jaden Mcdaniels
Jaden McDaniels,1630183,2025-03-28,MIN vs. PHX,W,31.0,6,10,0.6,2,3,0.667,2,3,0.667,1,2,3,1,1,1,0,1,16,13,PHX,HOME,Jaden Mcdaniels
Jaden McDaniels,1630183,2025-03-24,MIN @ IND,L,22.0,3,7,0.429,0,0,0.0,0,0,0.0,0,1,1,1,0,1,1,1,6,-7,IND,AWAY,Jaden Mcdaniels
