player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Jake LaRavia,1631222,2025-03-25,SAC vs. OKC,L,21.0,4,7,0.571,2,3,0.667,1,2,0.5,0,2,2,2,3,0,0,1,11,-16,OKC,HOME,Jake Laravia
Jake LaRavia,1631222,2025-03-24,SAC vs. BOS,L,17.0,1,4,0.25,0,1,0.0,0,0,0.0,0,2,2,1,2,0,2,2,2,-1,BOS,HOME,Jake Laravia
Jake LaRavia,1631222,2025-03-22,SAC vs. MIL,L,28.0,4,9,0.444,2,6,0.333,1,2,0.5,0,1,1,0,0,0,0,1,11,-12,MIL,HOME,Jake Laravia
Jake LaRavia,1631222,2025-03-20,SAC vs. CHI,L,22.0,3,3,1.0,1,1,1.0,3,3,1.0,3,4,7,3,0,1,1,4,10,0,CHI,HOME,Jake Laravia
Jake LaRavia,1631222,2025-03-17,SAC vs. MEM,W,23.0,4,7,0.571,2,4,0.5,2,2,1.0,1,1,2,1,2,0,3,6,12,8,MEM,HOME,Jake Laravia
Jake LaRavia,1631222,2025-03-14,SAC @ PHX,L,16.0,1,4,0.25,1,3,0.333,0,0,0.0,0,2,2,0,0,0,0,3,3,-11,PHX,AWAY,Jake Laravia
Jake LaRavia,1631222,2025-03-13,SAC @ GSW,L,21.0,5,7,0.714,2,4,0.5,1,2,0.5,0,0,0,1,1,0,0,0,13,-17,GSW,AWAY,Jake Laravia
Jake LaRavia,1631222,2025-03-09,SAC @ LAC,L,31.0,3,5,0.6,1,2,0.5,0,0,0.0,0,3,3,2,3,0,0,2,7,-3,LAC,AWAY,Jake Laravia
Jake LaRavia,1631222,2025-03-07,SAC vs. SAS,W,27.0,2,9,0.222,1,3,0.333,1,2,0.5,5,3,8,3,0,0,1,1,6,6,SAS,HOME,Jake Laravia
Jake LaRavia,1631222,2025-03-05,SAC @ DEN,L,24.0,6,10,0.6,3,6,0.5,0,0,0.0,2,3,5,1,2,0,1,5,15,-7,DEN,AWAY,Jake Laravia
