player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Jalen Brunson,1628973,2025-04-11,NYK vs. CLE,L,36.0,9,17,0.529,3,7,0.429,6,7,0.857,0,1,1,2,1,0,3,1,27,-6,CLE,HOME,Jalen Brunson
Jalen Brunson,1628973,2025-04-10,NYK @ DET,L,29.0,5,15,0.333,3,9,0.333,2,5,0.4,2,0,2,5,0,2,3,2,15,-11,DET,AWAY,Jalen Brunson
Jalen Brunson,1628973,2025-04-08,NYK vs. BOS,L,38.0,10,21,0.476,5,12,0.417,2,2,1.0,0,1,1,10,0,0,2,1,27,-2,BOS,HOME,Jalen Brunson
Jalen Brunson,1628973,2025-04-06,NYK vs. PHX,W,34.0,3,9,0.333,1,4,0.25,8,10,0.8,0,2,2,6,1,0,3,2,15,9,PHX,HOME,Jalen Brunson
Jalen Brunson,1628973,2025-03-06,NYK @ LAL,L,41.0,13,26,0.5,1,7,0.143,12,13,0.923,0,4,4,10,0,0,3,2,39,-8,LAL,AWAY,Jalen Brunson
Jalen Brunson,1628973,2025-03-04,NYK vs. GSW,L,37.0,9,18,0.5,1,7,0.143,6,7,0.857,0,2,2,7,1,0,4,1,25,-15,GSW,HOME,Jalen Brunson
Jalen Brunson,1628973,2025-03-02,NYK @ MIA,W,42.0,13,25,0.52,3,11,0.273,2,4,0.5,1,4,5,6,2,0,3,5,31,12,MIA,AWAY,Jalen Brunson
Jalen Brunson,1628973,2025-02-28,NYK @ MEM,W,36.0,10,23,0.435,2,6,0.333,1,1,1.0,1,6,7,6,3,1,3,1,23,-2,MEM,AWAY,Jalen Brunson
Jalen Brunson,1628973,2025-02-26,NYK vs. PHI,W,36.0,8,17,0.471,3,5,0.6,15,16,0.938,0,3,3,7,1,0,2,1,34,3,PHI,HOME,Jalen Brunson
Jalen Brunson,1628973,2025-02-23,NYK @ BOS,L,38.0,9,19,0.474,4,9,0.444,0,0,0.0,0,3,3,4,1,0,4,0,22,-9,BOS,AWAY,Jalen Brunson
