player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Jalen Duren,1631105,2025-04-13,DET @ MIL,L,8.0,2,3,0.667,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,1,4,-14,MIL,AWAY,Jalen Duren
Jalen Duren,1631105,2025-04-11,DET vs. MIL,L,39.0,5,9,0.556,0,0,0.0,1,6,0.167,6,10,16,5,0,1,2,2,11,1,MIL,HOME,Jalen Duren
Jalen Duren,1631105,2025-04-10,DET vs. NYK,W,26.0,9,9,1.0,0,0,0.0,0,0,0.0,5,8,13,2,1,1,3,2,18,4,NYK,HOME,Jalen Duren
Jalen Duren,1631105,2025-04-07,DET vs. SAC,L,20.0,2,4,0.5,0,0,0.0,2,2,1.0,3,6,9,6,1,1,0,5,6,-6,SAC,HOME,Jalen Duren
Jalen Duren,1631105,2025-04-04,DET @ TOR,W,36.0,9,11,0.818,0,0,0.0,3,4,0.75,4,14,18,6,1,4,0,2,21,15,TOR,AWAY,Jalen Duren
Jalen Duren,1631105,2025-04-02,DET @ OKC,L,34.0,3,10,0.3,0,0,0.0,7,10,0.7,6,7,13,3,1,2,6,2,13,-19,OKC,AWAY,Jalen Duren
Jalen Duren,1631105,2025-03-30,DET @ MIN,L,26.0,6,10,0.6,0,0,0.0,1,1,1.0,5,6,11,3,1,0,2,5,13,-7,MIN,AWAY,Jalen Duren
Jalen Duren,1631105,2025-03-28,DET vs. CLE,W,27.0,6,9,0.667,0,0,0.0,4,6,0.667,6,7,13,0,1,1,0,4,16,15,CLE,HOME,Jalen Duren
Jalen Duren,1631105,2025-03-25,DET vs. SAS,W,24.0,6,9,0.667,0,0,0.0,2,5,0.4,1,3,4,7,0,0,1,3,14,11,SAS,HOME,Jalen Duren
Jalen Duren,1631105,2025-03-23,DET vs. NOP,W,29.0,8,11,0.727,0,0,0.0,6,9,0.667,6,6,12,2,0,0,3,4,22,-4,NOP,HOME,Jalen Duren
Jalen Duren,1631105,2025-03-21,DET @ DAL,L,27.0,5,5,1.0,0,0,0.0,4,6,0.667,5,4,9,3,0,2,1,4,14,-8,DAL,AWAY,Jalen Duren
Jalen Duren,1631105,2025-03-19,DET @ MIA,W,28.0,6,9,0.667,0,0,0.0,3,4,0.75,5,6,11,1,0,0,0,5,15,17,MIA,AWAY,Jalen Duren
Jalen Duren,1631105,2025-03-17,DET @ NOP,W,22.0,4,6,0.667,0,0,0.0,1,2,0.5,1,6,7,6,0,2,0,3,9,11,NOP,AWAY,Jalen Duren
Jalen Duren,1631105,2025-03-15,DET vs. OKC,L,29.0,3,6,0.5,0,0,0.0,2,4,0.5,1,4,5,2,0,0,3,3,8,-15,OKC,HOME,Jalen Duren
Jalen Duren,1631105,2025-03-13,DET vs. WAS,L,30.0,8,10,0.8,0,0,0.0,2,2,1.0,4,10,14,0,0,1,0,2,18,-11,WAS,HOME,Jalen Duren
Jalen Duren,1631105,2025-03-11,DET vs. WAS,W,25.0,7,11,0.636,0,0,0.0,1,2,0.5,5,8,13,0,0,2,1,2,15,19,WAS,HOME,Jalen Duren
Jalen Duren,1631105,2025-03-09,DET @ POR,W,29.0,7,10,0.7,0,0,0.0,4,4,1.0,2,10,12,2,2,0,1,5,18,9,POR,AWAY,Jalen Duren
Jalen Duren,1631105,2025-03-08,DET @ GSW,L,29.0,6,11,0.545,0,0,0.0,1,3,0.333,5,8,13,2,1,0,1,5,13,-16,GSW,AWAY,Jalen Duren
Jalen Duren,1631105,2025-03-05,DET @ LAC,L,26.0,2,3,0.667,0,0,0.0,3,6,0.5,0,3,3,4,1,0,2,6,7,-15,LAC,AWAY,Jalen Duren
Jalen Duren,1631105,2025-03-03,DET @ UTA,W,30.0,5,5,1.0,0,0,0.0,6,8,0.75,1,11,12,2,2,4,3,2,16,31,UTA,AWAY,Jalen Duren
Jalen Duren,1631105,2025-03-01,DET vs. BKN,W,30.0,6,7,0.857,0,0,0.0,6,6,1.0,1,10,11,2,2,6,3,5,18,29,BKN,HOME,Jalen Duren
Jalen Duren,1631105,2025-02-28,DET vs. DEN,L,16.0,3,5,0.6,0,0,0.0,2,4,0.5,3,5,8,2,1,0,1,4,8,-15,DEN,HOME,Jalen Duren
Jalen Duren,1631105,2025-02-26,DET vs. BOS,W,26.0,6,7,0.857,0,0,0.0,1,2,0.5,4,7,11,2,1,0,1,3,13,0,BOS,HOME,Jalen Duren
