player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Jock Landale,1629111,2025-04-13,HOU vs. DEN,L,9.0,5,5,1.0,1,1,1.0,0,0,0.0,1,2,3,0,0,0,0,0,11,3,DEN,HOME,Jock Landale
Jock Landale,1629111,2025-04-11,HOU @ LAL,L,25.0,3,5,0.6,1,1,1.0,1,2,0.5,1,4,5,0,2,0,2,4,8,0,LAL,AWAY,Jock Landale
Jock Landale,1629111,2025-04-09,HOU @ LAC,L,34.0,4,7,0.571,1,3,0.333,2,2,1.0,2,7,9,5,1,0,0,1,11,-5,LAC,AWAY,Jock Landale
Jock Landale,1629111,2025-04-02,HOU vs. UTA,W,20.0,3,5,0.6,0,1,0.0,0,0,0.0,4,1,5,2,0,1,1,1,6,13,UTA,HOME,Jock Landale
Jock Landale,1629111,2025-03-30,HOU @ PHX,W,16.0,5,7,0.714,1,2,0.5,0,1,0.0,0,1,1,2,2,0,1,4,11,4,PHX,AWAY,Jock Landale
Jock Landale,1629111,2025-03-27,HOU @ UTA,W,14.0,5,7,0.714,0,1,0.0,0,0,0.0,2,1,3,0,1,0,1,1,10,-5,UTA,AWAY,Jock Landale
Jock Landale,1629111,2025-03-17,HOU vs. PHI,W,6.0,3,3,1.0,1,1,1.0,0,0,0.0,2,1,3,1,0,0,0,0,7,-4,PHI,HOME,Jock Landale
Jock Landale,1629111,2025-03-14,HOU vs. DAL,W,23.0,3,4,0.75,0,0,0.0,0,0,0.0,3,2,5,0,1,0,1,3,6,15,DAL,HOME,Jock Landale
Jock Landale,1629111,2025-03-12,HOU vs. PHX,W,9.0,1,3,0.333,0,0,0.0,1,1,1.0,1,2,3,1,0,0,0,2,3,1,PHX,HOME,Jock Landale
Jock Landale,1629111,2025-03-10,HOU vs. ORL,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-5,ORL,HOME,Jock Landale
Jock Landale,1629111,2025-03-08,HOU vs. NOP,W,6.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-6,NOP,HOME,Jock Landale
Jock Landale,1629111,2025-03-03,HOU @ OKC,L,21.0,3,6,0.5,0,1,0.0,0,0,0.0,1,2,3,1,0,0,2,3,6,-11,OKC,AWAY,Jock Landale
Jock Landale,1629111,2025-02-26,HOU vs. SAS,W,8.0,2,4,0.5,0,1,0.0,1,2,0.5,1,2,3,0,0,0,0,0,5,-11,SAS,HOME,Jock Landale
Jock Landale,1629111,2025-02-25,HOU vs. MIL,W,9.0,0,4,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-9,MIL,HOME,Jock Landale
Jock Landale,1629111,2025-02-22,HOU @ UTA,L,11.0,1,3,0.333,0,1,0.0,2,2,1.0,0,1,1,1,0,0,0,1,4,-6,UTA,AWAY,Jock Landale
Jock Landale,1629111,2025-02-13,HOU vs. GSW,L,16.0,6,9,0.667,1,2,0.5,0,0,0.0,3,5,8,1,1,0,0,1,13,15,GSW,HOME,Jock Landale
Jock Landale,1629111,2025-02-09,HOU vs. TOR,W,24.0,4,8,0.5,0,1,0.0,3,3,1.0,2,8,10,1,0,1,1,3,11,2,TOR,HOME,Jock Landale
Jock Landale,1629111,2025-02-06,HOU @ MIN,L,14.0,4,4,1.0,1,1,1.0,1,1,1.0,2,3,5,1,0,0,1,2,10,5,MIN,AWAY,Jock Landale
Jock Landale,1629111,2025-02-01,HOU vs. BKN,L,8.0,1,4,0.25,0,0,0.0,0,0,0.0,2,0,2,2,0,0,0,0,2,-11,BKN,HOME,Jock Landale
Jock Landale,1629111,2025-01-30,HOU @ MEM,L,16.0,2,3,0.667,1,1,1.0,3,4,0.75,2,1,3,2,1,0,0,3,8,7,MEM,AWAY,Jock Landale
Jock Landale,1629111,2025-01-28,HOU @ ATL,W,16.0,2,3,0.667,0,0,0.0,0,0,0.0,2,4,6,2,0,1,1,2,4,15,ATL,AWAY,Jock Landale
