player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
John Konchar,1629723,2025-04-13,MEM vs. DAL,W,21.0,1,2,0.5,0,1,0.0,0,0,0.0,2,5,7,3,6,0,1,0,2,27,DAL,HOME,John Konchar
John Konchar,1629723,2025-04-11,MEM @ DEN,L,7.0,2,2,1.0,1,1,1.0,0,0,0.0,1,2,3,0,1,0,0,0,5,0,DEN,AWAY,John Konchar
John Konchar,1629723,2025-04-10,MEM vs. MIN,L,7.0,1,1,1.0,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,0,3,-3,MIN,HOME,John Konchar
John Konchar,1629723,2025-04-08,MEM @ CHA,W,11.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,2,0,0,0,0,-3,CHA,AWAY,John Konchar
John Konchar,1629723,2025-03-31,MEM vs. BOS,L,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,BOS,HOME,John Konchar
John Konchar,1629723,2025-03-27,MEM @ OKC,L,7.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,2,0,0,0,0,-3,OKC,AWAY,John Konchar
John Konchar,1629723,2025-03-25,MEM @ UTA,W,20.0,3,5,0.6,2,3,0.667,0,0,0.0,1,6,7,3,0,0,0,1,8,8,UTA,AWAY,John Konchar
John Konchar,1629723,2025-03-21,MEM @ LAC,L,13.0,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,1,0,1,1,0,7,LAC,AWAY,John Konchar
John Konchar,1629723,2025-03-19,MEM @ POR,L,20.0,1,3,0.333,1,2,0.5,0,0,0.0,1,2,3,2,1,1,0,1,3,-8,POR,AWAY,John Konchar
John Konchar,1629723,2025-03-17,MEM @ SAC,L,17.0,2,2,1.0,2,2,1.0,2,2,1.0,2,6,8,1,1,1,0,2,8,9,SAC,AWAY,John Konchar
