player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Jonathan Kuminga,1630228,2025-04-11,GSW @ POR,W,17.0,2,7,0.286,0,2,0.0,6,8,0.75,1,4,5,0,1,1,1,1,10,4,POR,AWAY,Jonathan Kuminga
Jonathan Kuminga,1630228,2025-04-09,GSW vs. SAS,L,18.0,5,10,0.5,1,4,0.25,1,2,0.5,1,2,3,1,0,0,1,2,12,-2,SAS,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2025-04-08,GSW @ PHX,W,21.0,4,9,0.444,0,2,0.0,2,2,1.0,2,1,3,3,0,0,2,2,10,9,PHX,AWAY,Jonathan Kuminga
Jonathan Kuminga,1630228,2025-04-06,GSW vs. HOU,L,19.0,4,9,0.444,1,4,0.25,0,0,0.0,1,6,7,3,1,0,3,2,9,9,HOU,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2025-04-04,GSW vs. DEN,W,18.0,3,9,0.333,0,1,0.0,0,0,0.0,0,1,1,1,0,0,2,2,6,0,DEN,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2025-04-03,GSW @ LAL,W,25.0,7,12,0.583,1,3,0.333,3,5,0.6,2,7,9,4,0,1,0,3,18,9,LAL,AWAY,Jonathan Kuminga
Jonathan Kuminga,1630228,2025-03-30,GSW @ SAS,W,7.0,1,2,0.5,0,0,0.0,2,2,1.0,0,1,1,0,0,0,1,1,4,9,SAS,AWAY,Jonathan Kuminga
Jonathan Kuminga,1630228,2025-03-28,GSW @ NOP,W,23.0,5,9,0.556,0,2,0.0,6,8,0.75,1,7,8,3,1,0,1,3,16,-5,NOP,AWAY,Jonathan Kuminga
Jonathan Kuminga,1630228,2025-03-25,GSW @ MIA,L,25.0,4,10,0.4,1,3,0.333,6,9,0.667,0,2,2,2,2,0,1,0,15,-13,MIA,AWAY,Jonathan Kuminga
Jonathan Kuminga,1630228,2025-03-22,GSW @ ATL,L,22.0,6,14,0.429,1,4,0.25,3,3,1.0,0,2,2,2,0,0,1,0,16,-18,ATL,AWAY,Jonathan Kuminga
Jonathan Kuminga,1630228,2025-03-20,GSW vs. TOR,W,25.0,7,15,0.467,1,5,0.2,1,1,1.0,0,4,4,3,2,0,2,3,16,-2,TOR,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2025-03-18,GSW vs. MIL,W,24.0,2,10,0.2,0,2,0.0,6,6,1.0,1,1,2,2,0,0,2,4,10,-11,MIL,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2025-03-17,GSW vs. DEN,L,28.0,4,11,0.364,0,2,0.0,5,8,0.625,0,3,3,4,1,0,3,3,13,6,DEN,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2025-03-15,GSW vs. NYK,W,20.0,3,8,0.375,0,0,0.0,4,6,0.667,3,2,5,5,0,1,1,1,10,-10,NYK,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2025-03-13,GSW vs. SAC,W,20.0,7,10,0.7,0,1,0.0,4,6,0.667,0,3,3,1,1,0,0,2,18,8,SAC,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2025-01-04,GSW vs. MEM,W,15.0,4,6,0.667,3,3,1.0,2,4,0.5,0,2,2,2,0,0,4,0,13,0,MEM,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2025-01-02,GSW vs. PHI,W,25.0,8,11,0.727,2,3,0.667,2,3,0.667,0,5,5,5,1,0,1,2,20,25,PHI,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2024-12-30,GSW vs. CLE,L,32.0,4,15,0.267,0,2,0.0,10,14,0.714,2,8,10,2,1,1,0,3,18,-5,CLE,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2024-12-28,GSW vs. PHX,W,34.0,12,20,0.6,2,5,0.4,8,12,0.667,5,4,9,3,1,0,1,4,34,9,PHX,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2024-12-27,GSW @ LAC,L,37.0,11,19,0.579,1,3,0.333,11,14,0.786,4,6,10,5,2,1,3,1,34,-5,LAC,AWAY,Jonathan Kuminga
Jonathan Kuminga,1630228,2024-12-25,GSW vs. LAL,L,28.0,4,10,0.4,0,4,0.0,6,8,0.75,0,6,6,0,1,0,1,1,14,-17,LAL,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2024-12-23,GSW vs. IND,L,30.0,9,16,0.563,2,3,0.667,6,9,0.667,4,4,8,4,0,1,1,0,26,-2,IND,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2024-12-21,GSW @ MIN,W,23.0,3,11,0.273,2,4,0.5,3,4,0.75,0,4,4,2,0,1,1,0,11,5,MIN,AWAY,Jonathan Kuminga
Jonathan Kuminga,1630228,2024-12-19,GSW @ MEM,L,28.0,2,12,0.167,0,2,0.0,7,10,0.7,0,4,4,2,1,0,4,0,11,-23,MEM,AWAY,Jonathan Kuminga
Jonathan Kuminga,1630228,2024-12-15,GSW vs. DAL,L,30.0,9,15,0.6,2,3,0.667,0,0,0.0,2,1,3,6,0,0,0,4,20,-10,DAL,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2024-12-11,GSW @ HOU,L,36.0,8,20,0.4,2,6,0.333,2,6,0.333,5,2,7,1,0,1,1,2,20,2,HOU,AWAY,Jonathan Kuminga
Jonathan Kuminga,1630228,2024-12-08,GSW vs. MIN,W,36.0,7,16,0.438,1,4,0.25,5,8,0.625,1,6,7,2,2,3,3,2,20,8,MIN,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2024-12-06,GSW vs. MIN,L,29.0,6,15,0.4,1,4,0.25,0,0,0.0,1,1,2,1,1,1,3,3,13,-7,MIN,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2024-12-05,GSW vs. HOU,W,33.0,13,22,0.591,3,6,0.5,4,6,0.667,1,6,7,2,0,1,3,3,33,7,HOU,HOME,Jonathan Kuminga
Jonathan Kuminga,1630228,2024-12-03,GSW @ DEN,L,29.0,9,18,0.5,1,2,0.5,0,2,0.0,0,5,5,2,1,1,0,4,19,-7,DEN,AWAY,Jonathan Kuminga
Jonathan Kuminga,1630228,2024-11-30,GSW @ PHX,L,19.0,4,12,0.333,0,3,0.0,4,6,0.667,0,2,2,1,1,0,0,4,12,-12,PHX,AWAY,Jonathan Kuminga
