player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Jordan Goodwin,1630692,2025-04-13,LAL @ POR,L,30.0,5,14,0.357,2,5,0.4,0,0,0.0,2,5,7,4,2,0,2,0,12,-18,POR,AWAY,Jordan Goodwin
Jordan Goodwin,1630692,2025-04-11,LAL vs. HOU,W,23.0,1,4,0.25,1,3,0.333,0,0,0.0,0,6,6,3,0,0,1,1,3,21,HOU,HOME,Jordan Goodwin
Jordan Goodwin,1630692,2025-04-09,LAL @ DAL,W,9.0,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,0,2,0,1,1,0,-2,DAL,AWAY,Jordan Goodwin
Jordan Goodwin,1630692,2025-04-08,LAL @ OKC,L,13.0,2,5,0.4,2,4,0.5,0,0,0.0,0,4,4,1,0,0,1,1,6,-5,OKC,AWAY,Jordan Goodwin
Jordan Goodwin,1630692,2025-04-06,LAL @ OKC,W,9.0,2,4,0.5,0,0,0.0,0,0,0.0,1,4,5,2,0,0,2,0,4,12,OKC,AWAY,Jordan Goodwin
Jordan Goodwin,1630692,2025-04-04,LAL vs. NOP,W,18.0,1,4,0.25,0,3,0.0,0,0,0.0,2,3,5,2,1,0,2,4,2,7,NOP,HOME,Jordan Goodwin
Jordan Goodwin,1630692,2025-04-03,LAL vs. GSW,L,14.0,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,0,2,0,0,1,0,0,GSW,HOME,Jordan Goodwin
Jordan Goodwin,1630692,2025-03-31,LAL vs. HOU,W,12.0,2,5,0.4,0,2,0.0,0,0,0.0,1,1,2,1,0,0,1,1,4,-4,HOU,HOME,Jordan Goodwin
Jordan Goodwin,1630692,2025-03-29,LAL @ MEM,W,8.0,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,4,MEM,AWAY,Jordan Goodwin
Jordan Goodwin,1630692,2025-03-27,LAL @ CHI,L,18.0,3,4,0.75,2,3,0.667,0,0,0.0,0,2,2,2,1,2,1,3,8,3,CHI,AWAY,Jordan Goodwin
