player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Jordan Walsh,1641775,2025-04-13,BOS vs. CHA,W,21.0,4,7,0.571,2,4,0.5,0,0,0.0,2,6,8,1,2,1,3,2,10,-1,CHA,HOME,Jordan Walsh
Jordan Walsh,1641775,2025-04-11,BOS vs. CHA,W,2.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4,CHA,HOME,Jordan Walsh
Jordan Walsh,1641775,2025-04-09,BOS @ ORL,L,9.0,0,3,0.0,0,2,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,-16,ORL,AWAY,Jordan Walsh
Jordan Walsh,1641775,2025-04-06,BOS vs. WAS,W,7.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,0,0,-1,WAS,HOME,Jordan Walsh
Jordan Walsh,1641775,2025-04-04,BOS vs. PHX,W,2.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-1,PHX,HOME,Jordan Walsh
Jordan Walsh,1641775,2025-04-02,BOS vs. MIA,L,5.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-6,MIA,HOME,Jordan Walsh
Jordan Walsh,1641775,2025-03-26,BOS @ PHX,W,6.0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,1,1,0,0,-3,PHX,AWAY,Jordan Walsh
Jordan Walsh,1641775,2025-03-24,BOS @ SAC,W,1.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,AWAY,Jordan Walsh
Jordan Walsh,1641775,2025-03-21,BOS @ UTA,W,2.0,2,2,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,4,2,UTA,AWAY,Jordan Walsh
Jordan Walsh,1641775,2025-03-14,BOS @ MIA,W,7.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-6,MIA,AWAY,Jordan Walsh
Jordan Walsh,1641775,2025-03-06,BOS vs. PHI,W,13.0,2,3,0.667,1,2,0.5,0,0,0.0,0,4,4,3,1,0,2,2,5,6,PHI,HOME,Jordan Walsh
