player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Julian Phillips,1641763,2025-04-13,CHI @ PHI,W,26.0,4,8,0.5,1,4,0.25,0,0,0.0,1,6,7,2,2,1,0,2,9,18,PHI,AWAY,Julian Phillips
Julian Phillips,1641763,2025-04-11,CHI vs. WAS,W,28.0,7,11,0.636,3,6,0.5,6,6,1.0,3,6,9,1,1,0,0,3,23,25,WAS,HOME,Julian Phillips
Julian Phillips,1641763,2025-04-09,CHI vs. MIA,W,7.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,MIA,HOME,Julian Phillips
Julian Phillips,1641763,2025-04-08,CHI @ CLE,L,19.0,3,6,0.5,1,2,0.5,0,0,0.0,1,1,2,1,0,1,1,2,7,-12,CLE,AWAY,Julian Phillips
Julian Phillips,1641763,2025-04-06,CHI @ CHA,W,11.0,1,4,0.25,0,3,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,7,CHA,AWAY,Julian Phillips
Julian Phillips,1641763,2025-04-04,CHI vs. POR,W,5.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,5,POR,HOME,Julian Phillips
Julian Phillips,1641763,2025-03-31,CHI @ OKC,L,18.0,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,1,1,5,-6,OKC,AWAY,Julian Phillips
Julian Phillips,1641763,2025-03-29,CHI vs. DAL,L,16.0,2,2,1.0,0,0,0.0,0,0,0.0,0,2,2,1,2,0,0,2,4,14,DAL,HOME,Julian Phillips
Julian Phillips,1641763,2025-03-27,CHI vs. LAL,W,7.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-6,LAL,HOME,Julian Phillips
Julian Phillips,1641763,2025-03-24,CHI @ DEN,W,9.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,10,DEN,AWAY,Julian Phillips
Julian Phillips,1641763,2025-03-22,CHI @ LAL,W,7.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,LAL,AWAY,Julian Phillips
Julian Phillips,1641763,2025-03-20,CHI @ SAC,W,27.0,1,8,0.125,0,5,0.0,0,0,0.0,1,5,6,0,1,0,0,2,2,18,SAC,AWAY,Julian Phillips
Julian Phillips,1641763,2025-03-19,CHI @ PHX,L,15.0,2,4,0.5,2,3,0.667,0,0,0.0,0,2,2,0,1,0,0,2,6,-6,PHX,AWAY,Julian Phillips
Julian Phillips,1641763,2025-03-17,CHI @ UTA,W,16.0,2,3,0.667,1,2,0.5,0,0,0.0,1,0,1,1,2,0,0,2,5,2,UTA,AWAY,Julian Phillips
Julian Phillips,1641763,2025-03-15,CHI @ HOU,L,19.0,2,6,0.333,1,2,0.5,3,3,1.0,1,0,1,1,2,0,0,2,8,11,HOU,AWAY,Julian Phillips
Julian Phillips,1641763,2025-03-13,CHI vs. BKN,W,34.0,5,10,0.5,2,5,0.4,4,4,1.0,4,3,7,5,1,1,0,2,16,19,BKN,HOME,Julian Phillips
Julian Phillips,1641763,2025-03-10,CHI vs. IND,W,17.0,3,5,0.6,1,1,1.0,2,2,1.0,3,1,4,1,0,1,0,1,9,0,IND,HOME,Julian Phillips
Julian Phillips,1641763,2025-03-08,CHI @ MIA,W,13.0,0,2,0.0,0,2,0.0,0,0,0.0,1,2,3,0,0,0,0,0,0,-10,MIA,AWAY,Julian Phillips
Julian Phillips,1641763,2025-03-06,CHI @ ORL,W,20.0,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,2,3,4,5,ORL,AWAY,Julian Phillips
Julian Phillips,1641763,2025-03-04,CHI vs. CLE,L,20.0,1,4,0.25,0,2,0.0,2,2,1.0,0,0,0,1,0,0,0,4,4,-1,CLE,HOME,Julian Phillips
Julian Phillips,1641763,2025-03-02,CHI @ IND,L,20.0,1,3,0.333,0,2,0.0,1,2,0.5,2,2,4,0,0,1,0,1,3,7,IND,AWAY,Julian Phillips
Julian Phillips,1641763,2025-02-28,CHI vs. TOR,W,8.0,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,3,-3,TOR,HOME,Julian Phillips
Julian Phillips,1641763,2025-02-26,CHI vs. LAC,L,16.0,1,4,0.25,0,2,0.0,0,0,0.0,0,2,2,0,0,0,2,0,2,-11,LAC,HOME,Julian Phillips
Julian Phillips,1641763,2025-02-24,CHI @ PHI,W,21.0,2,8,0.25,0,3,0.0,4,6,0.667,2,1,3,0,1,0,0,1,8,-4,PHI,AWAY,Julian Phillips
Julian Phillips,1641763,2025-02-22,CHI vs. PHX,L,24.0,3,7,0.429,3,6,0.5,0,0,0.0,1,2,3,1,2,1,0,6,9,0,PHX,HOME,Julian Phillips
Julian Phillips,1641763,2025-02-20,CHI @ NYK,L,23.0,3,5,0.6,2,3,0.667,4,4,1.0,2,4,6,0,1,0,0,1,12,7,NYK,AWAY,Julian Phillips
Julian Phillips,1641763,2025-02-12,CHI vs. DET,L,10.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,1,0,2,0,2,DET,HOME,Julian Phillips
Julian Phillips,1641763,2025-02-11,CHI vs. DET,L,13.0,2,4,0.5,1,3,0.333,2,3,0.667,0,1,1,0,0,0,0,0,7,-4,DET,HOME,Julian Phillips
Julian Phillips,1641763,2025-02-08,CHI vs. GSW,L,4.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,1,0,0,0,3,4,GSW,HOME,Julian Phillips
Julian Phillips,1641763,2025-02-05,CHI @ MIN,L,17.0,1,2,0.5,0,0,0.0,0,0,0.0,2,2,4,0,0,1,0,1,2,-4,MIN,AWAY,Julian Phillips
Julian Phillips,1641763,2025-02-04,CHI vs. MIA,W,6.0,1,1,1.0,0,0,0.0,3,3,1.0,0,0,0,0,0,0,0,3,5,-5,MIA,HOME,Julian Phillips
Julian Phillips,1641763,2025-02-02,CHI @ DET,L,8.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,0,0,5,DET,AWAY,Julian Phillips
Julian Phillips,1641763,2025-01-29,CHI @ BOS,L,11.0,2,5,0.4,1,4,0.25,0,0,0.0,0,0,0,0,0,0,0,1,5,2,BOS,AWAY,Julian Phillips
Julian Phillips,1641763,2025-01-27,CHI vs. DEN,W,6.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,2,0,0,0,2,3,-3,DEN,HOME,Julian Phillips
Julian Phillips,1641763,2025-01-25,CHI vs. PHI,L,7.0,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,0,2,1,PHI,HOME,Julian Phillips
Julian Phillips,1641763,2025-01-23,CHI @ GSW,L,14.0,1,2,0.5,0,0,0.0,1,1,1.0,0,2,2,0,0,0,0,1,3,-16,GSW,AWAY,Julian Phillips
Julian Phillips,1641763,2025-01-20,CHI @ LAC,W,14.0,1,4,0.25,1,2,0.5,1,2,0.5,3,3,6,0,0,1,1,1,4,14,LAC,AWAY,Julian Phillips
Julian Phillips,1641763,2025-01-19,CHI @ POR,L,5.0,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,2,2,-7,POR,AWAY,Julian Phillips
Julian Phillips,1641763,2025-01-17,CHI vs. CHA,L,18.0,1,6,0.167,0,1,0.0,4,4,1.0,4,0,4,0,0,0,1,3,6,-4,CHA,HOME,Julian Phillips
Julian Phillips,1641763,2025-01-15,CHI vs. ATL,L,14.0,4,5,0.8,0,1,0.0,2,2,1.0,2,2,4,0,0,0,1,0,10,0,ATL,HOME,Julian Phillips
Julian Phillips,1641763,2025-01-14,CHI vs. NOP,L,14.0,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,1,0,2,0,0,0,1,NOP,HOME,Julian Phillips
Julian Phillips,1641763,2025-01-12,CHI vs. SAC,L,13.0,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,4,-8,SAC,HOME,Julian Phillips
Julian Phillips,1641763,2025-01-10,CHI vs. WAS,W,13.0,1,3,0.333,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,10,WAS,HOME,Julian Phillips
Julian Phillips,1641763,2025-01-08,CHI @ IND,L,15.0,2,4,0.5,1,2,0.5,1,2,0.5,1,1,2,0,0,0,1,2,6,4,IND,AWAY,Julian Phillips
Julian Phillips,1641763,2025-01-06,CHI vs. SAS,W,9.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-4,SAS,HOME,Julian Phillips
Julian Phillips,1641763,2025-01-04,CHI vs. NYK,W,15.0,3,4,0.75,1,1,1.0,0,0,0.0,1,0,1,1,1,0,0,0,7,12,NYK,HOME,Julian Phillips
