player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Kelly Oubre Jr.,1626162,2025-03-12,PHI @ TOR,L,26.0,5,12,0.417,0,2,0.0,3,6,0.5,2,3,5,0,3,1,0,2,13,-17,TOR,AWAY,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-03-09,PHI vs. UTA,W,20.0,3,7,0.429,0,2,0.0,0,0,0.0,0,2,2,2,0,0,0,4,6,-7,UTA,HOME,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-03-06,PHI @ BOS,L,34.0,9,20,0.45,3,5,0.6,6,7,0.857,2,3,5,6,3,0,3,5,27,-19,BOS,AWAY,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-03-04,PHI @ MIN,L,40.0,11,19,0.579,1,4,0.25,1,3,0.333,1,2,3,2,1,1,3,2,24,-12,MIN,AWAY,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-03-01,PHI vs. GSW,W,42.0,6,13,0.462,3,6,0.5,5,7,0.714,1,1,2,1,1,1,2,2,20,1,GSW,HOME,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-02-26,PHI @ NYK,L,42.0,9,14,0.643,4,6,0.667,5,6,0.833,1,4,5,1,3,1,1,4,27,-9,NYK,AWAY,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-02-24,PHI vs. CHI,L,33.0,7,13,0.538,0,3,0.0,5,6,0.833,3,5,8,1,0,0,1,5,19,-34,CHI,HOME,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-02-22,PHI vs. BKN,L,38.0,7,16,0.438,0,3,0.0,0,0,0.0,3,2,5,1,0,0,2,5,14,0,BKN,HOME,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-02-20,PHI vs. BOS,L,35.0,6,14,0.429,1,6,0.167,3,3,1.0,1,3,4,0,3,0,3,5,16,-15,BOS,HOME,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-02-12,PHI @ BKN,L,39.0,10,16,0.625,2,3,0.667,8,8,1.0,0,3,3,0,2,0,1,3,30,-2,BKN,AWAY,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-02-11,PHI vs. TOR,L,39.0,6,12,0.5,0,2,0.0,0,0,0.0,1,6,7,3,2,1,2,3,12,-3,TOR,HOME,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-02-09,PHI @ MIL,L,36.0,5,11,0.455,0,3,0.0,0,0,0.0,2,3,5,1,3,1,1,3,10,10,MIL,AWAY,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-02-07,PHI @ DET,L,36.0,7,11,0.636,0,1,0.0,0,0,0.0,2,9,11,2,1,1,0,2,14,-9,DET,AWAY,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-02-05,PHI vs. MIA,L,40.0,6,16,0.375,1,5,0.2,2,4,0.5,3,8,11,0,2,1,0,2,15,-9,MIA,HOME,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-02-04,PHI vs. DAL,W,41.0,4,9,0.444,1,3,0.333,0,0,0.0,1,5,6,3,1,1,1,3,9,0,DAL,HOME,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-02-02,PHI vs. BOS,L,44.0,6,17,0.353,2,3,0.667,4,8,0.5,1,12,13,2,1,0,1,2,18,-6,BOS,HOME,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-01-31,PHI vs. DEN,L,41.0,9,16,0.563,2,4,0.5,7,7,1.0,3,4,7,5,1,1,3,4,27,-5,DEN,HOME,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-01-29,PHI vs. SAC,W,37.0,6,12,0.5,1,2,0.5,2,3,0.667,0,6,6,3,4,0,1,2,15,-2,SAC,HOME,Kelly Oubre Jr
Kelly Oubre Jr.,1626162,2025-01-28,PHI vs. LAL,W,39.0,8,18,0.444,0,5,0.0,4,4,1.0,2,6,8,5,0,0,2,0,20,7,LAL,HOME,Kelly Oubre Jr
