player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Keon Ellis,1631165,2025-04-13,SAC vs. PHX,W,29.0,4,8,0.5,1,5,0.2,0,0,0.0,0,2,2,3,1,2,0,2,9,9,PHX,HOME,Keon Ellis
Keon Ellis,1631165,2025-04-11,SAC vs. LAC,L,32.0,1,2,0.5,1,2,0.5,2,2,1.0,1,0,1,1,0,1,2,3,5,-8,LAC,HOME,Keon Ellis
Keon Ellis,1631165,2025-04-09,SAC vs. DEN,L,32.0,7,12,0.583,6,11,0.545,0,0,0.0,0,6,6,2,1,2,1,3,20,-13,DEN,HOME,Keon Ellis
Keon Ellis,1631165,2025-04-07,SAC @ DET,W,37.0,1,2,0.5,0,1,0.0,0,0,0.0,2,4,6,0,3,0,0,3,2,9,DET,AWAY,Keon Ellis
Keon Ellis,1631165,2025-04-06,SAC @ CLE,W,40.0,4,7,0.571,3,6,0.5,0,0,0.0,1,2,3,3,4,2,0,2,11,2,CLE,AWAY,Keon Ellis
Keon Ellis,1631165,2025-04-04,SAC @ CHA,W,23.0,1,2,0.5,1,2,0.5,0,0,0.0,1,1,2,0,0,1,0,3,3,10,CHA,AWAY,Keon Ellis
Keon Ellis,1631165,2025-04-02,SAC @ WAS,L,22.0,1,5,0.2,0,3,0.0,0,0,0.0,1,2,3,0,3,1,1,1,2,-4,WAS,AWAY,Keon Ellis
Keon Ellis,1631165,2025-03-31,SAC @ IND,L,27.0,3,4,0.75,2,3,0.667,1,2,0.5,0,3,3,4,1,0,0,2,9,-4,IND,AWAY,Keon Ellis
Keon Ellis,1631165,2025-03-29,SAC @ ORL,L,18.0,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,4,0,-3,ORL,AWAY,Keon Ellis
Keon Ellis,1631165,2025-03-27,SAC vs. POR,W,31.0,3,7,0.429,2,6,0.333,2,3,0.667,0,3,3,2,6,1,3,2,10,20,POR,HOME,Keon Ellis
Keon Ellis,1631165,2025-03-25,SAC vs. OKC,L,37.0,4,11,0.364,4,8,0.5,0,0,0.0,0,3,3,4,4,2,1,4,12,-10,OKC,HOME,Keon Ellis
