player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Kevin Love,201567,2025-03-21,MIA vs. HOU,L,6.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-4,HOU,HOME,Kevin Love
Kevin Love,201567,2025-03-07,MIA vs. MIN,L,10.0,2,4,0.5,2,3,0.667,0,0,0.0,1,1,2,1,0,0,0,1,6,-11,MIN,HOME,Kevin Love
Kevin Love,201567,2025-03-05,MIA @ CLE,L,16.0,3,8,0.375,1,4,0.25,3,4,0.75,3,3,6,1,1,2,1,2,10,-3,CLE,AWAY,Kevin Love
Kevin Love,201567,2025-03-03,MIA vs. WAS,W,12.0,1,4,0.25,0,2,0.0,0,0,0.0,1,8,9,1,0,0,0,0,2,-4,WAS,HOME,Kevin Love
Kevin Love,201567,2025-02-05,MIA @ PHI,W,7.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-1,PHI,AWAY,Kevin Love
Kevin Love,201567,2025-01-27,MIA vs. ORL,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,ORL,HOME,Kevin Love
Kevin Love,201567,2025-01-13,MIA @ LAC,L,15.0,3,8,0.375,3,8,0.375,0,0,0.0,0,3,3,0,1,0,0,2,9,3,LAC,AWAY,Kevin Love
Kevin Love,201567,2024-12-29,MIA @ HOU,W,14.0,1,7,0.143,0,1,0.0,3,4,0.75,3,3,6,1,0,0,1,1,5,-13,HOU,AWAY,Kevin Love
Kevin Love,201567,2024-12-20,MIA vs. OKC,L,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-8,OKC,HOME,Kevin Love
Kevin Love,201567,2024-12-16,MIA @ DET,L,12.0,2,5,0.4,0,2,0.0,0,0,0.0,0,5,5,1,0,0,2,2,4,9,DET,AWAY,Kevin Love
Kevin Love,201567,2024-12-12,MIA vs. TOR,W,9.0,2,4,0.5,1,2,0.5,1,2,0.5,1,2,3,1,0,0,1,1,6,3,TOR,HOME,Kevin Love
Kevin Love,201567,2024-12-08,MIA vs. CLE,W,5.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-11,CLE,HOME,Kevin Love
Kevin Love,201567,2024-12-07,MIA vs. PHX,W,14.0,3,10,0.3,2,6,0.333,3,4,0.75,1,3,4,2,0,0,1,0,11,-12,PHX,HOME,Kevin Love
Kevin Love,201567,2024-12-04,MIA vs. LAL,W,15.0,4,7,0.571,2,5,0.4,0,0,0.0,1,3,4,5,1,1,1,2,10,11,LAL,HOME,Kevin Love
Kevin Love,201567,2024-12-01,MIA @ TOR,L,10.0,1,5,0.2,0,2,0.0,3,4,0.75,4,1,5,1,0,0,0,4,5,-17,TOR,AWAY,Kevin Love
Kevin Love,201567,2024-11-29,MIA vs. TOR,W,13.0,3,6,0.5,2,4,0.5,0,0,0.0,0,2,2,2,2,0,2,0,8,10,TOR,HOME,Kevin Love
Kevin Love,201567,2024-11-26,MIA vs. MIL,L,7.0,0,5,0.0,0,2,0.0,2,2,1.0,1,3,4,0,1,0,0,0,2,0,MIL,HOME,Kevin Love
Kevin Love,201567,2024-11-24,MIA vs. DAL,W,19.0,3,10,0.3,3,7,0.429,0,2,0.0,2,9,11,1,1,1,2,2,9,10,DAL,HOME,Kevin Love
Kevin Love,201567,2024-11-18,MIA vs. PHI,W,15.0,1,6,0.167,1,3,0.333,0,0,0.0,1,6,7,1,2,0,1,0,3,6,PHI,HOME,Kevin Love
Kevin Love,201567,2024-11-17,MIA @ IND,L,12.0,3,6,0.5,2,3,0.667,0,0,0.0,0,6,6,0,0,0,1,0,8,-12,IND,AWAY,Kevin Love
Kevin Love,201567,2024-11-15,MIA @ IND,W,12.0,6,8,0.75,3,4,0.75,0,0,0.0,1,6,7,2,4,0,0,2,15,16,IND,AWAY,Kevin Love
Kevin Love,201567,2024-11-12,MIA @ DET,L,10.0,1,4,0.25,1,4,0.25,0,0,0.0,0,2,2,0,0,0,0,0,3,-6,DET,AWAY,Kevin Love
Kevin Love,201567,2024-11-10,MIA @ MIN,W,13.0,2,7,0.286,1,4,0.25,1,1,1.0,2,4,6,2,2,0,0,0,6,10,MIN,AWAY,Kevin Love
