player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Kyle Kuzma,1628398,2025-04-13,MIL vs. DET,W,12.0,8,10,0.8,5,7,0.714,1,1,1.0,0,2,2,2,0,0,1,0,22,18,DET,HOME,Kyle Kuzma
Kyle Kuzma,1628398,2025-04-11,MIL @ DET,W,23.0,3,7,0.429,3,5,0.6,1,2,0.5,0,1,1,1,0,1,0,1,10,-5,DET,AWAY,Kyle Kuzma
Kyle Kuzma,1628398,2025-04-10,MIL vs. NOP,W,28.0,7,11,0.636,3,6,0.5,0,1,0.0,3,0,3,1,2,0,3,2,17,20,NOP,HOME,Kyle Kuzma
Kyle Kuzma,1628398,2025-04-08,MIL vs. MIN,W,25.0,4,8,0.5,0,2,0.0,2,2,1.0,1,3,4,0,0,0,3,2,10,-15,MIN,HOME,Kyle Kuzma
Kyle Kuzma,1628398,2025-04-06,MIL @ NOP,W,30.0,8,13,0.615,0,1,0.0,1,2,0.5,0,4,4,4,1,0,4,2,17,-5,NOP,AWAY,Kyle Kuzma
Kyle Kuzma,1628398,2025-04-05,MIL @ MIA,W,26.0,4,13,0.308,1,6,0.167,0,0,0.0,1,1,2,2,1,0,1,1,9,-15,MIA,AWAY,Kyle Kuzma
Kyle Kuzma,1628398,2025-04-03,MIL @ PHI,W,32.0,6,10,0.6,2,4,0.5,2,6,0.333,0,4,4,3,1,3,3,3,16,-9,PHI,AWAY,Kyle Kuzma
Kyle Kuzma,1628398,2025-04-01,MIL vs. PHX,W,37.0,5,10,0.5,2,5,0.4,0,0,0.0,2,2,4,5,0,2,4,5,12,26,PHX,HOME,Kyle Kuzma
Kyle Kuzma,1628398,2025-03-30,MIL vs. ATL,L,35.0,8,17,0.471,4,9,0.444,5,6,0.833,1,5,6,1,0,0,1,3,25,-26,ATL,HOME,Kyle Kuzma
Kyle Kuzma,1628398,2025-03-28,MIL vs. NYK,L,38.0,8,16,0.5,1,5,0.2,3,4,0.75,0,5,5,3,1,0,4,1,20,-2,NYK,HOME,Kyle Kuzma
Kyle Kuzma,1628398,2025-03-26,MIL @ DEN,L,36.0,3,10,0.3,0,1,0.0,4,6,0.667,2,5,7,4,0,2,3,2,10,-16,DEN,AWAY,Kyle Kuzma
