player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Kyle Lowry,200768,2025-04-07,PHI @ MIA,L,20.0,2,5,0.4,1,4,0.25,0,0,0.0,0,1,1,1,0,0,0,1,5,-6,MIA,AWAY,Kyle Lowry
Kyle Lowry,200768,2025-04-01,PHI @ NYK,L,16.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,2,2,1,1,0,0,-9,NYK,AWAY,Kyle Lowry
Kyle Lowry,200768,2025-02-09,PHI @ MIL,L,6.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,-4,MIL,AWAY,Kyle Lowry
Kyle Lowry,200768,2025-02-07,PHI @ DET,L,15.0,0,1,0.0,0,0,0.0,2,2,1.0,1,1,2,3,0,1,0,1,2,-2,DET,AWAY,Kyle Lowry
Kyle Lowry,200768,2025-02-05,PHI vs. MIA,L,14.0,1,5,0.2,0,3,0.0,1,2,0.5,0,2,2,4,0,0,0,2,3,4,MIA,HOME,Kyle Lowry
Kyle Lowry,200768,2025-02-02,PHI vs. BOS,L,15.0,2,4,0.5,2,4,0.5,0,0,0.0,0,3,3,2,1,0,0,3,6,-10,BOS,HOME,Kyle Lowry
Kyle Lowry,200768,2025-01-31,PHI vs. DEN,L,20.0,1,3,0.333,1,3,0.333,0,0,0.0,0,1,1,4,1,0,0,1,3,0,DEN,HOME,Kyle Lowry
Kyle Lowry,200768,2025-01-29,PHI vs. SAC,W,26.0,3,5,0.6,3,4,0.75,4,4,1.0,1,4,5,8,0,0,0,4,13,27,SAC,HOME,Kyle Lowry
Kyle Lowry,200768,2025-01-28,PHI vs. LAL,W,16.0,0,2,0.0,0,1,0.0,0,0,0.0,1,3,4,1,2,0,1,1,0,12,LAL,HOME,Kyle Lowry
Kyle Lowry,200768,2025-01-25,PHI @ CHI,W,15.0,1,4,0.25,0,3,0.0,0,0,0.0,0,1,1,2,2,1,1,2,2,-2,CHI,AWAY,Kyle Lowry
Kyle Lowry,200768,2025-01-04,PHI @ BKN,W,24.0,2,2,1.0,1,1,1.0,0,0,0.0,1,3,4,4,2,0,1,2,5,15,BKN,AWAY,Kyle Lowry
