player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Lester Quinones,1631311,2025-04-13,NOP vs. OKC,L,34.0,5,15,0.333,2,9,0.222,5,5,1.0,0,5,5,6,0,0,0,4,17,-6,OKC,HOME,Lester Quinones
Lester Quinones,1631311,2025-04-11,NOP vs. MIA,L,29.0,3,9,0.333,2,6,0.333,1,2,0.5,0,1,1,3,1,1,2,2,9,-6,MIA,HOME,Lester Quinones
Lester Quinones,1631311,2025-04-10,NOP @ MIL,L,32.0,8,22,0.364,2,11,0.182,3,4,0.75,1,4,5,6,1,0,4,5,21,-22,MIL,AWAY,Lester Quinones
Lester Quinones,1631311,2025-04-08,NOP @ BKN,L,20.0,1,6,0.167,1,5,0.2,0,0,0.0,0,2,2,3,0,0,1,3,3,7,BKN,AWAY,Lester Quinones
Lester Quinones,1631311,2025-04-06,NOP vs. MIL,L,25.0,6,10,0.6,4,5,0.8,1,1,1.0,0,1,1,3,0,0,2,2,17,-2,MIL,HOME,Lester Quinones
Lester Quinones,1631311,2025-04-04,NOP @ LAL,L,3.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1,LAL,AWAY,Lester Quinones
Lester Quinones,1631311,2025-04-02,NOP @ LAC,L,3.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,2,LAC,AWAY,Lester Quinones
Lester Quinones,1631311,2025-03-30,NOP vs. CHA,W,12.0,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,1,5,2,CHA,HOME,Lester Quinones
Lester Quinones,1631311,2025-03-24,NOP vs. PHI,W,11.0,2,3,0.667,1,1,1.0,0,0,0.0,0,0,0,0,1,0,1,1,5,2,PHI,HOME,Lester Quinones
Lester Quinones,1631311,2024-11-30,PHI @ DET,W,3.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,3,0,0,-6,DET,AWAY,Lester Quinones
Lester Quinones,1631311,2024-11-24,PHI vs. LAC,L,9.0,3,5,0.6,0,1,0.0,0,0,0.0,1,0,1,0,0,0,1,0,6,-5,LAC,HOME,Lester Quinones
Lester Quinones,1631311,2024-11-08,PHI @ LAL,L,2.0,1,1,1.0,0,0,0.0,1,1,1.0,1,1,2,0,0,0,0,0,3,4,LAL,AWAY,Lester Quinones
Lester Quinones,1631311,2024-10-23,PHI vs. MIL,L,3.0,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,3,MIL,HOME,Lester Quinones
