player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Marcus Sasser,1631204,2025-04-13,DET @ MIL,L,43.0,7,19,0.368,1,6,0.167,3,3,1.0,0,1,1,10,2,0,3,1,18,-11,MIL,AWAY,Marcus Sasser
Marcus Sasser,1631204,2025-04-07,DET vs. SAC,L,10.0,3,5,0.6,1,2,0.5,1,1,1.0,1,0,1,3,0,0,0,3,8,8,SAC,HOME,Marcus Sasser
Marcus Sasser,1631204,2025-04-05,DET vs. MEM,L,15.0,3,8,0.375,1,3,0.333,0,0,0.0,0,1,1,2,2,0,0,1,7,-5,MEM,HOME,Marcus Sasser
Marcus Sasser,1631204,2025-04-04,DET @ TOR,W,20.0,3,6,0.5,1,3,0.333,3,4,0.75,1,3,4,1,1,0,4,3,10,-2,TOR,AWAY,Marcus Sasser
Marcus Sasser,1631204,2025-03-30,DET @ MIN,L,6.0,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,3,0,0,1,0,3,-1,MIN,AWAY,Marcus Sasser
Marcus Sasser,1631204,2025-03-28,DET vs. CLE,W,19.0,1,9,0.111,1,5,0.2,1,2,0.5,0,1,1,4,1,0,2,1,4,-3,CLE,HOME,Marcus Sasser
Marcus Sasser,1631204,2025-03-25,DET vs. SAS,W,26.0,9,12,0.75,5,7,0.714,4,5,0.8,1,3,4,1,1,0,3,1,27,21,SAS,HOME,Marcus Sasser
Marcus Sasser,1631204,2025-03-23,DET vs. NOP,W,26.0,6,9,0.667,3,4,0.75,5,5,1.0,0,1,1,2,1,0,0,1,20,18,NOP,HOME,Marcus Sasser
Marcus Sasser,1631204,2025-03-17,DET @ NOP,W,7.0,1,3,0.333,1,3,0.333,0,0,0.0,1,1,2,1,0,0,0,0,3,15,NOP,AWAY,Marcus Sasser
Marcus Sasser,1631204,2025-03-11,DET vs. WAS,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,3,WAS,HOME,Marcus Sasser
Marcus Sasser,1631204,2025-03-03,DET @ UTA,W,8.0,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,3,1,0,1,1,5,5,UTA,AWAY,Marcus Sasser
Marcus Sasser,1631204,2025-03-01,DET vs. BKN,W,4.0,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,1,0,0,0,2,2,0,BKN,HOME,Marcus Sasser
Marcus Sasser,1631204,2025-02-28,DET vs. DEN,L,4.0,2,3,0.667,1,2,0.5,1,1,1.0,0,0,0,2,0,0,0,0,6,7,DEN,HOME,Marcus Sasser
