player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Marcus Smart,203935,2025-04-03,WAS vs. ORL,L,25.0,4,7,0.571,2,4,0.5,2,2,1.0,0,3,3,0,0,0,1,0,12,10,ORL,HOME,Marcus Smart
Marcus Smart,203935,2025-03-31,WAS vs. MIA,L,20.0,1,5,0.2,0,1,0.0,2,4,0.5,0,1,1,2,1,0,1,2,4,-9,MIA,HOME,Marcus Smart
Marcus Smart,203935,2025-03-29,WAS vs. BKN,L,7.0,1,3,0.333,0,0,0.0,1,1,1.0,0,1,1,2,1,0,0,0,3,2,BKN,HOME,Marcus Smart
Marcus Smart,203935,2025-03-24,WAS vs. TOR,L,12.0,2,4,0.5,1,2,0.5,1,2,0.5,0,2,2,1,2,0,2,1,6,-8,TOR,HOME,Marcus Smart
Marcus Smart,203935,2025-03-22,WAS @ NYK,L,24.0,6,11,0.545,4,7,0.571,1,3,0.333,1,3,4,3,2,1,2,1,17,3,NYK,AWAY,Marcus Smart
Marcus Smart,203935,2025-03-19,WAS @ UTA,L,14.0,0,6,0.0,0,4,0.0,0,0,0.0,0,0,0,4,1,1,1,0,0,-11,UTA,AWAY,Marcus Smart
Marcus Smart,203935,2025-03-13,WAS @ DET,W,24.0,5,13,0.385,3,6,0.5,2,4,0.5,0,4,4,7,1,0,1,3,15,-7,DET,AWAY,Marcus Smart
Marcus Smart,203935,2025-03-11,WAS @ DET,L,21.0,6,10,0.6,2,3,0.667,2,3,0.667,1,1,2,2,0,1,1,1,16,3,DET,AWAY,Marcus Smart
Marcus Smart,203935,2025-03-08,WAS @ TOR,W,18.0,2,7,0.286,0,2,0.0,5,6,0.833,1,0,1,4,1,0,0,2,9,2,TOR,AWAY,Marcus Smart
Marcus Smart,203935,2025-03-05,WAS vs. UTA,W,18.0,4,9,0.444,3,7,0.429,2,2,1.0,0,4,4,5,0,0,0,1,13,-5,UTA,HOME,Marcus Smart
Marcus Smart,203935,2025-03-03,WAS @ MIA,L,19.0,2,7,0.286,1,4,0.25,3,4,0.75,0,1,1,1,1,0,3,3,8,-20,MIA,AWAY,Marcus Smart
Marcus Smart,203935,2025-03-01,WAS @ CHA,W,20.0,5,9,0.556,2,5,0.4,0,0,0.0,1,1,2,1,2,0,2,2,12,2,CHA,AWAY,Marcus Smart
Marcus Smart,203935,2025-02-26,WAS vs. POR,L,20.0,4,9,0.444,1,4,0.25,1,2,0.5,0,2,2,3,1,0,2,4,10,-8,POR,HOME,Marcus Smart
Marcus Smart,203935,2025-02-24,WAS vs. BKN,W,22.0,4,6,0.667,0,1,0.0,2,2,1.0,0,1,1,2,1,0,2,2,10,1,BKN,HOME,Marcus Smart
Marcus Smart,203935,2025-02-21,WAS vs. MIL,L,17.0,2,3,0.667,1,1,1.0,0,0,0.0,0,1,1,1,2,0,1,0,5,0,MIL,HOME,Marcus Smart
Marcus Smart,203935,2025-02-05,MEM @ TOR,W,18.0,0,6,0.0,0,3,0.0,0,0,0.0,0,1,1,2,0,0,1,1,0,5,TOR,AWAY,Marcus Smart
Marcus Smart,203935,2024-12-21,MEM @ ATL,W,9.0,3,5,0.6,2,4,0.5,1,1,1.0,0,0,0,2,1,0,0,1,9,14,ATL,AWAY,Marcus Smart
Marcus Smart,203935,2024-12-15,MEM @ LAL,L,29.0,3,11,0.273,1,4,0.25,0,0,0.0,1,2,3,3,0,0,1,2,7,0,LAL,AWAY,Marcus Smart
Marcus Smart,203935,2024-12-13,MEM vs. BKN,W,23.0,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,3,0,0,1,1,5,-4,BKN,HOME,Marcus Smart
Marcus Smart,203935,2024-12-08,MEM @ WAS,W,21.0,5,8,0.625,3,6,0.5,0,0,0.0,0,3,3,1,1,0,3,2,13,29,WAS,AWAY,Marcus Smart
