player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Matisse Thybulle,1629680,2025-04-13,POR vs. LAL,W,29.0,5,11,0.455,3,5,0.6,2,7,0.286,4,1,5,2,2,1,1,2,15,27,LAL,HOME,Matisse Thybulle
Matisse Thybulle,1629680,2025-04-11,POR vs. GSW,L,22.0,3,6,0.5,2,5,0.4,3,4,0.75,1,3,4,0,3,2,2,1,11,-19,GSW,HOME,Matisse Thybulle
Matisse Thybulle,1629680,2025-04-09,POR @ UTA,L,38.0,5,6,0.833,2,3,0.667,0,0,0.0,0,4,4,6,2,0,2,3,12,-14,UTA,AWAY,Matisse Thybulle
Matisse Thybulle,1629680,2025-04-06,POR vs. SAS,W,21.0,2,6,0.333,2,4,0.5,0,0,0.0,0,4,4,2,1,0,1,3,6,-1,SAS,HOME,Matisse Thybulle
Matisse Thybulle,1629680,2025-04-04,POR @ CHI,L,27.0,3,8,0.375,1,3,0.333,0,0,0.0,1,3,4,2,1,1,0,0,7,-5,CHI,AWAY,Matisse Thybulle
Matisse Thybulle,1629680,2025-04-03,POR @ TOR,W,25.0,2,4,0.5,1,1,1.0,0,0,0.0,1,2,3,1,3,1,0,1,5,14,TOR,AWAY,Matisse Thybulle
Matisse Thybulle,1629680,2025-04-01,POR @ ATL,W,29.0,4,10,0.4,0,4,0.0,0,0,0.0,2,2,4,5,5,0,2,1,8,8,ATL,AWAY,Matisse Thybulle
Matisse Thybulle,1629680,2025-03-30,POR @ NYK,L,12.0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,1,2,0,0,-22,NYK,AWAY,Matisse Thybulle
Matisse Thybulle,1629680,2025-03-27,POR @ SAC,L,18.0,2,7,0.286,1,5,0.2,1,2,0.5,0,2,2,4,3,0,2,2,6,-5,SAC,AWAY,Matisse Thybulle
Matisse Thybulle,1629680,2025-03-25,POR vs. CLE,L,15.0,5,6,0.833,5,6,0.833,0,0,0.0,1,2,3,1,1,0,1,0,15,-6,CLE,HOME,Matisse Thybulle
Matisse Thybulle,1629680,2025-03-23,POR vs. BOS,L,19.0,5,7,0.714,2,4,0.5,0,0,0.0,1,2,3,0,2,1,0,0,12,-4,BOS,HOME,Matisse Thybulle
Matisse Thybulle,1629680,2025-03-21,POR vs. DEN,W,17.0,1,3,0.333,1,1,1.0,0,0,0.0,0,3,3,1,1,0,0,1,3,7,DEN,HOME,Matisse Thybulle
Matisse Thybulle,1629680,2025-03-19,POR vs. MEM,W,11.0,1,3,0.333,0,1,0.0,1,2,0.5,2,4,6,1,1,0,0,0,3,0,MEM,HOME,Matisse Thybulle
Matisse Thybulle,1629680,2025-03-17,POR vs. WAS,W,22.0,4,9,0.444,1,5,0.2,0,0,0.0,1,3,4,3,5,1,0,0,9,14,WAS,HOME,Matisse Thybulle
Matisse Thybulle,1629680,2025-03-16,POR vs. TOR,W,6.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,2,1,0,0,0,7,TOR,HOME,Matisse Thybulle
