player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Miles McBride,1630540,2025-04-13,NYK @ BKN,W,30.0,6,14,0.429,3,9,0.333,2,2,1.0,0,4,4,8,3,0,2,3,17,10,BKN,AWAY,Miles Mcbride
Miles McBride,1630540,2025-04-11,NYK vs. CLE,L,18.0,4,8,0.5,3,5,0.6,1,2,0.5,0,1,1,1,1,0,0,3,12,13,CLE,HOME,Miles Mcbride
Miles McBride,1630540,2025-04-10,NYK @ DET,L,39.0,5,18,0.278,2,10,0.2,0,0,0.0,0,2,2,6,4,0,0,1,12,-15,DET,AWAY,Miles Mcbride
Miles McBride,1630540,2025-04-08,NYK vs. BOS,L,21.0,2,5,0.4,1,4,0.25,0,0,0.0,3,2,5,1,1,0,0,3,5,3,BOS,HOME,Miles Mcbride
Miles McBride,1630540,2025-04-06,NYK vs. PHX,W,16.0,3,6,0.5,2,4,0.5,0,0,0.0,0,0,0,2,2,0,0,2,8,4,PHX,HOME,Miles Mcbride
Miles McBride,1630540,2025-03-20,NYK @ CHA,L,36.0,4,10,0.4,1,6,0.167,0,0,0.0,0,3,3,6,0,1,0,4,9,-11,CHA,AWAY,Miles Mcbride
Miles McBride,1630540,2025-03-19,NYK @ SAS,L,31.0,4,14,0.286,3,8,0.375,0,0,0.0,1,2,3,5,0,0,1,3,11,-12,SAS,AWAY,Miles Mcbride
Miles McBride,1630540,2025-03-17,NYK vs. MIA,W,29.0,4,12,0.333,2,4,0.5,0,0,0.0,1,1,2,3,2,0,0,1,10,9,MIA,HOME,Miles Mcbride
Miles McBride,1630540,2025-03-15,NYK @ GSW,L,38.0,8,17,0.471,3,6,0.5,0,0,0.0,1,4,5,4,0,1,2,3,19,3,GSW,AWAY,Miles Mcbride
Miles McBride,1630540,2025-03-12,NYK @ POR,W,38.0,4,12,0.333,3,7,0.429,0,0,0.0,0,1,1,5,4,2,2,3,11,-2,POR,AWAY,Miles Mcbride
Miles McBride,1630540,2025-03-10,NYK @ SAC,W,32.0,7,11,0.636,4,5,0.8,3,5,0.6,0,3,3,7,2,0,0,3,21,32,SAC,AWAY,Miles Mcbride
Miles McBride,1630540,2025-03-07,NYK @ LAC,L,34.0,2,13,0.154,2,9,0.222,1,2,0.5,0,2,2,6,1,0,1,3,7,-10,LAC,AWAY,Miles Mcbride
Miles McBride,1630540,2025-03-06,NYK @ LAL,L,21.0,0,6,0.0,0,4,0.0,0,0,0.0,2,3,5,2,1,1,1,2,0,4,LAL,AWAY,Miles Mcbride
Miles McBride,1630540,2025-03-04,NYK vs. GSW,L,24.0,2,7,0.286,0,2,0.0,2,2,1.0,2,2,4,5,1,0,0,2,6,8,GSW,HOME,Miles Mcbride
Miles McBride,1630540,2025-03-02,NYK @ MIA,W,30.0,4,10,0.4,3,7,0.429,1,2,0.5,0,2,2,2,0,0,1,2,12,11,MIA,AWAY,Miles Mcbride
Miles McBride,1630540,2025-02-28,NYK @ MEM,W,28.0,7,11,0.636,3,5,0.6,0,0,0.0,2,2,4,3,2,0,0,0,17,9,MEM,AWAY,Miles Mcbride
Miles McBride,1630540,2025-02-26,NYK vs. PHI,W,17.0,3,4,0.75,0,1,0.0,0,0,0.0,0,2,2,1,0,1,0,4,6,-3,PHI,HOME,Miles Mcbride
Miles McBride,1630540,2025-02-23,NYK @ BOS,L,27.0,1,7,0.143,0,4,0.0,0,0,0.0,0,2,2,2,1,1,0,1,2,-4,BOS,AWAY,Miles Mcbride
Miles McBride,1630540,2025-02-21,NYK @ CLE,L,21.0,2,5,0.4,1,3,0.333,0,0,0.0,0,3,3,0,0,0,1,0,5,-20,CLE,AWAY,Miles Mcbride
Miles McBride,1630540,2025-02-20,NYK vs. CHI,W,42.0,9,19,0.474,5,12,0.417,0,0,0.0,3,3,6,3,3,3,0,1,23,-2,CHI,HOME,Miles Mcbride
Miles McBride,1630540,2025-02-12,NYK vs. ATL,W,8.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,1,ATL,HOME,Miles Mcbride
Miles McBride,1630540,2025-02-11,NYK @ IND,W,25.0,4,7,0.571,4,4,1.0,3,3,1.0,0,3,3,1,0,0,1,2,15,25,IND,AWAY,Miles Mcbride
Miles McBride,1630540,2025-02-08,NYK vs. BOS,L,35.0,1,8,0.125,1,5,0.2,5,5,1.0,0,1,1,1,4,0,0,2,8,-10,BOS,HOME,Miles Mcbride
Miles McBride,1630540,2025-02-04,NYK @ TOR,W,21.0,2,5,0.4,0,1,0.0,0,0,0.0,0,0,0,1,2,0,0,0,4,0,TOR,AWAY,Miles Mcbride
Miles McBride,1630540,2025-02-03,NYK vs. HOU,W,26.0,3,7,0.429,1,4,0.25,0,0,0.0,0,1,1,1,1,0,1,1,7,-2,HOU,HOME,Miles Mcbride
Miles McBride,1630540,2025-02-01,NYK vs. LAL,L,23.0,4,9,0.444,3,7,0.429,1,1,1.0,1,2,3,1,1,0,0,1,12,-6,LAL,HOME,Miles Mcbride
Miles McBride,1630540,2025-01-29,NYK vs. DEN,W,22.0,5,9,0.556,2,5,0.4,0,0,0.0,0,2,2,4,0,0,0,0,12,9,DEN,HOME,Miles Mcbride
Miles McBride,1630540,2025-01-27,NYK vs. MEM,W,24.0,6,13,0.462,2,7,0.286,0,0,0.0,2,2,4,4,3,1,0,3,14,8,MEM,HOME,Miles Mcbride
Miles McBride,1630540,2025-01-25,NYK vs. SAC,W,17.0,1,8,0.125,0,4,0.0,2,2,1.0,0,1,1,1,0,0,1,1,4,16,SAC,HOME,Miles Mcbride
Miles McBride,1630540,2025-01-21,NYK @ BKN,W,18.0,3,6,0.5,1,3,0.333,0,0,0.0,0,1,1,1,0,0,0,1,7,-6,BKN,AWAY,Miles Mcbride
