player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Monte Morris,1628420,2025-04-13,PHX @ SAC,L,21.0,3,7,0.429,2,4,0.5,0,0,0.0,1,2,3,2,0,0,0,2,8,-14,SAC,AWAY,Monte Morris
Monte Morris,1628420,2025-04-08,PHX vs. GSW,L,7.0,3,3,1.0,1,1,1.0,0,0,0.0,0,2,2,2,0,0,2,0,7,-2,GSW,HOME,Monte Morris
Monte Morris,1628420,2025-03-30,PHX vs. HOU,L,10.0,4,6,0.667,2,2,1.0,0,0,0.0,0,2,2,2,1,0,1,0,10,-4,HOU,HOME,Monte Morris
Monte Morris,1628420,2025-03-26,PHX vs. BOS,L,6.0,0,3,0.0,0,2,0.0,2,2,1.0,1,1,2,1,1,0,1,0,2,3,BOS,HOME,Monte Morris
Monte Morris,1628420,2025-03-17,PHX vs. TOR,W,6.0,4,5,0.8,4,4,1.0,0,0,0.0,0,1,1,0,1,0,0,0,12,8,TOR,HOME,Monte Morris
Monte Morris,1628420,2025-02-08,PHX vs. DEN,L,14.0,0,5,0.0,0,2,0.0,0,0,0.0,0,2,2,1,1,0,1,1,0,-6,DEN,HOME,Monte Morris
Monte Morris,1628420,2025-02-07,PHX vs. UTA,W,15.0,2,5,0.4,1,2,0.5,0,0,0.0,0,0,0,2,0,0,0,0,5,5,UTA,HOME,Monte Morris
Monte Morris,1628420,2025-02-01,PHX @ POR,L,5.0,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,0,3,1,POR,AWAY,Monte Morris
Monte Morris,1628420,2025-01-31,PHX @ GSW,W,5.0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,-2,GSW,AWAY,Monte Morris
Monte Morris,1628420,2025-01-22,PHX @ BKN,W,18.0,3,7,0.429,1,4,0.25,0,0,0.0,0,2,2,2,0,0,0,0,7,4,BKN,AWAY,Monte Morris
Monte Morris,1628420,2025-01-20,PHX @ CLE,L,8.0,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,4,3,CLE,AWAY,Monte Morris
Monte Morris,1628420,2025-01-18,PHX @ DET,W,7.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7,DET,AWAY,Monte Morris
Monte Morris,1628420,2025-01-16,PHX @ WAS,W,15.0,2,4,0.5,0,0,0.0,0,0,0.0,1,1,2,7,0,0,2,0,4,-11,WAS,AWAY,Monte Morris
Monte Morris,1628420,2025-01-11,PHX vs. UTA,W,4.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,UTA,HOME,Monte Morris
Monte Morris,1628420,2025-01-09,PHX vs. ATL,W,7.0,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,1,0,4,ATL,HOME,Monte Morris
Monte Morris,1628420,2025-01-07,PHX @ CHA,L,15.0,1,5,0.2,0,2,0.0,0,0,0.0,0,5,5,0,0,0,0,0,2,-6,CHA,AWAY,Monte Morris
Monte Morris,1628420,2025-01-06,PHX @ PHI,W,22.0,2,4,0.5,1,1,1.0,2,2,1.0,0,0,0,2,0,0,0,2,7,11,PHI,AWAY,Monte Morris
Monte Morris,1628420,2025-01-04,PHX @ IND,L,22.0,3,5,0.6,2,4,0.5,4,4,1.0,0,0,0,0,0,0,1,0,12,-1,IND,AWAY,Monte Morris
Monte Morris,1628420,2024-12-31,PHX vs. MEM,L,20.0,5,8,0.625,0,1,0.0,2,3,0.667,1,2,3,2,1,0,1,2,12,5,MEM,HOME,Monte Morris
Monte Morris,1628420,2024-12-28,PHX @ GSW,L,16.0,3,6,0.5,0,2,0.0,2,2,1.0,0,1,1,2,1,0,0,0,8,9,GSW,AWAY,Monte Morris
Monte Morris,1628420,2024-12-27,PHX vs. DAL,L,18.0,0,4,0.0,0,2,0.0,0,0,0.0,0,3,3,2,0,0,0,1,0,2,DAL,HOME,Monte Morris
Monte Morris,1628420,2024-12-25,PHX vs. DEN,W,18.0,3,8,0.375,1,5,0.2,4,4,1.0,1,1,2,3,2,0,0,0,11,8,DEN,HOME,Monte Morris
Monte Morris,1628420,2024-12-23,PHX @ DEN,L,20.0,3,10,0.3,1,3,0.333,0,0,0.0,0,4,4,3,1,0,0,0,7,4,DEN,AWAY,Monte Morris
Monte Morris,1628420,2024-12-21,PHX vs. DET,L,15.0,1,3,0.333,0,1,0.0,2,2,1.0,0,0,0,3,0,0,2,0,4,5,DET,HOME,Monte Morris
Monte Morris,1628420,2024-12-19,PHX vs. IND,L,13.0,0,2,0.0,0,1,0.0,3,5,0.6,0,0,0,2,0,0,1,3,3,-4,IND,HOME,Monte Morris
Monte Morris,1628420,2024-12-15,PHX vs. POR,W,16.0,2,5,0.4,0,1,0.0,0,0,0.0,2,2,4,1,1,0,0,0,4,11,POR,HOME,Monte Morris
Monte Morris,1628420,2024-12-13,PHX @ UTA,W,16.0,0,3,0.0,0,1,0.0,1,2,0.5,0,1,1,1,1,0,1,0,1,-4,UTA,AWAY,Monte Morris
Monte Morris,1628420,2024-12-08,PHX @ ORL,L,14.0,2,8,0.25,0,5,0.0,0,0,0.0,1,0,1,2,0,0,2,1,4,-3,ORL,AWAY,Monte Morris
Monte Morris,1628420,2024-12-07,PHX @ MIA,L,19.0,4,6,0.667,2,4,0.5,2,2,1.0,0,4,4,3,0,0,1,3,12,9,MIA,AWAY,Monte Morris
Monte Morris,1628420,2024-12-05,PHX @ NOP,L,15.0,3,5,0.6,1,3,0.333,0,0,0.0,0,2,2,2,0,0,0,0,7,-1,NOP,AWAY,Monte Morris
Monte Morris,1628420,2024-12-03,PHX vs. SAS,W,8.0,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,4,1,0,0,1,2,13,SAS,HOME,Monte Morris
Monte Morris,1628420,2024-11-30,PHX vs. GSW,W,15.0,3,5,0.6,2,3,0.667,0,0,0.0,1,4,5,3,1,0,0,2,8,9,GSW,HOME,Monte Morris
Monte Morris,1628420,2024-11-26,PHX vs. LAL,W,3.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,LAL,HOME,Monte Morris
Monte Morris,1628420,2024-11-20,PHX vs. NYK,L,12.0,4,6,0.667,2,3,0.667,0,0,0.0,0,0,0,0,0,0,1,1,10,2,NYK,HOME,Monte Morris
Monte Morris,1628420,2024-11-18,PHX vs. ORL,L,13.0,3,5,0.6,0,2,0.0,2,2,1.0,0,1,1,0,0,0,0,0,8,-7,ORL,HOME,Monte Morris
Monte Morris,1628420,2024-11-17,PHX @ MIN,L,11.0,2,3,0.667,1,1,1.0,0,0,0.0,0,1,1,2,1,0,2,0,5,2,MIN,AWAY,Monte Morris
Monte Morris,1628420,2024-11-15,PHX @ OKC,L,19.0,2,7,0.286,1,3,0.333,4,4,1.0,0,3,3,1,0,1,1,0,9,-7,OKC,AWAY,Monte Morris
Monte Morris,1628420,2024-11-13,PHX @ SAC,L,13.0,4,6,0.667,2,3,0.667,0,0,0.0,0,0,0,1,1,0,0,1,10,-5,SAC,AWAY,Monte Morris
Monte Morris,1628420,2024-11-12,PHX @ UTA,W,15.0,1,4,0.25,0,1,0.0,0,0,0.0,0,1,1,2,0,1,0,0,2,12,UTA,AWAY,Monte Morris
Monte Morris,1628420,2024-11-02,PHX vs. POR,W,8.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,1,0,0,0,-4,POR,HOME,Monte Morris
Monte Morris,1628420,2024-10-31,PHX @ LAC,W,3.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-11,LAC,AWAY,Monte Morris
Monte Morris,1628420,2024-10-28,PHX vs. LAL,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,4,LAL,HOME,Monte Morris
Monte Morris,1628420,2024-10-26,PHX vs. DAL,W,16.0,2,7,0.286,1,4,0.25,3,4,0.75,1,2,3,3,0,0,1,0,8,6,DAL,HOME,Monte Morris
Monte Morris,1628420,2024-10-25,PHX @ LAL,L,13.0,2,3,0.667,2,3,0.667,2,2,1.0,1,1,2,3,2,0,0,0,8,4,LAL,AWAY,Monte Morris
