player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Neemias Queta,1629674,2025-04-13,BOS vs. CHA,W,26.0,1,5,0.2,0,0,0.0,0,0,0.0,2,4,6,4,2,0,0,3,2,11,CHA,HOME,Neemias Queta
Neemias Queta,1629674,2025-04-11,BOS vs. CHA,W,12.0,3,3,1.0,0,0,0.0,1,1,1.0,0,1,1,1,0,3,0,1,7,20,CHA,HOME,Neemias Queta
Neemias Queta,1629674,2025-04-09,BOS @ ORL,L,25.0,4,6,0.667,0,0,0.0,3,4,0.75,3,4,7,2,0,2,3,2,11,-17,ORL,AWAY,Neemias Queta
Neemias Queta,1629674,2025-04-06,BOS vs. WAS,W,7.0,3,3,1.0,0,0,0.0,0,0,0.0,0,0,0,1,1,1,0,1,6,-1,WAS,HOME,Neemias Queta
Neemias Queta,1629674,2025-04-04,BOS vs. PHX,W,2.0,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,-1,PHX,HOME,Neemias Queta
Neemias Queta,1629674,2025-04-02,BOS vs. MIA,L,19.0,3,3,1.0,0,0,0.0,1,1,1.0,2,5,7,2,0,1,0,2,7,-15,MIA,HOME,Neemias Queta
Neemias Queta,1629674,2025-03-26,BOS @ PHX,W,6.0,2,4,0.5,0,0,0.0,0,0,0.0,2,1,3,0,0,0,1,0,4,-3,PHX,AWAY,Neemias Queta
Neemias Queta,1629674,2025-03-24,BOS @ SAC,W,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,0,SAC,AWAY,Neemias Queta
Neemias Queta,1629674,2025-03-21,BOS @ UTA,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,2,UTA,AWAY,Neemias Queta
Neemias Queta,1629674,2025-03-18,BOS vs. BKN,W,9.0,1,1,1.0,0,0,0.0,2,2,1.0,0,2,2,0,0,0,0,0,4,-5,BKN,HOME,Neemias Queta
Neemias Queta,1629674,2025-03-15,BOS @ BKN,W,13.0,2,2,1.0,0,0,0.0,2,3,0.667,1,0,1,0,0,0,0,2,6,8,BKN,AWAY,Neemias Queta
Neemias Queta,1629674,2025-03-14,BOS @ MIA,W,23.0,0,2,0.0,0,0,0.0,2,2,1.0,3,5,8,0,0,1,3,4,2,9,MIA,AWAY,Neemias Queta
Neemias Queta,1629674,2025-03-10,BOS vs. UTA,W,17.0,4,4,1.0,0,0,0.0,0,0,0.0,1,7,8,1,0,1,3,2,8,-5,UTA,HOME,Neemias Queta
Neemias Queta,1629674,2025-03-06,BOS vs. PHI,W,24.0,4,10,0.4,0,0,0.0,0,0,0.0,4,5,9,4,0,2,2,2,8,7,PHI,HOME,Neemias Queta
Neemias Queta,1629674,2025-03-05,BOS vs. POR,W,11.0,2,5,0.4,0,1,0.0,0,0,0.0,3,1,4,0,0,1,0,0,4,-4,POR,HOME,Neemias Queta
Neemias Queta,1629674,2025-03-02,BOS vs. DEN,W,17.0,4,5,0.8,0,0,0.0,0,0,0.0,3,7,10,1,0,0,0,4,8,11,DEN,HOME,Neemias Queta
Neemias Queta,1629674,2025-02-26,BOS @ DET,L,11.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,1,1,0,-2,DET,AWAY,Neemias Queta
Neemias Queta,1629674,2025-02-25,BOS @ TOR,W,20.0,4,6,0.667,0,0,0.0,0,0,0.0,2,3,5,0,0,1,0,5,8,-1,TOR,AWAY,Neemias Queta
Neemias Queta,1629674,2025-02-20,BOS @ PHI,W,5.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-6,PHI,AWAY,Neemias Queta
Neemias Queta,1629674,2025-02-12,BOS vs. SAS,W,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,HOME,Neemias Queta
Neemias Queta,1629674,2025-02-10,BOS @ MIA,W,6.0,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,4,4,MIA,AWAY,Neemias Queta
Neemias Queta,1629674,2025-02-08,BOS @ NYK,W,26.0,4,7,0.571,0,0,0.0,3,4,0.75,3,5,8,0,1,1,1,4,11,12,NYK,AWAY,Neemias Queta
Neemias Queta,1629674,2025-02-06,BOS vs. DAL,L,10.0,3,6,0.5,0,0,0.0,0,0,0.0,2,0,2,1,0,0,0,1,6,17,DAL,HOME,Neemias Queta
Neemias Queta,1629674,2025-01-29,BOS vs. CHI,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1,CHI,HOME,Neemias Queta
Neemias Queta,1629674,2025-01-27,BOS vs. HOU,L,19.0,1,2,0.5,0,0,0.0,2,2,1.0,1,4,5,1,0,0,2,2,4,0,HOU,HOME,Neemias Queta
Neemias Queta,1629674,2025-01-23,BOS @ LAL,L,9.0,2,3,0.667,0,0,0.0,2,2,1.0,1,0,1,3,2,1,0,0,6,4,LAL,AWAY,Neemias Queta
Neemias Queta,1629674,2025-01-22,BOS @ LAC,W,23.0,5,7,0.714,0,0,0.0,1,2,0.5,2,2,4,1,0,0,1,2,11,-12,LAC,AWAY,Neemias Queta
Neemias Queta,1629674,2025-01-20,BOS @ GSW,W,6.0,1,2,0.5,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,3,2,GSW,AWAY,Neemias Queta
Neemias Queta,1629674,2025-01-18,BOS vs. ATL,L,22.0,0,0,0.0,0,0,0.0,2,2,1.0,1,3,4,0,1,2,1,4,2,1,ATL,HOME,Neemias Queta
Neemias Queta,1629674,2025-01-17,BOS vs. ORL,W,11.0,3,3,1.0,0,0,0.0,1,2,0.5,0,3,3,1,0,0,1,3,7,1,ORL,HOME,Neemias Queta
Neemias Queta,1629674,2025-01-15,BOS @ TOR,L,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,TOR,AWAY,Neemias Queta
Neemias Queta,1629674,2025-01-10,BOS vs. SAC,L,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,SAC,HOME,Neemias Queta
Neemias Queta,1629674,2025-01-07,BOS @ DEN,W,8.0,4,5,0.8,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,8,-10,DEN,AWAY,Neemias Queta
Neemias Queta,1629674,2025-01-03,BOS @ HOU,W,20.0,2,3,0.667,0,0,0.0,1,2,0.5,1,1,2,1,0,0,1,4,5,1,HOU,AWAY,Neemias Queta
Neemias Queta,1629674,2025-01-02,BOS @ MIN,W,22.0,4,5,0.8,0,0,0.0,0,0,0.0,3,2,5,0,1,0,1,1,8,17,MIN,AWAY,Neemias Queta
Neemias Queta,1629674,2024-12-31,BOS vs. TOR,W,19.0,4,5,0.8,0,0,0.0,0,0,0.0,3,1,4,0,1,2,0,1,8,16,TOR,HOME,Neemias Queta
