player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Nikola Jovic,1631107,2025-02-23,MIA @ MIL,L,15.0,3,4,0.75,1,2,0.5,0,0,0.0,0,2,2,0,0,0,0,2,7,10,MIL,AWAY,Nikola Jovic
Nikola Jovic,1631107,2025-02-21,MIA @ TOR,W,35.0,3,7,0.429,1,4,0.25,0,0,0.0,1,4,5,5,2,1,0,4,7,6,TOR,AWAY,Nikola Jovic
Nikola Jovic,1631107,2025-02-13,MIA @ DAL,L,25.0,3,11,0.273,0,4,0.0,0,0,0.0,0,1,1,1,0,0,2,1,6,-6,DAL,AWAY,Nikola Jovic
Nikola Jovic,1631107,2025-02-12,MIA @ OKC,L,29.0,4,12,0.333,2,8,0.25,1,2,0.5,0,3,3,4,0,0,2,5,11,3,OKC,AWAY,Nikola Jovic
Nikola Jovic,1631107,2025-02-10,MIA vs. BOS,L,27.0,4,11,0.364,2,9,0.222,0,0,0.0,1,7,8,0,0,0,1,1,10,-21,BOS,HOME,Nikola Jovic
Nikola Jovic,1631107,2025-02-07,MIA @ BKN,L,32.0,3,8,0.375,2,5,0.4,0,0,0.0,0,1,1,4,2,0,4,3,8,-18,BKN,AWAY,Nikola Jovic
Nikola Jovic,1631107,2025-02-05,MIA @ PHI,W,37.0,8,9,0.889,3,4,0.75,4,5,0.8,0,5,5,7,0,1,3,3,23,5,PHI,AWAY,Nikola Jovic
Nikola Jovic,1631107,2025-02-04,MIA @ CHI,L,36.0,7,10,0.7,5,7,0.714,1,2,0.5,0,2,2,2,0,0,2,1,20,-5,CHI,AWAY,Nikola Jovic
Nikola Jovic,1631107,2025-02-01,MIA @ SAS,W,25.0,5,10,0.5,3,7,0.429,1,2,0.5,0,7,7,4,3,0,2,3,14,3,SAS,AWAY,Nikola Jovic
Nikola Jovic,1631107,2025-01-29,MIA vs. CLE,L,29.0,5,11,0.455,1,5,0.2,0,0,0.0,2,1,3,5,0,0,1,0,11,-7,CLE,HOME,Nikola Jovic
Nikola Jovic,1631107,2025-01-27,MIA vs. ORL,W,47.0,5,12,0.417,3,8,0.375,2,2,1.0,0,7,7,2,2,0,3,3,15,-4,ORL,HOME,Nikola Jovic
Nikola Jovic,1631107,2025-01-25,MIA @ BKN,W,31.0,5,7,0.714,3,4,0.75,4,4,1.0,1,5,6,4,2,2,4,4,17,4,BKN,AWAY,Nikola Jovic
Nikola Jovic,1631107,2025-01-23,MIA @ MIL,L,22.0,2,6,0.333,2,6,0.333,2,2,1.0,0,2,2,2,0,0,1,3,8,-26,MIL,AWAY,Nikola Jovic
Nikola Jovic,1631107,2025-01-21,MIA vs. POR,L,35.0,5,14,0.357,2,8,0.25,0,0,0.0,1,3,4,8,0,0,1,2,12,-4,POR,HOME,Nikola Jovic
Nikola Jovic,1631107,2025-01-19,MIA vs. SAS,W,24.0,5,8,0.625,4,6,0.667,0,0,0.0,0,2,2,5,2,0,2,0,14,8,SAS,HOME,Nikola Jovic
Nikola Jovic,1631107,2025-01-17,MIA vs. DEN,L,31.0,6,12,0.5,2,7,0.286,2,2,1.0,0,4,4,4,0,0,4,2,16,-18,DEN,HOME,Nikola Jovic
Nikola Jovic,1631107,2025-01-15,MIA @ LAL,L,32.0,4,7,0.571,2,3,0.667,2,2,1.0,1,3,4,8,0,1,2,4,12,3,LAL,AWAY,Nikola Jovic
Nikola Jovic,1631107,2025-01-13,MIA @ LAC,L,28.0,1,10,0.1,1,7,0.143,2,2,1.0,2,4,6,3,1,1,3,1,5,-16,LAC,AWAY,Nikola Jovic
Nikola Jovic,1631107,2025-01-11,MIA @ POR,W,32.0,8,12,0.667,4,7,0.571,1,1,1.0,1,7,8,5,1,1,1,4,21,20,POR,AWAY,Nikola Jovic
Nikola Jovic,1631107,2025-01-09,MIA @ UTA,W,27.0,4,14,0.286,2,8,0.25,1,2,0.5,3,3,6,5,0,1,1,1,11,10,UTA,AWAY,Nikola Jovic
Nikola Jovic,1631107,2025-01-07,MIA @ GSW,W,34.0,8,17,0.471,2,8,0.25,2,3,0.667,1,5,6,4,1,0,2,0,20,25,GSW,AWAY,Nikola Jovic
Nikola Jovic,1631107,2025-01-06,MIA @ SAC,L,21.0,3,8,0.375,0,4,0.0,6,6,1.0,1,2,3,0,1,1,0,1,12,0,SAC,AWAY,Nikola Jovic
Nikola Jovic,1631107,2025-01-04,MIA vs. UTA,L,24.0,7,14,0.5,3,5,0.6,0,0,0.0,0,1,1,3,2,2,0,1,17,-20,UTA,HOME,Nikola Jovic
Nikola Jovic,1631107,2025-01-02,MIA vs. IND,L,25.0,3,7,0.429,0,2,0.0,2,2,1.0,0,2,2,5,1,0,1,1,8,-11,IND,HOME,Nikola Jovic
Nikola Jovic,1631107,2025-01-01,MIA vs. NOP,W,34.0,3,6,0.5,2,4,0.5,0,0,0.0,0,7,7,6,0,0,4,1,8,0,NOP,HOME,Nikola Jovic
Nikola Jovic,1631107,2024-12-29,MIA @ HOU,W,31.0,5,9,0.556,3,5,0.6,5,5,1.0,2,5,7,6,0,0,0,1,18,18,HOU,AWAY,Nikola Jovic
Nikola Jovic,1631107,2024-12-28,MIA @ ATL,L,18.0,0,3,0.0,0,2,0.0,4,5,0.8,1,1,2,1,0,0,1,2,4,-11,ATL,AWAY,Nikola Jovic
Nikola Jovic,1631107,2024-12-26,MIA @ ORL,W,24.0,3,8,0.375,2,4,0.5,0,0,0.0,0,4,4,5,3,0,2,0,8,5,ORL,AWAY,Nikola Jovic
Nikola Jovic,1631107,2024-12-23,MIA vs. BKN,W,32.0,5,8,0.625,4,5,0.8,4,4,1.0,0,4,4,4,0,0,1,1,18,21,BKN,HOME,Nikola Jovic
Nikola Jovic,1631107,2024-12-21,MIA @ ORL,L,19.0,0,3,0.0,0,2,0.0,4,4,1.0,0,1,1,0,1,0,0,4,4,0,ORL,AWAY,Nikola Jovic
Nikola Jovic,1631107,2024-12-20,MIA vs. OKC,L,19.0,2,7,0.286,1,4,0.25,2,3,0.667,0,1,1,0,0,0,2,2,7,-3,OKC,HOME,Nikola Jovic
Nikola Jovic,1631107,2024-12-12,MIA vs. TOR,W,24.0,4,5,0.8,2,2,1.0,4,7,0.571,0,4,4,1,1,1,0,1,14,25,TOR,HOME,Nikola Jovic
Nikola Jovic,1631107,2024-11-24,MIA vs. DAL,W,6.0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,-5,DAL,HOME,Nikola Jovic
Nikola Jovic,1631107,2024-11-18,MIA vs. PHI,W,8.0,1,3,0.333,0,1,0.0,1,2,0.5,0,3,3,1,1,0,0,0,3,-2,PHI,HOME,Nikola Jovic
Nikola Jovic,1631107,2024-11-17,MIA @ IND,L,31.0,3,9,0.333,2,6,0.333,6,6,1.0,0,3,3,2,1,0,0,2,14,5,IND,AWAY,Nikola Jovic
Nikola Jovic,1631107,2024-11-15,MIA @ IND,W,30.0,5,8,0.625,1,4,0.25,0,0,0.0,1,5,6,1,1,0,0,2,11,1,IND,AWAY,Nikola Jovic
Nikola Jovic,1631107,2024-11-12,MIA @ DET,L,3.0,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,2,-1,DET,AWAY,Nikola Jovic
Nikola Jovic,1631107,2024-11-10,MIA @ MIN,W,23.0,6,11,0.545,2,4,0.5,1,1,1.0,0,7,7,1,1,0,1,3,15,10,MIN,AWAY,Nikola Jovic
Nikola Jovic,1631107,2024-11-08,MIA @ DEN,L,20.0,4,7,0.571,1,2,0.5,2,2,1.0,2,2,4,2,3,0,1,0,11,-7,DEN,AWAY,Nikola Jovic
Nikola Jovic,1631107,2024-11-06,MIA @ PHX,L,5.0,1,2,0.5,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,0,4,2,PHX,AWAY,Nikola Jovic
Nikola Jovic,1631107,2024-11-04,MIA vs. SAC,L,12.0,1,4,0.25,0,1,0.0,2,2,1.0,1,0,1,0,0,0,0,2,4,-9,SAC,HOME,Nikola Jovic
Nikola Jovic,1631107,2024-11-02,MIA @ WAS,W,23.0,1,7,0.143,1,5,0.2,0,0,0.0,0,6,6,1,3,0,1,0,3,7,WAS,AWAY,Nikola Jovic
Nikola Jovic,1631107,2024-10-30,MIA vs. NYK,L,27.0,4,7,0.571,2,4,0.5,0,2,0.0,1,5,6,1,0,0,0,1,10,-13,NYK,HOME,Nikola Jovic
Nikola Jovic,1631107,2024-10-28,MIA vs. DET,W,14.0,2,5,0.4,2,4,0.5,0,0,0.0,2,2,4,1,0,0,2,2,6,-13,DET,HOME,Nikola Jovic
Nikola Jovic,1631107,2024-10-26,MIA @ CHA,W,30.0,3,7,0.429,2,5,0.4,2,2,1.0,0,4,4,6,2,0,1,3,10,9,CHA,AWAY,Nikola Jovic
Nikola Jovic,1631107,2024-10-23,MIA vs. ORL,L,24.0,7,14,0.5,1,7,0.143,0,1,0.0,1,4,5,1,1,1,1,4,15,0,ORL,HOME,Nikola Jovic
