player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Oscar Tshiebwe,1631131,2025-04-13,UTA @ MIN,L,25.0,7,8,0.875,0,0,0.0,4,5,0.8,4,8,12,2,3,1,3,2,18,8,MIN,AWAY,Oscar Tshiebwe
Oscar Tshiebwe,1631131,2025-04-11,UTA vs. OKC,L,25.0,5,9,0.556,0,0,0.0,0,1,0.0,5,9,14,0,1,0,1,1,10,-15,OKC,HOME,Oscar Tshiebwe
Oscar Tshiebwe,1631131,2025-04-09,UTA vs. POR,W,19.0,7,14,0.5,0,0,0.0,3,5,0.6,7,3,10,0,0,0,0,3,17,-2,POR,HOME,Oscar Tshiebwe
Oscar Tshiebwe,1631131,2025-03-31,UTA @ CHA,L,24.0,3,4,0.75,0,0,0.0,0,0,0.0,5,6,11,1,2,0,1,1,6,2,CHA,AWAY,Oscar Tshiebwe
Oscar Tshiebwe,1631131,2025-03-28,UTA @ DEN,L,26.0,2,5,0.4,0,0,0.0,3,3,1.0,7,3,10,1,1,0,2,2,7,-31,DEN,AWAY,Oscar Tshiebwe
Oscar Tshiebwe,1631131,2025-03-25,UTA vs. MEM,L,18.0,2,4,0.5,0,0,0.0,2,3,0.667,0,3,3,0,0,0,0,1,6,-5,MEM,HOME,Oscar Tshiebwe
Oscar Tshiebwe,1631131,2025-03-19,UTA vs. WAS,W,18.0,1,3,0.333,0,0,0.0,2,2,1.0,2,8,10,2,0,0,1,0,4,10,WAS,HOME,Oscar Tshiebwe
Oscar Tshiebwe,1631131,2025-03-05,UTA @ WAS,L,19.0,3,6,0.5,0,0,0.0,0,0,0.0,4,9,13,0,0,0,0,0,6,0,WAS,AWAY,Oscar Tshiebwe
Oscar Tshiebwe,1631131,2025-03-03,UTA vs. DET,L,6.0,0,2,0.0,0,0,0.0,1,2,0.5,1,2,3,1,0,0,1,1,1,-5,DET,HOME,Oscar Tshiebwe
Oscar Tshiebwe,1631131,2025-03-02,UTA vs. NOP,L,20.0,8,9,0.889,0,0,0.0,0,0,0.0,4,9,13,1,1,0,0,1,16,25,NOP,HOME,Oscar Tshiebwe
Oscar Tshiebwe,1631131,2025-02-08,UTA @ LAC,L,8.0,0,0,0.0,0,0,0.0,2,2,1.0,2,1,3,1,1,0,0,2,2,-9,LAC,AWAY,Oscar Tshiebwe
Oscar Tshiebwe,1631131,2025-01-17,UTA @ NOP,L,12.0,3,5,0.6,0,0,0.0,2,2,1.0,1,5,6,0,0,0,0,1,8,13,NOP,AWAY,Oscar Tshiebwe
Oscar Tshiebwe,1631131,2025-01-12,UTA vs. BKN,W,18.0,1,1,1.0,0,0,0.0,1,2,0.5,1,4,5,0,2,0,0,6,3,4,BKN,HOME,Oscar Tshiebwe
Oscar Tshiebwe,1631131,2024-11-27,UTA vs. DEN,L,16.0,0,0,0.0,0,0,0.0,3,4,0.75,3,6,9,0,2,0,1,3,3,-6,DEN,HOME,Oscar Tshiebwe
