player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Patty Mills,201988,2025-04-05,LAC vs. DAL,W,7.0,2,4,0.5,1,2,0.5,0,0,0.0,1,0,1,1,0,0,0,2,5,0,DAL,HOME,Patty Mills
Patty Mills,201988,2025-04-04,LAC vs. DAL,W,8.0,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,1,3,-12,DAL,HOME,Patty Mills
Patty Mills,201988,2025-03-28,LAC @ BKN,W,7.0,3,4,0.75,3,4,0.75,5,5,1.0,0,0,0,0,0,0,0,2,14,3,BKN,AWAY,Patty Mills
Patty Mills,201988,2025-03-26,LAC @ NYK,W,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,NYK,AWAY,Patty Mills
Patty Mills,201988,2025-03-16,LAC vs. CHA,W,7.0,1,1,1.0,1,1,1.0,2,2,1.0,0,0,0,0,0,0,0,1,5,0,CHA,HOME,Patty Mills
Patty Mills,201988,2025-03-14,LAC @ ATL,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,6,ATL,AWAY,Patty Mills
Patty Mills,201988,2025-03-12,LAC @ MIA,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,MIA,AWAY,Patty Mills
Patty Mills,201988,2025-02-24,LAC @ DET,L,10.0,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0,0,0,0,1,4,6,-11,DET,AWAY,Patty Mills
Patty Mills,201988,2025-02-23,LAC @ IND,L,5.0,1,2,0.5,1,2,0.5,1,2,0.5,0,0,0,0,0,0,0,1,4,-1,IND,AWAY,Patty Mills
Patty Mills,201988,2025-02-12,LAC vs. MEM,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-2,MEM,HOME,Patty Mills
Patty Mills,201988,2025-02-08,LAC vs. UTA,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,3,UTA,HOME,Patty Mills
Patty Mills,201988,2025-02-04,LAC vs. LAL,L,7.0,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,LAL,HOME,Patty Mills
Patty Mills,201988,2025-01-28,UTA @ GSW,L,14.0,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-15,GSW,AWAY,Patty Mills
Patty Mills,201988,2025-01-20,UTA @ NOP,L,18.0,1,3,0.333,1,3,0.333,0,0,0.0,1,3,4,0,1,0,3,1,3,-8,NOP,AWAY,Patty Mills
Patty Mills,201988,2025-01-17,UTA @ NOP,L,9.0,1,2,0.5,1,2,0.5,1,1,1.0,0,1,1,2,0,0,0,0,4,12,NOP,AWAY,Patty Mills
Patty Mills,201988,2025-01-15,UTA vs. CHA,L,13.0,4,5,0.8,3,4,0.75,0,0,0.0,0,0,0,1,0,0,0,0,11,-7,CHA,HOME,Patty Mills
Patty Mills,201988,2025-01-11,UTA @ PHX,L,14.0,1,5,0.2,0,2,0.0,0,0,0.0,1,1,2,1,0,0,0,2,2,-9,PHX,AWAY,Patty Mills
Patty Mills,201988,2025-01-09,UTA vs. MIA,L,18.0,3,12,0.25,2,9,0.222,1,1,1.0,0,1,1,1,2,1,2,0,9,-3,MIA,HOME,Patty Mills
Patty Mills,201988,2025-01-07,UTA vs. ATL,L,18.0,5,14,0.357,3,9,0.333,0,0,0.0,0,1,1,2,3,0,0,0,13,-1,ATL,HOME,Patty Mills
Patty Mills,201988,2025-01-05,UTA @ ORL,W,19.0,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,1,0,0,3,1,0,17,ORL,AWAY,Patty Mills
Patty Mills,201988,2024-11-09,UTA @ SAS,W,14.0,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,0,0,0,2,1,5,4,SAS,AWAY,Patty Mills
Patty Mills,201988,2024-11-07,UTA @ MIL,L,16.0,2,5,0.4,1,3,0.333,0,0,0.0,0,1,1,2,2,0,1,2,5,4,MIL,AWAY,Patty Mills
Patty Mills,201988,2024-11-04,UTA @ CHI,W,13.0,1,3,0.333,1,3,0.333,3,3,1.0,0,1,1,5,0,0,0,1,6,9,CHI,AWAY,Patty Mills
Patty Mills,201988,2024-11-02,UTA @ DEN,L,16.0,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,2,0,0,1,0,0,1,DEN,AWAY,Patty Mills
Patty Mills,201988,2024-10-31,UTA vs. SAS,L,16.0,3,7,0.429,3,6,0.5,0,0,0.0,1,0,1,1,1,0,3,0,9,-2,SAS,HOME,Patty Mills
Patty Mills,201988,2024-10-29,UTA vs. SAC,L,18.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,1,0,0,0,-11,SAC,HOME,Patty Mills
Patty Mills,201988,2024-10-28,UTA @ DAL,L,10.0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,2,1,0,0,1,0,1,DAL,AWAY,Patty Mills
Patty Mills,201988,2024-10-25,UTA vs. GSW,L,18.0,3,7,0.429,1,5,0.2,0,0,0.0,0,1,1,0,1,1,1,1,7,-4,GSW,HOME,Patty Mills
Patty Mills,201988,2024-10-23,UTA vs. MEM,L,16.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0,10,MEM,HOME,Patty Mills
