player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Quentin Grimes,1629656,2025-04-13,PHI vs. CHI,L,35.0,3,14,0.214,0,9,0.0,2,2,1.0,0,7,7,4,0,0,4,2,8,-16,CHI,HOME,Quentin Grimes
Quentin Grimes,1629656,2025-04-09,PHI @ WAS,W,30.0,4,17,0.235,3,10,0.3,6,8,0.75,2,9,11,7,2,1,2,0,17,5,WAS,AWAY,Quentin Grimes
Quentin Grimes,1629656,2025-04-07,PHI @ MIA,L,38.0,11,25,0.44,4,11,0.364,3,6,0.5,1,7,8,6,1,0,3,3,29,-6,MIA,AWAY,Quentin Grimes
Quentin Grimes,1629656,2025-04-05,PHI vs. MIN,L,36.0,10,18,0.556,6,10,0.6,2,2,1.0,1,2,3,2,1,0,3,5,28,-1,MIN,HOME,Quentin Grimes
Quentin Grimes,1629656,2025-04-03,PHI vs. MIL,L,38.0,7,16,0.438,3,8,0.375,7,9,0.778,1,2,3,10,1,0,3,1,24,-29,MIL,HOME,Quentin Grimes
Quentin Grimes,1629656,2025-04-01,PHI @ NYK,L,36.0,8,18,0.444,1,6,0.167,9,10,0.9,2,2,4,5,3,0,3,1,26,-3,NYK,AWAY,Quentin Grimes
Quentin Grimes,1629656,2025-03-29,PHI vs. MIA,L,30.0,6,14,0.429,3,7,0.429,0,1,0.0,1,3,4,3,0,0,3,2,15,-22,MIA,HOME,Quentin Grimes
Quentin Grimes,1629656,2025-03-26,PHI vs. WAS,L,33.0,6,16,0.375,4,9,0.444,6,6,1.0,0,3,3,4,2,0,2,1,22,-17,WAS,HOME,Quentin Grimes
Quentin Grimes,1629656,2025-03-23,PHI @ ATL,L,35.0,7,18,0.389,3,10,0.3,9,11,0.818,0,5,5,6,1,0,4,1,26,-16,ATL,AWAY,Quentin Grimes
Quentin Grimes,1629656,2025-03-21,PHI @ SAS,L,35.0,10,20,0.5,4,11,0.364,1,2,0.5,0,2,2,10,2,0,5,3,25,1,SAS,AWAY,Quentin Grimes
Quentin Grimes,1629656,2025-03-19,PHI @ OKC,L,32.0,10,21,0.476,3,7,0.429,5,6,0.833,2,0,2,5,3,0,5,3,28,-23,OKC,AWAY,Quentin Grimes
Quentin Grimes,1629656,2025-03-17,PHI @ HOU,L,43.0,15,27,0.556,8,14,0.571,8,13,0.615,2,11,13,4,2,1,6,3,46,-6,HOU,AWAY,Quentin Grimes
Quentin Grimes,1629656,2025-03-16,PHI @ DAL,W,32.0,10,19,0.526,2,7,0.286,6,9,0.667,0,2,2,6,2,0,3,4,28,14,DAL,AWAY,Quentin Grimes
Quentin Grimes,1629656,2025-03-12,PHI @ TOR,L,31.0,11,23,0.478,2,8,0.25,5,6,0.833,0,4,4,3,3,2,6,2,29,-11,TOR,AWAY,Quentin Grimes
Quentin Grimes,1629656,2025-03-10,PHI @ ATL,L,39.0,14,25,0.56,5,11,0.455,2,2,1.0,1,6,7,5,3,1,4,2,35,-10,ATL,AWAY,Quentin Grimes
Quentin Grimes,1629656,2025-03-09,PHI vs. UTA,W,27.0,6,13,0.462,4,9,0.444,9,9,1.0,0,1,1,6,2,1,3,4,25,-17,UTA,HOME,Quentin Grimes
Quentin Grimes,1629656,2025-03-06,PHI @ BOS,L,33.0,2,11,0.182,1,5,0.2,1,2,0.5,2,6,8,5,1,0,3,1,6,-13,BOS,AWAY,Quentin Grimes
Quentin Grimes,1629656,2025-03-04,PHI @ MIN,L,39.0,12,18,0.667,3,7,0.429,3,3,1.0,1,2,3,2,3,0,2,2,30,-14,MIN,AWAY,Quentin Grimes
Quentin Grimes,1629656,2025-03-03,PHI vs. POR,L,38.0,6,15,0.4,0,5,0.0,2,2,1.0,2,4,6,9,0,0,3,3,14,-10,POR,HOME,Quentin Grimes
Quentin Grimes,1629656,2025-03-01,PHI vs. GSW,W,37.0,18,24,0.75,6,9,0.667,2,8,0.25,1,5,6,1,3,1,2,3,44,-5,GSW,HOME,Quentin Grimes
Quentin Grimes,1629656,2025-02-26,PHI @ NYK,L,21.0,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,0,1,1,1,1,3,-4,NYK,AWAY,Quentin Grimes
Quentin Grimes,1629656,2025-02-24,PHI vs. CHI,L,24.0,3,8,0.375,3,6,0.5,0,0,0.0,0,3,3,1,0,1,1,2,9,-19,CHI,HOME,Quentin Grimes
Quentin Grimes,1629656,2025-02-22,PHI vs. BKN,L,37.0,6,12,0.5,3,6,0.5,1,1,1.0,3,4,7,5,2,0,3,1,16,-6,BKN,HOME,Quentin Grimes
Quentin Grimes,1629656,2025-02-20,PHI vs. BOS,L,33.0,5,12,0.417,1,5,0.2,1,1,1.0,0,7,7,3,0,0,2,3,12,-16,BOS,HOME,Quentin Grimes
