player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Richaun Holmes,1626158,2025-04-02,WAS vs. SAC,W,2.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-2,SAC,HOME,Richaun Holmes
Richaun Holmes,1626158,2025-03-31,WAS vs. MIA,L,15.0,4,5,0.8,0,0,0.0,0,0,0.0,2,6,8,0,1,1,0,1,8,-1,MIA,HOME,Richaun Holmes
Richaun Holmes,1626158,2025-03-27,WAS vs. IND,L,13.0,2,5,0.4,0,0,0.0,5,6,0.833,2,1,3,1,0,0,0,1,9,-13,IND,HOME,Richaun Holmes
Richaun Holmes,1626158,2025-03-22,WAS @ NYK,L,17.0,2,5,0.4,0,0,0.0,0,0,0.0,3,4,7,2,0,1,0,2,4,8,NYK,AWAY,Richaun Holmes
Richaun Holmes,1626158,2025-03-15,WAS @ DEN,W,16.0,2,4,0.5,0,0,0.0,2,2,1.0,4,2,6,0,1,1,1,2,6,-5,DEN,AWAY,Richaun Holmes
Richaun Holmes,1626158,2025-03-13,WAS @ DET,W,18.0,2,3,0.667,0,0,0.0,2,3,0.667,2,4,6,1,0,1,1,0,6,-5,DET,AWAY,Richaun Holmes
Richaun Holmes,1626158,2025-03-11,WAS @ DET,L,22.0,6,10,0.6,0,0,0.0,2,2,1.0,3,5,8,2,1,0,1,3,14,7,DET,AWAY,Richaun Holmes
Richaun Holmes,1626158,2025-03-08,WAS @ TOR,W,20.0,5,11,0.455,0,0,0.0,0,0,0.0,7,4,11,4,2,1,0,2,10,-6,TOR,AWAY,Richaun Holmes
Richaun Holmes,1626158,2025-03-03,WAS @ MIA,L,20.0,3,6,0.5,0,0,0.0,1,2,0.5,1,7,8,2,0,0,0,0,7,-19,MIA,AWAY,Richaun Holmes
Richaun Holmes,1626158,2025-03-01,WAS @ CHA,W,22.0,5,6,0.833,0,0,0.0,5,5,1.0,1,8,9,3,1,0,1,2,15,10,CHA,AWAY,Richaun Holmes
Richaun Holmes,1626158,2025-02-26,WAS vs. POR,L,19.0,7,7,1.0,0,0,0.0,6,6,1.0,2,3,5,2,0,0,1,4,20,12,POR,HOME,Richaun Holmes
Richaun Holmes,1626158,2025-02-24,WAS vs. BKN,W,30.0,3,3,1.0,0,0,0.0,5,5,1.0,3,3,6,4,1,3,2,1,11,7,BKN,HOME,Richaun Holmes
Richaun Holmes,1626158,2025-02-23,WAS @ ORL,L,29.0,5,6,0.833,0,0,0.0,1,2,0.5,1,9,10,1,0,2,4,4,11,-14,ORL,AWAY,Richaun Holmes
