player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Rui Hachimura,1629060,2025-04-11,LAL vs. HOU,W,32.0,6,8,0.75,1,2,0.5,3,4,0.75,0,5,5,1,0,0,0,2,16,15,HOU,HOME,Rui Hachimura
Rui Hachimura,1629060,2025-04-09,LAL @ DAL,W,38.0,5,10,0.5,3,7,0.429,2,2,1.0,0,2,2,2,1,0,1,2,15,21,DAL,AWAY,Rui Hachimura
Rui Hachimura,1629060,2025-04-06,LAL @ OKC,W,32.0,4,10,0.4,2,6,0.333,1,1,1.0,2,5,7,1,0,1,1,3,11,8,OKC,AWAY,Rui Hachimura
Rui Hachimura,1629060,2025-04-03,LAL vs. GSW,L,34.0,9,15,0.6,3,6,0.5,3,4,0.75,3,3,6,3,0,0,1,2,24,-1,GSW,HOME,Rui Hachimura
Rui Hachimura,1629060,2025-03-31,LAL vs. HOU,W,31.0,3,10,0.3,1,6,0.167,0,0,0.0,0,2,2,0,2,0,0,1,7,0,HOU,HOME,Rui Hachimura
Rui Hachimura,1629060,2025-03-29,LAL @ MEM,W,28.0,5,8,0.625,3,5,0.6,0,0,0.0,0,3,3,0,0,1,0,1,13,-3,MEM,AWAY,Rui Hachimura
Rui Hachimura,1629060,2025-03-26,LAL @ IND,W,28.0,4,5,0.8,4,4,1.0,2,2,1.0,0,4,4,1,0,0,1,2,14,-2,IND,AWAY,Rui Hachimura
Rui Hachimura,1629060,2025-03-24,LAL @ ORL,L,24.0,2,4,0.5,0,2,0.0,1,2,0.5,1,2,3,0,1,0,1,1,5,-1,ORL,AWAY,Rui Hachimura
Rui Hachimura,1629060,2025-03-22,LAL vs. CHI,L,18.0,2,6,0.333,1,4,0.25,0,0,0.0,0,2,2,0,1,0,0,0,5,-4,CHI,HOME,Rui Hachimura
Rui Hachimura,1629060,2025-02-27,LAL vs. MIN,W,18.0,2,6,0.333,1,4,0.25,0,0,0.0,1,2,3,2,0,0,0,0,5,21,MIN,HOME,Rui Hachimura
Rui Hachimura,1629060,2025-02-25,LAL vs. DAL,W,38.0,6,12,0.5,2,6,0.333,1,2,0.5,1,5,6,0,0,2,1,1,15,19,DAL,HOME,Rui Hachimura
Rui Hachimura,1629060,2025-02-22,LAL @ DEN,W,36.0,7,12,0.583,4,9,0.444,3,4,0.75,0,0,0,4,1,0,0,2,21,14,DEN,AWAY,Rui Hachimura
Rui Hachimura,1629060,2025-02-20,LAL @ POR,W,35.0,3,7,0.429,0,3,0.0,0,0,0.0,4,8,12,1,0,1,1,2,6,0,POR,AWAY,Rui Hachimura
Rui Hachimura,1629060,2025-02-19,LAL vs. CHA,L,39.0,7,16,0.438,1,8,0.125,2,4,0.5,2,6,8,3,1,0,1,1,17,-1,CHA,HOME,Rui Hachimura
Rui Hachimura,1629060,2025-02-12,LAL @ UTA,L,30.0,8,15,0.533,3,5,0.6,0,1,0.0,0,3,3,1,0,0,1,0,19,-16,UTA,AWAY,Rui Hachimura
Rui Hachimura,1629060,2025-02-10,LAL vs. UTA,W,29.0,8,14,0.571,3,6,0.5,2,2,1.0,2,4,6,0,2,0,1,4,21,16,UTA,HOME,Rui Hachimura
