player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Russell Westbrook,201566,2025-04-13,DEN @ HOU,W,23.0,5,9,0.556,0,3,0.0,7,8,0.875,0,0,0,6,0,0,1,1,17,8,HOU,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-04-11,DEN vs. MEM,W,27.0,4,9,0.444,1,3,0.333,5,5,1.0,0,3,3,4,2,0,2,0,14,11,MEM,HOME,Russell Westbrook
Russell Westbrook,201566,2025-04-09,DEN @ SAC,W,17.0,2,11,0.182,0,4,0.0,1,1,1.0,2,2,4,4,1,0,3,2,5,-4,SAC,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-04-06,DEN vs. IND,L,24.0,6,10,0.6,1,2,0.5,3,4,0.75,0,5,5,4,0,0,1,4,16,-14,IND,HOME,Russell Westbrook
Russell Westbrook,201566,2025-04-04,DEN @ GSW,L,20.0,2,9,0.222,1,3,0.333,0,0,0.0,1,3,4,2,1,1,4,1,5,-8,GSW,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-04-02,DEN vs. SAS,L,40.0,11,25,0.44,3,10,0.3,5,6,0.833,1,10,11,6,3,0,4,0,30,0,SAS,HOME,Russell Westbrook
Russell Westbrook,201566,2025-04-01,DEN vs. MIN,L,38.0,4,11,0.364,0,3,0.0,4,7,0.571,0,6,6,7,1,2,5,5,12,-5,MIN,HOME,Russell Westbrook
Russell Westbrook,201566,2025-03-28,DEN vs. UTA,W,24.0,6,10,0.6,1,3,0.333,4,5,0.8,0,2,2,7,3,0,6,1,17,18,UTA,HOME,Russell Westbrook
Russell Westbrook,201566,2025-03-26,DEN vs. MIL,W,24.0,2,9,0.222,1,6,0.167,1,4,0.25,0,2,2,6,1,0,1,2,6,-1,MIL,HOME,Russell Westbrook
Russell Westbrook,201566,2025-03-24,DEN vs. CHI,L,26.0,5,14,0.357,1,5,0.2,3,4,0.75,2,3,5,10,1,0,5,4,14,-11,CHI,HOME,Russell Westbrook
Russell Westbrook,201566,2025-03-23,DEN @ HOU,W,24.0,5,11,0.455,2,4,0.5,2,4,0.5,0,2,2,1,1,2,5,6,14,-5,HOU,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-03-21,DEN @ POR,L,30.0,6,13,0.462,0,1,0.0,6,8,0.75,1,3,4,4,3,0,9,5,18,-8,POR,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-03-19,DEN @ LAL,L,29.0,4,14,0.286,1,4,0.25,3,5,0.6,3,1,4,9,2,0,3,2,12,-15,LAL,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-03-17,DEN @ GSW,W,42.0,5,18,0.278,2,9,0.222,0,0,0.0,4,8,12,16,3,2,7,4,12,5,GSW,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-03-15,DEN vs. WAS,L,37.0,9,19,0.474,4,8,0.5,0,0,0.0,0,4,4,11,1,0,3,2,22,0,WAS,HOME,Russell Westbrook
Russell Westbrook,201566,2025-03-14,DEN vs. LAL,W,28.0,7,16,0.438,3,6,0.5,0,0,0.0,1,5,6,7,1,0,4,2,17,2,LAL,HOME,Russell Westbrook
Russell Westbrook,201566,2025-03-12,DEN vs. MIN,L,33.0,8,12,0.667,1,4,0.25,2,2,1.0,1,3,4,1,3,0,4,2,19,-22,MIN,HOME,Russell Westbrook
Russell Westbrook,201566,2025-03-10,DEN @ OKC,W,33.0,6,10,0.6,3,5,0.6,1,2,0.5,2,3,5,7,0,1,2,3,16,2,OKC,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-03-09,DEN @ OKC,L,31.0,1,9,0.111,1,5,0.2,1,2,0.5,7,4,11,5,0,1,1,2,4,-17,OKC,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-03-07,DEN vs. PHX,W,26.0,6,11,0.545,1,2,0.5,1,1,1.0,2,1,3,4,1,0,2,2,14,-11,PHX,HOME,Russell Westbrook
Russell Westbrook,201566,2025-03-05,DEN vs. SAC,W,35.0,10,20,0.5,4,7,0.571,1,1,1.0,1,4,5,3,2,2,4,2,25,6,SAC,HOME,Russell Westbrook
Russell Westbrook,201566,2025-03-02,DEN @ BOS,L,36.0,5,13,0.385,2,8,0.25,0,1,0.0,1,2,3,6,2,1,3,3,12,-3,BOS,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-02-28,DEN @ DET,W,21.0,3,7,0.429,1,2,0.5,1,2,0.5,2,2,4,2,1,1,4,4,8,-16,DET,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-02-27,DEN @ MIL,L,25.0,4,13,0.308,1,4,0.25,1,1,1.0,2,4,6,5,1,0,1,2,10,7,MIL,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-02-24,DEN @ IND,W,23.0,2,8,0.25,0,3,0.0,3,4,0.75,0,3,3,5,0,0,3,3,7,-5,IND,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-02-22,DEN vs. LAL,L,24.0,7,17,0.412,3,7,0.429,0,2,0.0,3,1,4,1,0,0,4,1,17,-15,LAL,HOME,Russell Westbrook
Russell Westbrook,201566,2025-02-20,DEN vs. CHA,W,26.0,3,10,0.3,1,4,0.25,1,1,1.0,0,3,3,7,0,0,5,2,8,17,CHA,HOME,Russell Westbrook
Russell Westbrook,201566,2025-01-31,DEN @ PHI,W,25.0,2,3,0.667,0,1,0.0,0,0,0.0,0,0,0,7,2,0,6,2,4,1,PHI,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-01-29,DEN @ NYK,L,37.0,5,11,0.455,0,2,0.0,4,6,0.667,5,9,14,4,0,1,4,4,14,-5,NYK,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-01-27,DEN @ CHI,L,35.0,6,10,0.6,0,1,0.0,2,2,1.0,2,1,3,5,1,0,2,2,14,6,CHI,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-01-25,DEN @ MIN,L,28.0,6,10,0.6,0,3,0.0,1,1,1.0,2,4,6,4,2,0,4,4,13,-17,MIN,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-01-23,DEN vs. SAC,W,32.0,7,10,0.7,2,4,0.5,2,6,0.333,1,4,5,3,1,0,3,1,18,2,SAC,HOME,Russell Westbrook
Russell Westbrook,201566,2025-01-21,DEN vs. PHI,W,25.0,4,5,0.8,1,2,0.5,2,2,1.0,0,7,7,9,1,0,5,0,11,20,PHI,HOME,Russell Westbrook
Russell Westbrook,201566,2025-01-19,DEN @ ORL,W,25.0,5,9,0.556,1,3,0.333,1,2,0.5,1,4,5,6,0,0,5,1,12,9,ORL,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-01-17,DEN @ MIA,W,26.0,4,7,0.571,3,4,0.75,0,0,0.0,0,0,0,7,0,0,0,1,11,12,MIA,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-01-15,DEN vs. HOU,L,25.0,6,14,0.429,3,5,0.6,2,2,1.0,3,1,4,2,1,0,5,3,17,-15,HOU,HOME,Russell Westbrook
Russell Westbrook,201566,2025-01-14,DEN @ DAL,W,26.0,3,11,0.273,1,3,0.333,2,2,1.0,2,4,6,3,2,1,4,2,9,22,DAL,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-01-12,DEN @ DAL,W,34.0,10,17,0.588,0,2,0.0,1,3,0.333,2,8,10,7,1,2,4,3,21,-3,DAL,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-01-10,DEN vs. BKN,W,36.0,8,17,0.471,2,5,0.4,7,9,0.778,4,7,11,10,1,1,2,3,25,21,BKN,HOME,Russell Westbrook
Russell Westbrook,201566,2025-01-08,DEN vs. LAC,W,29.0,8,16,0.5,1,5,0.2,2,5,0.4,2,4,6,8,0,0,3,3,19,18,LAC,HOME,Russell Westbrook
Russell Westbrook,201566,2025-01-07,DEN vs. BOS,L,33.0,9,18,0.5,4,9,0.444,4,5,0.8,3,6,9,6,1,1,8,2,26,-10,BOS,HOME,Russell Westbrook
Russell Westbrook,201566,2025-01-04,DEN @ SAS,W,36.0,4,11,0.364,1,4,0.25,0,0,0.0,4,6,10,6,3,1,1,3,9,5,SAS,AWAY,Russell Westbrook
Russell Westbrook,201566,2025-01-03,DEN vs. SAS,L,31.0,4,7,0.571,1,2,0.5,0,2,0.0,1,5,6,8,2,0,3,5,9,6,SAS,HOME,Russell Westbrook
Russell Westbrook,201566,2025-01-01,DEN vs. ATL,W,26.0,5,6,0.833,1,2,0.5,5,5,1.0,0,2,2,11,0,0,2,3,16,24,ATL,HOME,Russell Westbrook
Russell Westbrook,201566,2024-12-30,DEN @ UTA,W,33.0,7,7,1.0,0,0,0.0,2,2,1.0,3,7,10,10,4,0,0,3,16,23,UTA,AWAY,Russell Westbrook
Russell Westbrook,201566,2024-12-28,DEN vs. DET,W,31.0,4,6,0.667,0,1,0.0,0,0,0.0,2,7,9,8,2,0,6,4,8,13,DET,HOME,Russell Westbrook
Russell Westbrook,201566,2024-12-27,DEN vs. CLE,L,30.0,5,13,0.385,1,5,0.2,0,0,0.0,0,4,4,7,1,0,4,3,11,-13,CLE,HOME,Russell Westbrook
Russell Westbrook,201566,2024-12-25,DEN @ PHX,L,27.0,6,12,0.5,1,4,0.25,4,7,0.571,1,5,6,2,1,0,4,1,17,3,PHX,AWAY,Russell Westbrook
Russell Westbrook,201566,2024-12-23,DEN vs. PHX,W,25.0,5,12,0.417,1,5,0.2,0,0,0.0,3,2,5,7,2,0,3,2,11,10,PHX,HOME,Russell Westbrook
Russell Westbrook,201566,2024-12-22,DEN @ NOP,W,36.0,9,14,0.643,1,4,0.25,2,4,0.5,3,2,5,5,3,1,5,3,21,6,NOP,AWAY,Russell Westbrook
Russell Westbrook,201566,2024-12-19,DEN @ POR,L,33.0,8,12,0.667,2,4,0.5,1,2,0.5,2,2,4,7,1,2,3,3,19,7,POR,AWAY,Russell Westbrook
Russell Westbrook,201566,2024-12-16,DEN @ SAC,W,35.0,8,13,0.615,0,3,0.0,2,4,0.5,3,6,9,10,3,0,3,3,18,3,SAC,AWAY,Russell Westbrook
Russell Westbrook,201566,2024-12-13,DEN vs. LAC,W,24.0,2,9,0.222,0,3,0.0,1,2,0.5,0,1,1,5,3,0,4,2,5,21,LAC,HOME,Russell Westbrook
Russell Westbrook,201566,2024-12-08,DEN @ ATL,W,31.0,4,6,0.667,1,3,0.333,0,1,0.0,0,1,1,11,2,1,4,3,9,12,ATL,AWAY,Russell Westbrook
Russell Westbrook,201566,2024-12-07,DEN @ WAS,L,32.0,3,6,0.5,0,2,0.0,1,4,0.25,1,9,10,12,4,1,2,5,7,-9,WAS,AWAY,Russell Westbrook
Russell Westbrook,201566,2024-12-05,DEN @ CLE,L,16.0,4,9,0.444,1,3,0.333,1,2,0.5,1,2,3,3,1,1,2,1,10,-15,CLE,AWAY,Russell Westbrook
Russell Westbrook,201566,2024-12-03,DEN vs. GSW,W,23.0,3,7,0.429,1,3,0.333,0,0,0.0,0,1,1,5,0,0,1,3,7,-10,GSW,HOME,Russell Westbrook
Russell Westbrook,201566,2024-12-01,DEN @ LAC,L,25.0,3,11,0.273,1,5,0.2,2,4,0.5,0,3,3,8,2,1,0,2,9,-7,LAC,AWAY,Russell Westbrook
Russell Westbrook,201566,2024-11-27,DEN @ UTA,W,19.0,3,9,0.333,1,4,0.25,3,4,0.75,0,1,1,5,2,1,3,0,10,6,UTA,AWAY,Russell Westbrook
Russell Westbrook,201566,2024-11-25,DEN vs. NYK,L,26.0,9,16,0.563,4,7,0.571,5,5,1.0,1,2,3,3,2,1,3,1,27,-16,NYK,HOME,Russell Westbrook
Russell Westbrook,201566,2024-11-23,DEN @ LAL,W,24.0,6,10,0.6,1,4,0.25,1,2,0.5,2,5,7,11,1,0,3,3,14,17,LAL,AWAY,Russell Westbrook
Russell Westbrook,201566,2024-11-22,DEN vs. DAL,L,27.0,5,13,0.385,4,6,0.667,2,5,0.4,0,1,1,4,2,0,1,2,16,0,DAL,HOME,Russell Westbrook
Russell Westbrook,201566,2024-11-19,DEN @ MEM,W,32.0,5,12,0.417,1,4,0.25,1,2,0.5,1,9,10,14,2,1,5,3,12,-2,MEM,AWAY,Russell Westbrook
Russell Westbrook,201566,2024-11-17,DEN @ MEM,L,23.0,4,10,0.4,2,3,0.667,2,4,0.5,0,3,3,3,1,1,3,1,12,-10,MEM,AWAY,Russell Westbrook
Russell Westbrook,201566,2024-11-15,DEN @ NOP,L,22.0,2,8,0.25,1,3,0.333,0,0,0.0,1,3,4,7,0,0,1,3,5,-1,NOP,AWAY,Russell Westbrook
Russell Westbrook,201566,2024-11-10,DEN vs. DAL,W,20.0,3,10,0.3,0,2,0.0,0,0,0.0,2,3,5,5,1,0,2,2,6,-13,DAL,HOME,Russell Westbrook
Russell Westbrook,201566,2024-11-08,DEN vs. MIA,W,24.0,2,5,0.4,2,3,0.667,0,0,0.0,0,4,4,10,0,1,2,2,6,-5,MIA,HOME,Russell Westbrook
Russell Westbrook,201566,2024-11-06,DEN vs. OKC,W,32.0,10,15,0.667,3,4,0.75,6,9,0.667,1,5,6,6,1,0,4,4,29,-14,OKC,HOME,Russell Westbrook
Russell Westbrook,201566,2024-11-04,DEN vs. TOR,W,34.0,6,10,0.6,1,5,0.2,8,10,0.8,1,5,6,6,1,1,4,4,21,-3,TOR,HOME,Russell Westbrook
Russell Westbrook,201566,2024-11-02,DEN vs. UTA,W,31.0,2,11,0.182,1,4,0.25,0,4,0.0,1,2,3,7,5,0,4,4,5,12,UTA,HOME,Russell Westbrook
Russell Westbrook,201566,2024-11-01,DEN @ MIN,L,25.0,1,8,0.125,0,3,0.0,3,4,0.75,3,3,6,5,2,1,4,2,5,-13,MIN,AWAY,Russell Westbrook
Russell Westbrook,201566,2024-10-29,DEN @ BKN,W,21.0,5,12,0.417,2,2,1.0,10,10,1.0,0,1,1,5,1,0,1,2,22,0,BKN,AWAY,Russell Westbrook
Russell Westbrook,201566,2024-10-28,DEN @ TOR,W,18.0,3,7,0.429,0,1,0.0,3,4,0.75,1,3,4,3,1,0,2,4,9,-1,TOR,AWAY,Russell Westbrook
Russell Westbrook,201566,2024-10-26,DEN vs. LAC,L,19.0,0,8,0.0,0,3,0.0,2,2,1.0,0,1,1,2,2,1,0,4,2,-13,LAC,HOME,Russell Westbrook
Russell Westbrook,201566,2024-10-24,DEN vs. OKC,L,21.0,2,10,0.2,1,6,0.167,1,4,0.25,1,4,5,5,1,2,2,0,6,-24,OKC,HOME,Russell Westbrook
