player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Shake Milton,1629003,2025-04-13,LAL @ POR,L,43.0,5,15,0.333,1,4,0.25,5,6,0.833,1,1,2,3,1,1,3,2,16,-25,POR,AWAY,Shake Milton
Shake Milton,1629003,2025-04-11,LAL vs. HOU,W,4.0,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,2,8,HOU,HOME,Shake Milton
Shake Milton,1629003,2025-04-08,LAL @ OKC,L,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,OKC,AWAY,Shake Milton
Shake Milton,1629003,2025-04-04,LAL vs. NOP,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,NOP,HOME,Shake Milton
Shake Milton,1629003,2025-03-22,LAL vs. CHI,L,7.0,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,-8,CHI,HOME,Shake Milton
Shake Milton,1629003,2025-03-20,LAL vs. MIL,L,23.0,2,6,0.333,0,1,0.0,0,0,0.0,4,2,6,3,0,0,2,6,4,-37,MIL,HOME,Shake Milton
Shake Milton,1629003,2025-03-19,LAL vs. DEN,W,7.0,0,4,0.0,0,1,0.0,1,2,0.5,1,0,1,0,0,0,0,1,1,-11,DEN,HOME,Shake Milton
Shake Milton,1629003,2025-03-17,LAL vs. SAS,W,7.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,2,4,SAS,HOME,Shake Milton
Shake Milton,1629003,2025-03-14,LAL @ DEN,L,28.0,7,11,0.636,1,2,0.5,1,1,1.0,1,4,5,3,1,0,2,1,16,10,DEN,AWAY,Shake Milton
Shake Milton,1629003,2025-03-13,LAL @ MIL,L,4.0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,MIL,AWAY,Shake Milton
Shake Milton,1629003,2025-03-10,LAL @ BKN,L,6.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-4,BKN,AWAY,Shake Milton
Shake Milton,1629003,2025-03-04,LAL vs. NOP,W,19.0,5,7,0.714,2,4,0.5,0,0,0.0,1,1,2,2,2,0,1,0,12,30,NOP,HOME,Shake Milton
Shake Milton,1629003,2025-03-02,LAL vs. LAC,W,8.0,2,3,0.667,2,2,1.0,0,0,0.0,0,1,1,0,0,0,0,1,6,-16,LAC,HOME,Shake Milton
Shake Milton,1629003,2025-02-22,LAL @ DEN,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,1,DEN,AWAY,Shake Milton
Shake Milton,1629003,2025-02-20,LAL @ POR,W,5.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,0,POR,AWAY,Shake Milton
Shake Milton,1629003,2025-02-12,LAL @ UTA,L,12.0,3,5,0.6,1,2,0.5,2,2,1.0,3,1,4,1,0,0,2,0,9,5,UTA,AWAY,Shake Milton
Shake Milton,1629003,2025-02-10,LAL vs. UTA,W,8.0,0,2,0.0,0,2,0.0,2,2,1.0,0,1,1,1,0,0,0,0,2,-14,UTA,HOME,Shake Milton
Shake Milton,1629003,2025-02-08,LAL vs. IND,W,15.0,1,4,0.25,0,1,0.0,0,1,0.0,0,3,3,4,0,0,0,2,2,-4,IND,HOME,Shake Milton
Shake Milton,1629003,2025-02-06,LAL vs. GSW,W,15.0,1,3,0.333,0,0,0.0,0,0,0.0,0,3,3,2,1,1,1,1,2,8,GSW,HOME,Shake Milton
Shake Milton,1629003,2025-02-04,LAL @ LAC,W,20.0,2,3,0.667,0,1,0.0,0,0,0.0,1,1,2,3,0,0,4,2,4,12,LAC,AWAY,Shake Milton
Shake Milton,1629003,2025-01-30,LAL @ WAS,W,28.0,7,8,0.875,1,2,0.5,6,6,1.0,1,3,4,4,2,0,0,2,21,25,WAS,AWAY,Shake Milton
Shake Milton,1629003,2025-01-28,LAL @ PHI,L,6.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,PHI,AWAY,Shake Milton
Shake Milton,1629003,2025-01-27,LAL @ CHA,W,12.0,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,3,0,-6,CHA,AWAY,Shake Milton
Shake Milton,1629003,2025-01-23,LAL vs. BOS,W,3.0,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,3,0,0,1,0,2,-5,BOS,HOME,Shake Milton
Shake Milton,1629003,2025-01-17,LAL vs. BKN,W,7.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,3,BKN,HOME,Shake Milton
Shake Milton,1629003,2025-01-15,LAL vs. MIA,W,6.0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-8,MIA,HOME,Shake Milton
Shake Milton,1629003,2025-01-05,LAL @ HOU,L,5.0,0,0,0.0,0,0,0.0,1,2,0.5,1,0,1,0,0,0,2,0,1,-16,HOU,AWAY,Shake Milton
Shake Milton,1629003,2025-01-03,LAL vs. ATL,W,13.0,0,3,0.0,0,2,0.0,2,2,1.0,0,4,4,4,0,1,1,1,2,1,ATL,HOME,Shake Milton
Shake Milton,1629003,2025-01-02,LAL vs. POR,W,16.0,2,5,0.4,0,3,0.0,0,0,0.0,0,3,3,0,0,0,0,0,4,2,POR,HOME,Shake Milton
Shake Milton,1629003,2024-12-31,LAL vs. CLE,L,10.0,2,4,0.5,2,4,0.5,0,0,0.0,0,2,2,0,0,0,0,1,6,-9,CLE,HOME,Shake Milton
Shake Milton,1629003,2024-12-27,BKN vs. SAS,L,34.0,5,9,0.556,3,6,0.5,3,4,0.75,0,3,3,12,1,0,1,3,16,7,SAS,HOME,Shake Milton
Shake Milton,1629003,2024-12-26,BKN @ MIL,W,23.0,7,10,0.7,4,6,0.667,2,3,0.667,1,1,2,0,1,0,2,1,20,-6,MIL,AWAY,Shake Milton
Shake Milton,1629003,2024-12-23,BKN @ MIA,L,19.0,1,8,0.125,0,2,0.0,2,2,1.0,0,2,2,3,2,0,2,3,4,-16,MIA,AWAY,Shake Milton
Shake Milton,1629003,2024-12-21,BKN vs. UTA,L,26.0,5,10,0.5,1,4,0.25,0,0,0.0,1,1,2,2,1,0,0,5,11,-7,UTA,HOME,Shake Milton
Shake Milton,1629003,2024-12-19,BKN @ TOR,W,29.0,5,10,0.5,0,4,0.0,2,2,1.0,1,2,3,2,0,0,1,1,12,10,TOR,AWAY,Shake Milton
Shake Milton,1629003,2024-12-16,BKN vs. CLE,L,17.0,2,9,0.222,1,2,0.5,0,0,0.0,2,3,5,1,0,0,1,6,5,-13,CLE,HOME,Shake Milton
Shake Milton,1629003,2024-12-13,BKN @ MEM,L,16.0,4,8,0.5,0,3,0.0,4,5,0.8,2,2,4,3,2,0,0,1,12,7,MEM,AWAY,Shake Milton
Shake Milton,1629003,2024-12-08,BKN vs. MIL,L,16.0,2,4,0.5,2,4,0.5,0,0,0.0,0,1,1,0,0,0,2,2,6,-9,MIL,HOME,Shake Milton
Shake Milton,1629003,2024-12-04,BKN vs. IND,W,28.0,6,11,0.545,1,4,0.25,2,3,0.667,0,3,3,4,2,0,0,4,15,21,IND,HOME,Shake Milton
Shake Milton,1629003,2024-12-02,BKN @ CHI,L,35.0,6,17,0.353,2,4,0.5,0,0,0.0,3,3,6,5,1,1,3,1,14,-16,CHI,AWAY,Shake Milton
Shake Milton,1629003,2024-12-01,BKN vs. ORL,L,20.0,2,4,0.5,1,3,0.333,1,2,0.5,0,2,2,0,0,0,1,2,6,2,ORL,HOME,Shake Milton
Shake Milton,1629003,2024-11-29,BKN vs. ORL,L,34.0,7,13,0.538,2,4,0.5,6,7,0.857,1,1,2,4,1,0,3,1,22,-8,ORL,HOME,Shake Milton
Shake Milton,1629003,2024-11-27,BKN @ PHX,W,21.0,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,5,1,0,0,2,2,4,PHX,AWAY,Shake Milton
Shake Milton,1629003,2024-11-25,BKN @ GSW,W,28.0,5,10,0.5,2,3,0.667,1,2,0.5,0,3,3,3,0,0,1,1,13,11,GSW,AWAY,Shake Milton
Shake Milton,1629003,2024-11-24,BKN @ SAC,W,21.0,4,6,0.667,2,4,0.5,0,0,0.0,0,2,2,3,1,0,1,1,10,10,SAC,AWAY,Shake Milton
Shake Milton,1629003,2024-11-19,BKN vs. CHA,W,18.0,3,5,0.6,1,2,0.5,0,1,0.0,1,0,1,3,0,0,0,0,7,-9,CHA,HOME,Shake Milton
Shake Milton,1629003,2024-11-17,BKN @ NYK,L,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,NYK,AWAY,Shake Milton
Shake Milton,1629003,2024-11-15,BKN @ NYK,L,6.0,1,3,0.333,0,1,0.0,0,0,0.0,2,0,2,0,0,0,0,2,2,-12,NYK,AWAY,Shake Milton
Shake Milton,1629003,2024-11-13,BKN vs. BOS,L,24.0,3,5,0.6,2,3,0.667,0,0,0.0,0,0,0,8,0,0,1,0,8,-16,BOS,HOME,Shake Milton
Shake Milton,1629003,2024-11-09,BKN @ CLE,L,18.0,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,1,1,0,0,2,3,-16,CLE,AWAY,Shake Milton
Shake Milton,1629003,2024-11-04,BKN vs. MEM,W,12.0,1,2,0.5,1,2,0.5,2,2,1.0,2,2,4,0,0,0,1,0,5,-14,MEM,HOME,Shake Milton
Shake Milton,1629003,2024-11-03,BKN vs. DET,L,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,HOME,Shake Milton
Shake Milton,1629003,2024-10-30,BKN @ MEM,W,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,MEM,AWAY,Shake Milton
Shake Milton,1629003,2024-10-29,BKN vs. DEN,L,17.0,1,5,0.2,1,5,0.2,0,0,0.0,0,1,1,2,1,0,0,2,3,8,DEN,HOME,Shake Milton
Shake Milton,1629003,2024-10-27,BKN vs. MIL,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-4,MIL,HOME,Shake Milton
Shake Milton,1629003,2024-10-25,BKN @ ORL,L,17.0,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,2,0,0,0,3,3,-12,ORL,AWAY,Shake Milton
Shake Milton,1629003,2024-10-23,BKN @ ATL,L,6.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,8,ATL,AWAY,Shake Milton
