player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Steven Adams,203500,2025-04-13,HOU vs. DEN,L,17.0,2,4,0.5,0,0,0.0,0,0,0.0,2,4,6,1,0,0,1,2,4,-23,DEN,HOME,Steven Adams
Steven Adams,203500,2025-04-06,HOU @ GSW,W,17.0,1,2,0.5,0,0,0.0,0,0,0.0,2,6,8,1,0,2,0,1,2,7,GSW,AWAY,Steven Adams
Steven Adams,203500,2025-04-04,HOU vs. OKC,W,23.0,4,7,0.571,0,0,0.0,0,0,0.0,6,6,12,0,2,1,0,2,8,7,OKC,HOME,Steven Adams
Steven Adams,203500,2025-03-31,HOU @ LAL,L,16.0,1,2,0.5,0,1,0.0,2,2,1.0,2,5,7,0,1,0,3,0,4,-3,LAL,AWAY,Steven Adams
Steven Adams,203500,2025-03-30,HOU @ PHX,W,12.0,2,2,1.0,0,0,0.0,2,2,1.0,2,1,3,0,0,0,0,1,6,21,PHX,AWAY,Steven Adams
Steven Adams,203500,2025-03-25,HOU vs. ATL,W,25.0,2,2,1.0,0,0,0.0,3,4,0.75,4,3,7,1,0,0,1,2,7,19,ATL,HOME,Steven Adams
Steven Adams,203500,2025-03-23,HOU vs. DEN,L,22.0,6,10,0.6,0,0,0.0,2,4,0.5,10,2,12,2,0,3,1,3,14,9,DEN,HOME,Steven Adams
Steven Adams,203500,2025-03-21,HOU @ MIA,W,20.0,2,2,1.0,0,0,0.0,0,2,0.0,4,4,8,1,1,0,1,2,4,7,MIA,AWAY,Steven Adams
Steven Adams,203500,2025-03-19,HOU @ ORL,W,23.0,1,2,0.5,0,0,0.0,1,1,1.0,1,5,6,0,1,1,4,1,3,22,ORL,AWAY,Steven Adams
Steven Adams,203500,2025-03-17,HOU vs. PHI,W,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,PHI,HOME,Steven Adams
Steven Adams,203500,2025-03-15,HOU vs. CHI,W,22.0,2,4,0.5,0,0,0.0,0,4,0.0,4,5,9,3,1,0,1,1,4,3,CHI,HOME,Steven Adams
Steven Adams,203500,2025-03-12,HOU vs. PHX,W,11.0,0,1,0.0,0,0,0.0,1,2,0.5,2,2,4,1,0,0,0,1,1,1,PHX,HOME,Steven Adams
Steven Adams,203500,2025-03-10,HOU vs. ORL,W,23.0,5,6,0.833,0,0,0.0,1,3,0.333,11,6,17,1,0,0,3,0,11,17,ORL,HOME,Steven Adams
Steven Adams,203500,2025-03-08,HOU vs. NOP,W,18.0,3,5,0.6,0,0,0.0,0,0,0.0,3,5,8,2,2,2,1,2,6,16,NOP,HOME,Steven Adams
Steven Adams,203500,2025-03-06,HOU @ NOP,W,19.0,1,2,0.5,0,0,0.0,1,2,0.5,3,5,8,6,1,0,2,3,3,17,NOP,AWAY,Steven Adams
Steven Adams,203500,2025-03-04,HOU @ IND,L,15.0,1,3,0.333,0,0,0.0,1,2,0.5,2,1,3,1,0,0,0,0,3,0,IND,AWAY,Steven Adams
Steven Adams,203500,2025-03-01,HOU vs. SAC,L,8.0,1,3,0.333,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,0,2,-6,SAC,HOME,Steven Adams
Steven Adams,203500,2025-02-26,HOU vs. SAS,W,19.0,2,6,0.333,0,1,0.0,0,0,0.0,2,3,5,5,2,2,1,0,4,6,SAS,HOME,Steven Adams
