player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Tobias Harris,202699,2025-04-13,DET @ MIL,L,10.0,2,3,0.667,0,1,0.0,0,0,0.0,0,3,3,1,2,0,2,1,4,-17,MIL,AWAY,Tobias Harris
Tobias Harris,202699,2025-04-11,DET vs. MIL,L,30.0,6,10,0.6,3,4,0.75,2,4,0.5,0,4,4,3,1,2,0,5,17,-8,MIL,HOME,Tobias Harris
Tobias Harris,202699,2025-04-10,DET vs. NYK,W,28.0,5,9,0.556,3,5,0.6,4,4,1.0,1,1,2,2,1,0,4,3,17,0,NYK,HOME,Tobias Harris
Tobias Harris,202699,2025-04-02,DET @ OKC,L,22.0,5,8,0.625,0,1,0.0,0,0,0.0,0,4,4,2,0,0,3,3,10,-16,OKC,AWAY,Tobias Harris
Tobias Harris,202699,2025-03-25,DET vs. SAS,W,27.0,4,10,0.4,3,5,0.6,4,4,1.0,0,8,8,4,3,1,1,0,15,5,SAS,HOME,Tobias Harris
Tobias Harris,202699,2025-03-23,DET vs. NOP,W,32.0,7,15,0.467,0,4,0.0,0,0,0.0,1,2,3,4,1,0,0,2,14,-6,NOP,HOME,Tobias Harris
Tobias Harris,202699,2025-03-21,DET @ DAL,L,35.0,4,11,0.364,1,4,0.25,0,0,0.0,2,4,6,3,5,1,2,3,9,-12,DAL,AWAY,Tobias Harris
Tobias Harris,202699,2025-03-19,DET @ MIA,W,35.0,6,9,0.667,0,1,0.0,1,2,0.5,0,5,5,2,1,4,1,0,13,-4,MIA,AWAY,Tobias Harris
Tobias Harris,202699,2025-03-17,DET @ NOP,W,25.0,3,8,0.375,0,4,0.0,3,4,0.75,1,5,6,0,0,0,0,2,9,16,NOP,AWAY,Tobias Harris
Tobias Harris,202699,2025-03-15,DET vs. OKC,L,34.0,6,12,0.5,2,3,0.667,4,4,1.0,0,7,7,0,0,0,0,1,18,-15,OKC,HOME,Tobias Harris
Tobias Harris,202699,2025-03-13,DET vs. WAS,L,36.0,5,12,0.417,2,4,0.5,2,3,0.667,2,4,6,3,3,1,2,2,14,-14,WAS,HOME,Tobias Harris
Tobias Harris,202699,2025-03-11,DET vs. WAS,W,31.0,5,12,0.417,2,4,0.5,0,0,0.0,1,7,8,1,3,0,2,1,12,28,WAS,HOME,Tobias Harris
Tobias Harris,202699,2025-03-09,DET @ POR,W,37.0,9,13,0.692,1,3,0.333,1,2,0.5,2,7,9,2,0,2,0,3,20,12,POR,AWAY,Tobias Harris
Tobias Harris,202699,2025-03-08,DET @ GSW,L,36.0,4,11,0.364,0,2,0.0,7,8,0.875,1,11,12,2,0,0,1,2,15,-6,GSW,AWAY,Tobias Harris
Tobias Harris,202699,2025-03-01,DET vs. BKN,W,32.0,6,12,0.5,1,2,0.5,5,5,1.0,0,9,9,2,1,0,2,2,18,28,BKN,HOME,Tobias Harris
Tobias Harris,202699,2025-02-28,DET vs. DEN,L,26.0,5,10,0.5,2,4,0.5,0,0,0.0,1,1,2,3,1,0,1,2,12,-27,DEN,HOME,Tobias Harris
Tobias Harris,202699,2025-02-26,DET vs. BOS,W,34.0,6,10,0.6,2,4,0.5,2,2,1.0,2,7,9,2,1,2,1,2,16,13,BOS,HOME,Tobias Harris
Tobias Harris,202699,2025-02-24,DET vs. LAC,W,38.0,9,13,0.692,2,3,0.667,0,1,0.0,0,5,5,2,0,0,3,1,20,18,LAC,HOME,Tobias Harris
Tobias Harris,202699,2025-02-23,DET @ ATL,W,35.0,5,12,0.417,0,3,0.0,2,2,1.0,1,3,4,3,1,0,1,2,12,14,ATL,AWAY,Tobias Harris
Tobias Harris,202699,2025-02-21,DET @ SAS,W,30.0,8,10,0.8,2,3,0.667,4,4,1.0,1,6,7,2,2,0,1,4,22,32,SAS,AWAY,Tobias Harris
Tobias Harris,202699,2025-02-12,DET @ CHI,W,33.0,6,11,0.545,1,2,0.5,6,7,0.857,2,3,5,0,2,1,1,3,19,17,CHI,AWAY,Tobias Harris
Tobias Harris,202699,2025-02-11,DET @ CHI,W,25.0,8,13,0.615,2,6,0.333,0,0,0.0,0,3,3,0,3,1,1,0,18,21,CHI,AWAY,Tobias Harris
Tobias Harris,202699,2025-02-09,DET vs. CHA,W,34.0,9,13,0.692,1,2,0.5,1,1,1.0,0,4,4,1,0,0,0,1,20,20,CHA,HOME,Tobias Harris
Tobias Harris,202699,2025-02-07,DET vs. PHI,W,34.0,8,16,0.5,0,0,0.0,6,6,1.0,4,5,9,3,1,0,2,0,22,7,PHI,HOME,Tobias Harris
