player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Toumani Camara,1641739,2025-04-13,POR vs. LAL,W,22.0,5,7,0.714,4,6,0.667,0,0,0.0,2,4,6,4,0,0,1,3,14,28,LAL,HOME,Toumani Camara
Toumani Camara,1641739,2025-04-11,POR vs. GSW,L,33.0,4,13,0.308,1,5,0.2,1,2,0.5,0,4,4,3,2,0,0,2,10,-8,GSW,HOME,Toumani Camara
Toumani Camara,1641739,2025-04-09,POR @ UTA,L,33.0,6,18,0.333,2,8,0.25,2,2,1.0,3,3,6,2,2,1,0,1,16,8,UTA,AWAY,Toumani Camara
Toumani Camara,1641739,2025-04-06,POR vs. SAS,W,34.0,8,16,0.5,4,11,0.364,3,4,0.75,2,8,10,3,0,1,2,5,23,-3,SAS,HOME,Toumani Camara
Toumani Camara,1641739,2025-04-03,POR @ TOR,W,25.0,2,8,0.25,1,5,0.2,0,0,0.0,0,3,3,2,0,0,1,0,5,-5,TOR,AWAY,Toumani Camara
Toumani Camara,1641739,2025-04-01,POR @ ATL,W,30.0,8,10,0.8,2,3,0.667,0,0,0.0,1,1,2,1,2,1,1,6,18,9,ATL,AWAY,Toumani Camara
Toumani Camara,1641739,2025-03-30,POR @ NYK,L,39.0,6,8,0.75,4,6,0.667,0,0,0.0,5,3,8,4,1,0,3,2,16,-1,NYK,AWAY,Toumani Camara
Toumani Camara,1641739,2025-03-27,POR @ SAC,L,34.0,2,8,0.25,2,8,0.25,0,0,0.0,1,3,4,1,4,1,2,1,6,-20,SAC,AWAY,Toumani Camara
Toumani Camara,1641739,2025-03-25,POR vs. CLE,L,31.0,5,13,0.385,2,9,0.222,1,2,0.5,2,2,4,1,3,0,0,4,13,-10,CLE,HOME,Toumani Camara
Toumani Camara,1641739,2025-03-23,POR vs. BOS,L,36.0,7,13,0.538,4,7,0.571,1,2,0.5,3,4,7,3,2,2,0,1,19,-14,BOS,HOME,Toumani Camara
Toumani Camara,1641739,2025-03-21,POR vs. DEN,W,36.0,5,10,0.5,2,5,0.4,4,6,0.667,2,4,6,4,2,0,1,1,16,20,DEN,HOME,Toumani Camara
Toumani Camara,1641739,2025-03-19,POR vs. MEM,W,32.0,6,11,0.545,3,5,0.6,0,2,0.0,1,1,2,3,0,0,1,1,15,19,MEM,HOME,Toumani Camara
