player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Tyler Herro,1629639,2025-04-11,MIA @ NOP,W,22.0,7,10,0.7,2,3,0.667,6,6,1.0,1,3,4,4,1,0,1,0,22,46,NOP,AWAY,Tyler Herro
Tyler Herro,1629639,2025-04-09,MIA @ CHI,L,36.0,13,26,0.5,2,7,0.286,2,2,1.0,1,3,4,4,1,0,3,0,30,-4,CHI,AWAY,Tyler Herro
Tyler Herro,1629639,2025-04-07,MIA vs. PHI,W,33.0,8,14,0.571,2,4,0.5,2,3,0.667,0,5,5,2,1,0,7,1,20,5,PHI,HOME,Tyler Herro
Tyler Herro,1629639,2025-04-03,MIA vs. MEM,L,37.0,12,23,0.522,4,7,0.571,7,7,1.0,2,7,9,4,0,1,3,2,35,1,MEM,HOME,Tyler Herro
Tyler Herro,1629639,2025-04-02,MIA @ BOS,W,38.0,7,18,0.389,2,6,0.333,9,10,0.9,1,5,6,9,2,0,0,1,25,19,BOS,AWAY,Tyler Herro
Tyler Herro,1629639,2025-03-31,MIA @ WAS,W,33.0,9,19,0.474,0,6,0.0,9,9,1.0,0,5,5,5,3,0,2,0,27,26,WAS,AWAY,Tyler Herro
Tyler Herro,1629639,2025-03-29,MIA @ PHI,W,34.0,11,17,0.647,5,9,0.556,3,3,1.0,2,1,3,7,0,0,2,1,30,2,PHI,AWAY,Tyler Herro
Tyler Herro,1629639,2025-03-27,MIA vs. ATL,W,38.0,13,17,0.765,4,6,0.667,6,7,0.857,1,2,3,4,2,0,4,1,36,4,ATL,HOME,Tyler Herro
Tyler Herro,1629639,2025-03-25,MIA vs. GSW,W,36.0,7,10,0.7,4,4,1.0,2,2,1.0,0,3,3,7,0,0,2,0,20,33,GSW,HOME,Tyler Herro
Tyler Herro,1629639,2025-03-23,MIA vs. CHA,W,40.0,11,19,0.579,2,5,0.4,5,5,1.0,1,5,6,3,3,0,0,0,29,20,CHA,HOME,Tyler Herro
Tyler Herro,1629639,2025-03-21,MIA vs. HOU,L,39.0,3,11,0.273,0,1,0.0,2,2,1.0,0,3,3,4,0,0,6,0,8,6,HOU,HOME,Tyler Herro
Tyler Herro,1629639,2025-03-19,MIA vs. DET,L,37.0,10,20,0.5,3,9,0.333,6,6,1.0,0,4,4,3,0,0,2,1,29,8,DET,HOME,Tyler Herro
Tyler Herro,1629639,2025-03-17,MIA @ NYK,L,30.0,10,18,0.556,0,3,0.0,0,0,0.0,1,2,3,1,0,0,2,0,20,-9,NYK,AWAY,Tyler Herro
Tyler Herro,1629639,2025-03-15,MIA @ MEM,L,22.0,3,12,0.25,1,4,0.25,1,1,1.0,0,2,2,7,2,1,1,0,8,-23,MEM,AWAY,Tyler Herro
Tyler Herro,1629639,2025-03-14,MIA vs. BOS,L,38.0,7,15,0.467,3,8,0.375,2,2,1.0,1,4,5,6,2,2,4,1,19,-6,BOS,HOME,Tyler Herro
Tyler Herro,1629639,2025-03-12,MIA vs. LAC,L,42.0,13,23,0.565,2,7,0.286,3,3,1.0,1,5,6,7,2,0,1,0,31,-14,LAC,HOME,Tyler Herro
Tyler Herro,1629639,2025-03-10,MIA vs. CHA,L,33.0,9,17,0.529,1,5,0.2,2,4,0.5,1,2,3,2,1,0,3,1,21,-16,CHA,HOME,Tyler Herro
Tyler Herro,1629639,2025-03-08,MIA vs. CHI,L,37.0,8,19,0.421,2,7,0.286,3,3,1.0,0,8,8,6,0,2,1,0,21,-6,CHI,HOME,Tyler Herro
Tyler Herro,1629639,2025-03-07,MIA vs. MIN,L,39.0,9,21,0.429,4,8,0.5,0,1,0.0,0,6,6,7,2,2,2,1,22,0,MIN,HOME,Tyler Herro
Tyler Herro,1629639,2025-03-03,MIA vs. WAS,W,26.0,6,10,0.6,3,5,0.6,1,1,1.0,0,3,3,6,1,1,3,1,16,4,WAS,HOME,Tyler Herro
Tyler Herro,1629639,2025-03-02,MIA vs. NYK,L,41.0,8,24,0.333,2,11,0.182,4,4,1.0,0,4,4,7,0,0,0,1,22,-6,NYK,HOME,Tyler Herro
