player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Vasilije Micic,203995,2025-04-04,PHX @ BOS,L,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1,BOS,AWAY,Vasilije Micic
Vasilije Micic,203995,2025-03-30,PHX vs. HOU,L,8.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-2,HOU,HOME,Vasilije Micic
Vasilije Micic,203995,2025-03-26,PHX vs. BOS,L,4.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,1,0,-3,BOS,HOME,Vasilije Micic
Vasilije Micic,203995,2025-03-17,PHX vs. TOR,W,6.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,8,TOR,HOME,Vasilije Micic
Vasilije Micic,203995,2025-03-02,PHX vs. MIN,L,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,MIN,HOME,Vasilije Micic
Vasilije Micic,203995,2025-02-03,CHA vs. WAS,L,29.0,4,14,0.286,3,4,0.75,2,2,1.0,0,3,3,5,0,0,0,1,13,-14,WAS,HOME,Vasilije Micic
Vasilije Micic,203995,2025-02-01,CHA vs. DEN,L,15.0,0,5,0.0,0,1,0.0,0,0,0.0,0,3,3,2,0,0,3,0,0,-24,DEN,HOME,Vasilije Micic
Vasilije Micic,203995,2025-01-31,CHA vs. LAC,L,31.0,7,12,0.583,2,6,0.333,4,4,1.0,0,2,2,4,1,0,1,2,20,-14,LAC,HOME,Vasilije Micic
Vasilije Micic,203995,2025-01-29,CHA vs. BKN,L,28.0,5,10,0.5,4,6,0.667,1,2,0.5,3,4,7,6,0,0,4,3,15,-4,BKN,HOME,Vasilije Micic
Vasilije Micic,203995,2025-01-27,CHA vs. LAL,L,33.0,5,11,0.455,1,3,0.333,0,0,0.0,0,2,2,4,0,0,5,2,11,1,LAL,HOME,Vasilije Micic
Vasilije Micic,203995,2025-01-25,CHA vs. NOP,W,24.0,3,5,0.6,3,3,1.0,2,2,1.0,0,2,2,4,0,0,2,0,11,34,NOP,HOME,Vasilije Micic
Vasilije Micic,203995,2025-01-24,CHA vs. POR,L,33.0,4,13,0.308,1,6,0.167,3,3,1.0,0,0,0,3,0,0,6,4,12,-7,POR,HOME,Vasilije Micic
Vasilije Micic,203995,2025-01-22,CHA @ MEM,L,18.0,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,2,1,0,0,1,0,3,MEM,AWAY,Vasilije Micic
Vasilije Micic,203995,2025-01-20,CHA vs. DAL,W,10.0,0,4,0.0,0,2,0.0,0,0,0.0,1,2,3,3,0,0,1,2,0,1,DAL,HOME,Vasilije Micic
Vasilije Micic,203995,2025-01-17,CHA @ CHI,W,19.0,3,7,0.429,1,3,0.333,2,3,0.667,1,2,3,4,0,0,0,1,9,13,CHI,AWAY,Vasilije Micic
Vasilije Micic,203995,2025-01-15,CHA @ UTA,W,10.0,1,1,1.0,0,0,0.0,0,0,0.0,0,3,3,3,0,0,2,1,2,-9,UTA,AWAY,Vasilije Micic
Vasilije Micic,203995,2025-01-12,CHA @ PHX,L,8.0,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,1,0,0,1,2,5,-10,PHX,AWAY,Vasilije Micic
Vasilije Micic,203995,2025-01-07,CHA vs. PHX,W,15.0,1,5,0.2,0,2,0.0,2,2,1.0,0,0,0,2,0,0,0,0,4,6,PHX,HOME,Vasilije Micic
Vasilije Micic,203995,2025-01-05,CHA @ CLE,L,5.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-8,CLE,AWAY,Vasilije Micic
Vasilije Micic,203995,2025-01-03,CHA @ DET,L,24.0,1,8,0.125,0,5,0.0,2,3,0.667,0,3,3,5,0,0,4,0,4,-1,DET,AWAY,Vasilije Micic
Vasilije Micic,203995,2024-12-30,CHA vs. CHI,L,35.0,1,13,0.077,1,8,0.125,4,5,0.8,0,3,3,7,2,0,2,2,7,5,CHI,HOME,Vasilije Micic
Vasilije Micic,203995,2024-12-28,CHA vs. OKC,L,29.0,6,13,0.462,4,7,0.571,0,0,0.0,0,2,2,4,1,0,5,1,16,-13,OKC,HOME,Vasilije Micic
Vasilije Micic,203995,2024-12-26,CHA @ WAS,L,10.0,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0,1,1,0,1,1,6,7,WAS,AWAY,Vasilije Micic
Vasilije Micic,203995,2024-12-23,CHA vs. HOU,L,14.0,1,6,0.167,1,4,0.25,0,0,0.0,0,0,0,2,0,0,2,0,3,-15,HOU,HOME,Vasilije Micic
Vasilije Micic,203995,2024-12-20,CHA @ PHI,L,33.0,7,14,0.5,3,8,0.375,3,3,1.0,0,1,1,4,0,0,1,0,20,-9,PHI,AWAY,Vasilije Micic
Vasilije Micic,203995,2024-12-19,CHA @ WAS,L,16.0,1,4,0.25,0,0,0.0,2,2,1.0,2,1,3,1,2,0,1,1,4,-17,WAS,AWAY,Vasilije Micic
Vasilije Micic,203995,2024-12-16,CHA vs. PHI,L,16.0,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,5,0,0,3,1,0,-14,PHI,HOME,Vasilije Micic
Vasilije Micic,203995,2024-12-13,CHA @ CHI,L,25.0,3,13,0.231,1,7,0.143,0,0,0.0,3,3,6,5,0,0,3,3,7,-4,CHI,AWAY,Vasilije Micic
Vasilije Micic,203995,2024-12-08,CHA @ IND,W,34.0,7,15,0.467,4,6,0.667,0,0,0.0,1,1,2,9,2,0,5,0,18,8,IND,AWAY,Vasilije Micic
Vasilije Micic,203995,2024-12-07,CHA vs. CLE,L,35.0,5,10,0.5,2,4,0.5,1,1,1.0,1,4,5,7,0,0,2,2,13,2,CLE,HOME,Vasilije Micic
Vasilije Micic,203995,2024-12-05,CHA @ NYK,L,35.0,6,13,0.462,2,5,0.4,0,1,0.0,0,1,1,12,0,0,2,2,14,-8,NYK,AWAY,Vasilije Micic
Vasilije Micic,203995,2024-12-03,CHA vs. PHI,L,19.0,1,4,0.25,1,1,1.0,2,2,1.0,0,2,2,2,1,0,5,2,5,-8,PHI,HOME,Vasilije Micic
Vasilije Micic,203995,2024-11-30,CHA vs. ATL,L,34.0,6,12,0.5,3,6,0.5,0,0,0.0,3,5,8,5,2,0,3,2,15,5,ATL,HOME,Vasilije Micic
Vasilije Micic,203995,2024-11-29,CHA vs. NYK,L,31.0,3,10,0.3,1,5,0.2,2,2,1.0,0,2,2,8,0,0,2,1,9,-6,NYK,HOME,Vasilije Micic
Vasilije Micic,203995,2024-11-27,CHA vs. MIA,L,14.0,3,8,0.375,0,2,0.0,0,0,0.0,0,2,2,1,0,0,1,1,6,-3,MIA,HOME,Vasilije Micic
Vasilije Micic,203995,2024-11-23,CHA @ MIL,L,8.0,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-13,MIL,AWAY,Vasilije Micic
Vasilije Micic,203995,2024-11-17,CHA @ CLE,L,14.0,3,4,0.75,3,4,0.75,0,0,0.0,0,0,0,2,0,0,1,2,9,2,CLE,AWAY,Vasilije Micic
Vasilije Micic,203995,2024-11-12,CHA @ ORL,L,14.0,1,5,0.2,0,1,0.0,2,4,0.5,0,3,3,1,1,0,1,1,4,-10,ORL,AWAY,Vasilije Micic
Vasilije Micic,203995,2024-10-26,CHA vs. MIA,L,10.0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-4,MIA,HOME,Vasilije Micic
Vasilije Micic,203995,2024-10-25,CHA @ ATL,L,19.0,1,6,0.167,0,3,0.0,0,0,0.0,3,3,6,1,0,0,1,0,2,1,ATL,AWAY,Vasilije Micic
Vasilije Micic,203995,2024-10-23,CHA @ HOU,W,17.0,2,9,0.222,1,3,0.333,0,0,0.0,2,3,5,1,1,0,3,1,5,-2,HOU,AWAY,Vasilije Micic
