player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Alperen Sengun,1630578,2025-11-21,HOU vs. DEN,L,36.0,6,14,0.429,0,1,0.0,2,3,0.667,2,3,5,6,1,0,4,5,14,-16,DEN,HOME,Alperen Sengun
Alperen Sengun,1630578,2025-11-19,HOU @ CLE,W,38.0,10,17,0.588,0,0,0.0,8,10,0.8,2,9,11,7,1,1,5,3,28,2,CLE,AWAY,Alperen Sengun
Alperen Sengun,1630578,2025-11-16,HOU vs. ORL,W,45.0,11,31,0.355,0,1,0.0,8,10,0.8,8,4,12,8,0,2,5,5,30,5,ORL,HOME,Alperen Sengun
Alperen Sengun,1630578,2025-11-14,HOU vs. POR,W,36.0,9,13,0.692,4,6,0.667,3,4,0.75,3,7,10,9,3,3,0,3,25,21,POR,HOME,Alperen Sengun
Alperen Sengun,1630578,2025-11-12,HOU vs. WAS,W,28.0,6,13,0.462,2,3,0.667,2,4,0.5,5,8,13,6,0,0,2,1,16,1,WAS,HOME,Alperen Sengun
Alperen Sengun,1630578,2025-11-09,HOU @ MIL,W,40.0,10,15,0.667,1,1,1.0,2,3,0.667,4,7,11,7,0,0,5,5,23,21,MIL,AWAY,Alperen Sengun
Alperen Sengun,1630578,2025-11-07,HOU @ SAS,L,36.0,10,22,0.455,1,6,0.167,4,5,0.8,3,6,9,8,1,1,3,5,25,-12,SAS,AWAY,Alperen Sengun
Alperen Sengun,1630578,2025-11-05,HOU @ MEM,W,35.0,6,14,0.429,0,2,0.0,8,10,0.8,3,13,16,7,1,1,6,1,20,10,MEM,AWAY,Alperen Sengun
Alperen Sengun,1630578,2025-11-03,HOU vs. DAL,W,40.0,10,20,0.5,0,2,0.0,6,11,0.545,2,9,11,6,1,0,3,5,26,9,DAL,HOME,Alperen Sengun
Alperen Sengun,1630578,2025-11-01,HOU @ BOS,W,31.0,5,13,0.385,1,3,0.333,5,7,0.714,1,9,10,9,1,2,4,3,16,24,BOS,AWAY,Alperen Sengun
Alperen Sengun,1630578,2025-10-29,HOU @ TOR,W,35.0,6,8,0.75,1,2,0.5,5,8,0.625,1,7,8,9,2,2,2,1,18,24,TOR,AWAY,Alperen Sengun
Alperen Sengun,1630578,2025-10-27,HOU vs. BKN,W,30.0,7,11,0.636,2,2,1.0,5,5,1.0,2,4,6,6,1,0,3,0,21,25,BKN,HOME,Alperen Sengun
Alperen Sengun,1630578,2025-10-24,HOU vs. DET,L,38.0,5,18,0.278,0,2,0.0,7,10,0.7,2,5,7,7,3,0,3,5,17,3,DET,HOME,Alperen Sengun
Alperen Sengun,1630578,2025-10-21,HOU @ OKC,L,49.0,12,24,0.5,5,8,0.625,10,11,0.909,4,7,11,7,2,1,4,5,39,9,OKC,AWAY,Alperen Sengun
