player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Andre Drummond,203083,2025-11-23,PHI vs. MIA,L,38.0,6,12,0.5,1,2,0.5,1,2,0.5,9,15,24,1,0,2,2,1,14,-2,MIA,HOME,Andre Drummond
Andre Drummond,203083,2025-11-20,PHI @ MIL,W,18.0,1,4,0.25,0,1,0.0,1,2,0.5,2,6,8,1,1,1,1,6,3,-1,MIL,AWAY,Andre Drummond
Andre Drummond,203083,2025-11-19,PHI vs. TOR,L,34.0,5,9,0.556,0,1,0.0,0,0,0.0,4,8,12,0,2,1,3,3,10,-4,TOR,HOME,Andre Drummond
Andre Drummond,203083,2025-11-17,PHI vs. LAC,W,38.0,5,8,0.625,1,2,0.5,3,4,0.75,5,13,18,0,1,0,1,1,14,2,LAC,HOME,Andre Drummond
Andre Drummond,203083,2025-11-14,PHI @ DET,L,36.0,5,6,0.833,2,2,1.0,0,0,0.0,4,7,11,2,1,0,3,4,12,4,DET,AWAY,Andre Drummond
Andre Drummond,203083,2025-11-11,PHI vs. BOS,W,33.0,6,11,0.545,0,2,0.0,2,3,0.667,4,9,13,0,0,1,0,1,14,10,BOS,HOME,Andre Drummond
Andre Drummond,203083,2025-11-09,PHI vs. DET,L,35.0,6,9,0.667,2,4,0.5,3,4,0.75,3,9,12,2,1,1,0,3,17,-11,DET,HOME,Andre Drummond
Andre Drummond,203083,2025-11-08,PHI vs. TOR,W,16.0,1,5,0.2,0,0,0.0,2,2,1.0,3,5,8,1,0,1,1,1,4,8,TOR,HOME,Andre Drummond
Andre Drummond,203083,2025-11-05,PHI @ CLE,L,28.0,6,7,0.857,1,1,1.0,0,0,0.0,4,9,13,1,1,2,1,2,13,3,CLE,AWAY,Andre Drummond
Andre Drummond,203083,2025-11-02,PHI @ BKN,W,23.0,2,4,0.5,0,1,0.0,1,2,0.5,1,7,8,0,1,1,1,3,5,20,BKN,AWAY,Andre Drummond
Andre Drummond,203083,2025-10-31,PHI vs. BOS,L,12.0,1,3,0.333,1,2,0.5,3,4,0.75,0,2,2,0,1,1,0,1,6,7,BOS,HOME,Andre Drummond
Andre Drummond,203083,2025-10-28,PHI @ WAS,W,12.0,3,4,0.75,0,0,0.0,0,0,0.0,4,6,10,0,0,1,0,1,6,-5,WAS,AWAY,Andre Drummond
Andre Drummond,203083,2025-10-27,PHI vs. ORL,W,23.0,2,4,0.5,0,1,0.0,0,2,0.0,4,2,6,1,1,2,0,3,4,-9,ORL,HOME,Andre Drummond
Andre Drummond,203083,2025-10-25,PHI vs. CHA,W,16.0,3,6,0.5,0,1,0.0,1,3,0.333,6,7,13,2,2,0,0,2,7,12,CHA,HOME,Andre Drummond
Andre Drummond,203083,2025-10-22,PHI @ BOS,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,2,BOS,AWAY,Andre Drummond
