player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Anfernee Simons,1629014,2025-11-23,BOS vs. ORL,W,22.0,8,11,0.727,4,7,0.571,3,3,1.0,0,5,5,2,0,0,0,3,23,7,ORL,HOME,Anfernee Simons
Anfernee Simons,1629014,2025-11-21,BOS vs. BKN,L,33.0,10,16,0.625,2,6,0.333,1,1,1.0,0,3,3,4,2,0,4,4,23,-10,BKN,HOME,Anfernee Simons
Anfernee Simons,1629014,2025-11-18,BOS @ BKN,W,26.0,3,4,0.75,2,3,0.667,3,5,0.6,0,4,4,5,0,0,3,2,11,0,BKN,AWAY,Anfernee Simons
Anfernee Simons,1629014,2025-11-16,BOS vs. LAC,W,12.0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,2,0,0,2,1,0,-1,LAC,HOME,Anfernee Simons
Anfernee Simons,1629014,2025-11-12,BOS vs. MEM,W,22.0,2,10,0.2,2,6,0.333,0,0,0.0,1,3,4,7,0,0,1,0,6,-1,MEM,HOME,Anfernee Simons
Anfernee Simons,1629014,2025-11-11,BOS @ PHI,L,26.0,5,15,0.333,3,8,0.375,4,4,1.0,0,4,4,5,0,0,2,1,17,12,PHI,AWAY,Anfernee Simons
Anfernee Simons,1629014,2025-11-09,BOS @ ORL,W,23.0,8,13,0.615,5,8,0.625,4,4,1.0,0,1,1,3,0,0,2,3,25,9,ORL,AWAY,Anfernee Simons
Anfernee Simons,1629014,2025-11-07,BOS @ ORL,L,18.0,4,8,0.5,3,6,0.5,0,0,0.0,0,2,2,2,0,1,1,5,11,-14,ORL,AWAY,Anfernee Simons
Anfernee Simons,1629014,2025-11-05,BOS vs. WAS,W,30.0,7,16,0.438,4,10,0.4,0,0,0.0,0,0,0,2,1,0,1,4,18,6,WAS,HOME,Anfernee Simons
Anfernee Simons,1629014,2025-11-03,BOS vs. UTA,L,26.0,5,13,0.385,2,8,0.25,3,3,1.0,0,1,1,2,0,0,0,1,15,-11,UTA,HOME,Anfernee Simons
Anfernee Simons,1629014,2025-11-01,BOS vs. HOU,L,17.0,1,6,0.167,1,3,0.333,0,0,0.0,0,1,1,0,0,0,0,3,3,-10,HOU,HOME,Anfernee Simons
Anfernee Simons,1629014,2025-10-31,BOS @ PHI,W,29.0,7,21,0.333,3,9,0.333,2,3,0.667,1,3,4,2,0,1,1,1,19,23,PHI,AWAY,Anfernee Simons
Anfernee Simons,1629014,2025-10-29,BOS vs. CLE,W,26.0,4,9,0.444,4,6,0.667,2,2,1.0,0,0,0,2,0,0,1,1,14,6,CLE,HOME,Anfernee Simons
Anfernee Simons,1629014,2025-10-27,BOS @ NOP,W,32.0,9,17,0.529,6,13,0.462,1,1,1.0,2,4,6,1,1,0,2,3,25,9,NOP,AWAY,Anfernee Simons
Anfernee Simons,1629014,2025-10-26,BOS @ DET,L,23.0,5,13,0.385,2,7,0.286,0,0,0.0,0,1,1,0,0,0,2,3,12,-13,DET,AWAY,Anfernee Simons
Anfernee Simons,1629014,2025-10-24,BOS @ NYK,L,27.0,4,9,0.444,1,4,0.25,1,2,0.5,0,1,1,4,3,0,2,2,10,-9,NYK,AWAY,Anfernee Simons
Anfernee Simons,1629014,2025-10-22,BOS vs. PHI,L,32.0,5,10,0.5,2,6,0.333,1,1,1.0,1,3,4,1,1,1,0,2,13,-5,PHI,HOME,Anfernee Simons
