player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Anthony Black,1641710,2025-11-23,ORL @ BOS,L,28.0,4,13,0.308,2,4,0.5,4,5,0.8,2,1,3,5,1,0,2,3,14,-23,BOS,AWAY,Anthony Black
Anthony Black,1641710,2025-11-22,ORL vs. NYK,W,29.0,4,8,0.5,1,2,0.5,2,4,0.5,0,1,1,4,3,1,1,4,11,21,NYK,HOME,Anthony Black
Anthony Black,1641710,2025-11-20,ORL vs. LAC,W,29.0,4,9,0.444,1,3,0.333,3,4,0.75,1,3,4,4,4,0,2,3,12,16,LAC,HOME,Anthony Black
Anthony Black,1641710,2025-11-18,ORL vs. GSW,W,33.0,8,13,0.615,0,3,0.0,5,7,0.714,0,4,4,2,2,0,1,3,21,18,GSW,HOME,Anthony Black
Anthony Black,1641710,2025-11-16,ORL @ HOU,L,36.0,7,14,0.5,1,5,0.2,3,5,0.6,0,3,3,4,1,1,2,5,18,2,HOU,AWAY,Anthony Black
Anthony Black,1641710,2025-11-14,ORL vs. BKN,W,17.0,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,2,0,0,1,1,2,-11,BKN,HOME,Anthony Black
Anthony Black,1641710,2025-11-12,ORL @ NYK,W,23.0,7,11,0.636,3,5,0.6,0,0,0.0,1,2,3,3,2,1,2,2,17,3,NYK,AWAY,Anthony Black
Anthony Black,1641710,2025-11-10,ORL vs. POR,W,32.0,2,8,0.25,1,3,0.333,3,4,0.75,0,4,4,2,1,0,2,5,8,-10,POR,HOME,Anthony Black
Anthony Black,1641710,2025-11-09,ORL vs. BOS,L,20.0,2,6,0.333,0,3,0.0,0,0,0.0,0,3,3,0,1,0,1,2,4,-25,BOS,HOME,Anthony Black
Anthony Black,1641710,2025-11-07,ORL vs. BOS,W,33.0,5,11,0.455,2,5,0.4,1,2,0.5,1,3,4,4,4,1,1,3,13,6,BOS,HOME,Anthony Black
Anthony Black,1641710,2025-11-04,ORL @ ATL,L,26.0,2,7,0.286,1,4,0.25,2,2,1.0,1,3,4,3,1,1,1,2,7,-12,ATL,AWAY,Anthony Black
Anthony Black,1641710,2025-11-01,ORL @ WAS,W,25.0,3,6,0.5,0,2,0.0,2,2,1.0,0,2,2,5,0,1,3,1,8,1,WAS,AWAY,Anthony Black
Anthony Black,1641710,2025-10-30,ORL @ CHA,W,31.0,8,13,0.615,3,6,0.5,1,1,1.0,1,0,1,2,2,2,3,1,20,8,CHA,AWAY,Anthony Black
Anthony Black,1641710,2025-10-29,ORL @ DET,L,24.0,3,10,0.3,1,6,0.167,3,4,0.75,1,3,4,1,1,0,2,2,10,-28,DET,AWAY,Anthony Black
Anthony Black,1641710,2025-10-27,ORL @ PHI,L,30.0,5,10,0.5,1,3,0.333,3,7,0.429,1,2,3,2,1,1,3,2,14,-4,PHI,AWAY,Anthony Black
Anthony Black,1641710,2025-10-25,ORL vs. CHI,L,30.0,6,9,0.667,1,3,0.333,6,6,1.0,1,4,5,1,1,1,5,3,19,4,CHI,HOME,Anthony Black
Anthony Black,1641710,2025-10-24,ORL vs. ATL,L,21.0,3,4,0.75,0,0,0.0,2,5,0.4,0,3,3,2,1,0,4,4,8,2,ATL,HOME,Anthony Black
Anthony Black,1641710,2025-10-22,ORL vs. MIA,W,23.0,3,9,0.333,1,2,0.5,0,0,0.0,0,3,3,3,0,1,0,2,7,13,MIA,HOME,Anthony Black
