player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Brook Lopez,201572,2025-11-23,LAC @ CLE,L,11.0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-24,CLE,AWAY,Brook Lopez
Brook Lopez,201572,2025-11-22,LAC @ CHA,W,15.0,4,10,0.4,3,7,0.429,0,0,0.0,0,1,1,1,0,1,0,2,11,7,CHA,AWAY,Brook Lopez
Brook Lopez,201572,2025-11-20,LAC @ ORL,L,6.0,1,4,0.25,1,2,0.5,0,0,0.0,0,0,0,0,0,2,0,2,3,-7,ORL,AWAY,Brook Lopez
Brook Lopez,201572,2025-11-17,LAC @ PHI,L,14.0,2,5,0.4,1,3,0.333,1,1,1.0,0,1,1,0,0,0,1,2,6,5,PHI,AWAY,Brook Lopez
Brook Lopez,201572,2025-11-16,LAC @ BOS,L,14.0,1,2,0.5,1,2,0.5,2,2,1.0,0,2,2,3,1,1,0,2,5,11,BOS,AWAY,Brook Lopez
Brook Lopez,201572,2025-11-14,LAC @ DAL,W,10.0,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,0,1,0,-13,DAL,AWAY,Brook Lopez
Brook Lopez,201572,2025-11-12,LAC vs. DEN,L,16.0,4,7,0.571,2,4,0.5,0,0,0.0,0,1,1,1,0,1,1,4,10,-2,DEN,HOME,Brook Lopez
Brook Lopez,201572,2025-11-10,LAC vs. ATL,L,17.0,2,5,0.4,2,4,0.5,3,4,0.75,0,0,0,2,0,1,3,2,9,-4,ATL,HOME,Brook Lopez
Brook Lopez,201572,2025-11-08,LAC vs. PHX,L,13.0,4,5,0.8,0,1,0.0,0,0,0.0,0,0,0,0,0,2,0,1,8,-1,PHX,HOME,Brook Lopez
Brook Lopez,201572,2025-11-06,LAC @ PHX,L,18.0,3,6,0.5,0,3,0.0,0,0,0.0,0,3,3,0,1,0,2,2,6,0,PHX,AWAY,Brook Lopez
Brook Lopez,201572,2025-11-04,LAC vs. OKC,L,16.0,4,7,0.571,4,4,1.0,0,0,0.0,1,1,2,0,0,0,2,2,12,-29,OKC,HOME,Brook Lopez
Brook Lopez,201572,2025-11-03,LAC vs. MIA,L,15.0,2,7,0.286,1,6,0.167,0,0,0.0,0,1,1,0,1,0,0,1,5,5,MIA,HOME,Brook Lopez
Brook Lopez,201572,2025-10-31,LAC vs. NOP,W,14.0,1,5,0.2,0,3,0.0,1,2,0.5,1,2,3,0,1,1,1,0,3,0,NOP,HOME,Brook Lopez
Brook Lopez,201572,2025-10-28,LAC @ GSW,L,19.0,1,6,0.167,0,4,0.0,1,2,0.5,0,2,2,1,0,0,0,0,3,-6,GSW,AWAY,Brook Lopez
Brook Lopez,201572,2025-10-26,LAC vs. POR,W,13.0,2,5,0.4,1,4,0.25,0,0,0.0,0,3,3,0,0,3,0,2,5,1,POR,HOME,Brook Lopez
Brook Lopez,201572,2025-10-24,LAC vs. PHX,W,18.0,2,5,0.4,2,4,0.5,0,0,0.0,1,6,7,1,0,2,1,2,6,11,PHX,HOME,Brook Lopez
Brook Lopez,201572,2025-10-22,LAC @ UTA,L,17.0,5,12,0.417,5,11,0.455,0,0,0.0,1,2,3,0,1,0,2,3,15,-6,UTA,AWAY,Brook Lopez
