player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Christian Braun,1631128,2025-11-12,DEN @ LAC,W,16.0,2,2,1.0,0,0,0.0,2,2,1.0,2,2,4,4,0,0,1,1,6,8,LAC,AWAY,Christian Braun
Christian Braun,1631128,2025-11-11,DEN @ SAC,W,30.0,4,7,0.571,2,5,0.4,2,2,1.0,0,1,1,1,1,0,0,0,12,18,SAC,AWAY,Christian Braun
Christian Braun,1631128,2025-11-08,DEN vs. IND,W,27.0,3,8,0.375,0,2,0.0,2,3,0.667,2,3,5,2,1,0,2,1,8,-1,IND,HOME,Christian Braun
Christian Braun,1631128,2025-11-07,DEN vs. GSW,W,32.0,5,11,0.455,1,4,0.25,1,2,0.5,0,7,7,4,1,0,3,2,12,26,GSW,HOME,Christian Braun
Christian Braun,1631128,2025-11-05,DEN vs. MIA,W,35.0,5,14,0.357,0,3,0.0,1,1,1.0,4,4,8,7,2,1,0,2,11,14,MIA,HOME,Christian Braun
Christian Braun,1631128,2025-11-03,DEN vs. SAC,W,31.0,7,10,0.7,1,3,0.333,6,9,0.667,0,4,4,3,0,0,0,3,21,21,SAC,HOME,Christian Braun
Christian Braun,1631128,2025-10-31,DEN @ POR,L,30.0,2,6,0.333,0,3,0.0,1,2,0.5,1,2,3,1,0,1,4,5,5,-1,POR,AWAY,Christian Braun
Christian Braun,1631128,2025-10-29,DEN vs. NOP,W,27.0,8,13,0.615,1,3,0.333,0,0,0.0,4,2,6,4,0,1,1,1,17,22,NOP,HOME,Christian Braun
Christian Braun,1631128,2025-10-27,DEN @ MIN,W,27.0,3,9,0.333,1,3,0.333,0,0,0.0,1,2,3,2,2,0,0,1,7,-1,MIN,AWAY,Christian Braun
Christian Braun,1631128,2025-10-25,DEN vs. PHX,W,31.0,6,10,0.6,0,1,0.0,8,8,1.0,2,1,3,3,2,0,1,3,20,23,PHX,HOME,Christian Braun
Christian Braun,1631128,2025-10-23,DEN @ GSW,L,38.0,3,7,0.429,0,1,0.0,0,0,0.0,2,2,4,2,0,0,2,5,6,-9,GSW,AWAY,Christian Braun
